,kcat_MW
A_PLIPA1E141pp,140.21648380000002
B_PGPP120_num1,478.9374613
C_MDDEP1pp_num1,1426.8310689999998
B_ARGDC,12.31419335
A_ASPK_reverse_num3,1358.5731130000001
C_GAPD,25303.5953
B_U23GAAT,1198.7191460000001
B_3NTD2pp_num2,453.4562322
C_F1PP_num2,1448.832138
A_UM4PL,186.64037119999998
B_ACACT2r_num1,967.7097962000001
C_RNTR1c2_num3,203.1035204
B_DB4PS,26.20597813
C_FACOAE60,80.06335996
A_MDDCP2pp_num5,611.3532405
C_UGCIAMH,8978.046122
B_ICDHyr,432.7235137
B_ECAP2pp,832.2081491
A_G1SAT_reverse,420.41433739999997
C_TGBPA_reverse_num1,69.40148445
B_E4PP_num4,1134.1521539999999
A_CPPPGO,13.11087576
A_ADK1,4731.620453
A_MNNH,1223.103069
A_GLYOX3,149.1025334
A_UGLT,856.2261972000001
C_OCBT_num2,414.8420983
B_ACACT6r_reverse_num2,366.7207485
B_PGPP181_num2,887.5214202
A_HACD1_num2,503.1725879
C_G1PTT_num2,79.42828492
C_MDDEP1pp_num7,717.3500683
C_GLUN_num2,652.4086697
A_FE3DHBZS3R,370.2693941
B_ADSL2r_reverse,77.49908993
A_S7PI,390.7646885
B_MI1PP,13850.25687
C_EDD,747.6722557999999
B_TYROXDApp,73.34218733
A_DAPE_reverse,1820.1765510000002
A_RHCCE,0.556236545
B_3HAD60_num2,346.3309332
C_RPI_reverse_num1,1872.084273
A_MLDCP3App_num2,333.3892291
B_SSALy_num1,310.04888539999996
C_ASPTA_reverse_num1,867.5027282
C_KG6PDC_num1,460.3250658
C_2DDARAA_num2,218.4281465
B_5DKGR_num1,404.51583710000006
A_3HCINNMH,224.0298765
C_PPM2,3310.4358850000003
C_MMCD,131.3335686
B_NTD12_num4,470.0589701
A_EAR40x,396.3841661
C_ACOAD2f_reverse,14363.7839
C_PMANM_reverse,306.41276669999996
C_NTD7_num3,479.7155002
C_RNTR3c2_num4,192.88428090000002
C_T2DECAI,245.13748340000004
B_PUNP1_reverse,0.231214615
C_SERD_L_num4,1616.910434
B_ME2,1016.179566
B_ACACT5r_num1,599.1200256
A_GSNK,712.1377698
A_SSALy_num1,310.04888539999996
A_4PCPpp,1772.336159
A_GALCTND,480.1756552
C_MECDPS,6.391465421
A_GTPDPK,261.3854252
C_MTAN,193.6317974
B_MPTG2_num4,59.85244097
A_OHPHM,453.23161669999996
B_PGMT_reverse_num1,503.88888560000004
B_NTD4pp_num1,158.0573044
A_UACGALPpp,227.654723
A_DSERDHr_reverse,161.6825823
C_MDDEP1pp_num6,611.9390394999999
B_PSSA160,1022.692408
B_HYD2pp_num2,39673.660910000006
A_BMOGDS1,1263.134555
B_2AGPGAT181,322.1086502
A_ANPRT,158.25581
A_TALA_reverse_num1,241.45727999999997
C_NTD8_num3,218.85155669999997
B_AMPTASEPG_num1,89.93035873
C_LPLIPAL1G181pp,98.42512589
A_MPTG2_num2,57.02869835
A_ACACT5r_num2,1052.632144
B_CYTK2,1040.563709
B_ICYSDS,0.399206024
A_FUM_num2,865.1520491
A_ALATA_L_reverse_num2,528.7118912
A_EAR180y,83.44143904
C_DHORD2,1957.8784210000001
A_3HAD140_num2,94.80644697
C_ANHMK,553.2921499
C_ACONTa_reverse_num1,183.2652296
A_MLTGY1pp_num6,786.906728
B_AGPAT140,400.9837447
A_URIK1,797.5797044
A_LPLIPAL1E181pp,98.42511861
C_MALDDH,534.0875053999999
B_MDH_reverse,180.34102040000002
C_FE3Ri,1584.009444
A_PPM2_reverse,602.6763556
C_ASNN_num1,82.7216201
B_SDPTA_reverse_num2,603.6338758999999
C_SSALy_num2,149.02302419999998
C_ACACT8r_num1,510.15734299999997
C_HBZOPT,291.0031441
C_TMPPP,3.128353747
A_FCLT_num1,288.15049750000003
C_GNK_num1,684.5050098999999
C_HADPCOADH3,416.76076919999997
A_RNTR4c2_num4,91.26114268
C_MLTGY3pp_num5,653.5772782
A_GUI1_reverse,337.6229091
A_XYLI1,120.37437279999999
C_FHL_num1,355.33853419999997
A_GMHEPAT,3411.6570460000003
A_GTHS,299.83398880000004
A_KG6PDC_num2,925.8846682
B_G2PP,363.73217489999996
B_DHNPA2r_reverse,101.71210190000001
B_TYRTA_reverse_num2,276.8056249
B_UHGADA,2226.417206
A_GLUSy,157.331558
C_EAR121y,83.44143875
C_NTPP2_num1,681.4671818
B_CRNCBCT,244.4810451
C_TMAOR2,292.9010772
A_FDH5pp_num1,58.52691939
B_GLYAT,121.3009568
C_RPI_num2,2208.7058260000003
A_3OAS120_num2,109.12138829999999
B_DHNPTE,179.0888195
A_NTPP7_num3,221.1864372
B_NTP10_num2,280.027846
A_LCARS,154.5812284
A_CITL,235.52164019999998
C_HISTD,121.0140457
C_FUM_num1,867.9343976
B_NTP11,275.2985853
C_TGBPA_num1,181.9533303
A_NTD3pp_num2,163.3523721
B_CTPS2,163.9774639
B_SDPDS,18667.76515
A_AGM4PApp_num1,777.1052222
A_PYAM5PO,182.0472016
B_FOMETRi,625.6548035000001
B_CRNDCAL2,345.23105960000004
A_EAR160y,83.44146042
C_AGMHE,219.7931889
B_DHCIND,522.4797685
B_HACD8_reverse_num1,149.5444831
A_ACONMT,6096.849031000001
A_NADHXE_reverse,240.73398569999998
A_R5PPpp_num2,238.38125010000002
B_LPLIPAL2ATG140,379.2416591
C_NTD11_num2,367.1729514
C_G3PD5_num1,406.4462832
B_NAMNPP,202.81584709999998
B_PACOAT,156.57423400000002
B_PLIPA2A161pp,140.6960448
A_PRFGS,356.4288376
C_DHCIND,522.4797685
C_GLU5K,576.0881184
C_RNTR4c2_num1,91.24246224
B_ME1,241.0707272
B_HBZOPT,291.0031441
B_ADSS,125.46216650000001
A_HYD1pp_num1,29006.832239999996
B_ACS,444.2670546
C_ACKr_num1,3978.518296
B_F1PP_num3,1308.549041
A_NMNDA,672.3138687000001
A_3HAD161_num1,245.1368959
A_ACP1_FMN_num3,777.1585736000001
A_PAPA160pp,325.5644495
C_PSSA180,427.8155523
C_GLYOX,373.5968883
A_RPNTPH,20557.82549
B_LIPAabcpp,109.4895695
B_HXCT,327.9880665
A_R15BPK,861.6758587000002
B_R5PP_num4,363.77812689999996
A_FACOAL160t2pp_num2,166.3217541
B_SARCOX,445.94933080000004
A_G6PP_num3,429.02285939999996
B_A5PISO_reverse_num1,235.6810411
C_AACPS1,104.09824859999999
C_APCS,212.0857833
A_TRSARr_reverse_num1,177.296332
A_ACACT7r_reverse_num2,326.0245626
C_DAGK161,455.47308449999997
B_ADSK,1774.0902190000002
A_RNDR2b_num2,113.88772649999999
A_PLIPA1A141pp,140.21693249999998
B_PSD141,735.8140678999999
C_ALAR_num1,1466.9699679999999
C_ACGAMT,126.801057
A_NTD5pp_num2,311.2601585
B_FCI,98.6488384
A_FLVRx,387.86812549999996
A_HYD1pp_num3,22697.599019999998
B_S2FE2SS,33.55260458
A_NDPK1_num2,356.4196268
A_DMSOR1pp,250.9649622
B_ADOCBIK,231.18078709999997
B_AGM4Pt2pp,707.6335735
C_SDPTA_reverse_num1,294.92306329999997
C_MLTGY1pp_num7,543.3338683999999
C_PUNP3_reverse_num2,62.9634939
A_CRNDCAL2,345.23105960000004
C_HISTP,169.8199635
A_ALDD3y_num1,650.7342980000001
B_LSERDHr,129.5956731
C_GTHPi,1036.425409
C_PPDOy,726.989701
B_SUCDi,1079.106067
C_SUCDi,1079.106067
A_MANPGH,806.2551714
B_QUINDHyi,154.68336010000002
C_HEPT2,277.56967169999996
B_APPLDHr,32.76670878
C_PETNT181pp,1098.199697
C_PGAMT_reverse,302.8798829
A_3PEPTabcpp_num3,129.2819586
C_TMPK,23.60938445
A_NDPK3_num1,279.9698128
A_THIORDXi_num2,732.1252463999999
