,fluxes,reduced_costs
EX_tyr__L_e,0.0,5332.8508230920215
MOAT,0.0019456000000000002,-54.97749218796339
UDCPDPS,5.5000000000002175e-06,-26859.087375970266
USHD,0.0019456000000000002,-314.5350138628909
LPADSS,0.0019456000000000002,-109.739933284889
TDSK,0.0019456000000000002,-316.97821078862574
EX_btn_e,0.0,3649234605.424804
EX_ptrc_e,0.0,-2.0
EX_spmd_e,0.0,0.0
EX_thym_e,0.0,-2.0
EX_xtsn_e,0.0,21690.692529912136
NTPP1_num1,0.0,4067.5906225262315
NTPP2_num1,0.0,1546.514796422036
NTPTP1,0.0,3771.832608401124
NTPTP2,0.0,1347.551871036423
IPMD_num1,0.0,-23.525159332948533
AIRC3,0.0,4269.686883548621
ADSL2r,0.044779399999998054,-910.4493770628345
EX_fe2_e,0.0,2.0
PUNP5_num1,0.0,418.4867834055094
PUNP6_num1,0.0,9720.04248883815
PUNP7,0.0,772.5842446215847
RNDR1_num1,0.0,4673.333201359481
RNDR3_num1,0.0,1507.8707560997173
RNDR4_num1,0.0,4169.52612071114
TMDS,0.0026166,-546.468746997416
TMDK1,0.0,-561.0484626021225
PPCDC,6.739999999999524e-05,-229683.07707527987
FTHFD,0.0,4291.8474832895845
EX_glc__D_e,-5.770669239963318,2.0
EDD,0.0,759.6376200226173
DHQTi,0.03811190000000001,-63.53860813878066
PUNP1,0.0,5503.471380655983
PUNP2,0.0,6872.436338865287
PUNP3_num1,0.0,-1965.751070358434
LYSAM,0.0,1072.4299589941893
DHAD1,0.0874367,-22.625056056291214
IPPMIa,0.0,1764.4537464710274
EX_alltn_e,0.0,-1.9999999999997415
G3PD7,0.0,1567.64290146227
NADH9_num1,0.0,1931.2964691266134
NADH10_num1,0.0,871.3523072952121
MDH,0.0,573.5383149294321
FUM_num1,1.873958611066988e-11,-276.14453461696917
PYDXNK,0.0,-1580.310255815215
PYAM5PO,0.0,4055.800835989765
OHPBAT,0.0,-5258900.590668021
EX_dgsn_e,0.0,31532.040871510548
EX_arab__L_e,0.0,-2.0
EX_fru_e,0.0,9.424436290923097
EX_gal_e,0.0,1843.2364136676692
EX_xyl__D_e,0.0,-2.0
EX_duri_e,0.0,13296.200648191054
EX_for_e,0.0,529.6307228915393
EX_gly_e,0.0,1733.714670836169
EX_h2_e,0.0,242.8581592966645
EX_lys__L_e,0.0,13354.730938568098
EX_ser__L_e,0.0,2393.0947004511836
EX_thm_e,0.0,4027708.159628281
EX_trp__L_e,0.0,23552.25948019933
GLUTRR,0.0003568,-2278.259894527282
GLCS1,0.0,-973.0617622486607
GLCP_num1,0.0,1126.2018386594643
EX_din_e,0.0,31341.15565752148
EX_fmn_e,0.0,0.0
EX_gthox_e,0.0,0.0
