,kcat_MW
B_METSOXR2_num1,196.9241217
A_LIPOS,128.9176023
A_NDPK5_reverse_num1,433.47497580000004
B_MPTG2_num2,57.02869835
A_5DKGR_reverse_num2,853.3698582000001
B_AACPS4,221.6429576
A_ECOAH6_reverse_num1,597.5729150000001
B_PGM_reverse_num2,4323.7134320000005
A_CFAS180G,1227.284068
A_RBFK,9.327955364
A_ECAP2pp,832.2081491
A_CYSDS_num2,62.44796399
B_PHETA1_num3,797.5334385
A_ACACT3r_reverse_num2,452.0969734
A_GLYCK2,1578.989018
A_WCOS,891.1402274000001
B_3OAR40_reverse,151.4026914
A_G3PD7,653.9309178999999
A_TMAOR2pp_num2,144.89598180000002
B_CLPNS181pp_reverse_num1,191.9939672
B_MLTP3_reverse,56.88783594
A_AGM4PApp_num4,785.6009497
A_DSBDR_num2,505.4359648
A_ASPO6,250.5908442
A_CRNBTCT,238.67577000000003
B_LALGP,2182.930525
A_FBA_reverse_num2,90.07363609999999
A_3OAS161,109.12144540000001
A_3HAD160_num2,91.00057739
B_HACD5_num2,521.7082121999999
A_CYTBD2pp,283.79171560000003
B_F6PP_num2,629.1500123
A_XAND,504.7606932
B_MEPCT,251.77515079999998
B_BGLA1_num3,703.6344514
A_MDDCP5pp_num5,3506.9105619999996
B_APRAUR,14.27923338
A_DDPA_num2,1813.2169379999998
A_NTPP7_num3,221.1864372
A_2DOXG6PP_num1,428.7860915
B_PPA2_num1,83.75125072
A_UM4PL,186.64037119999998
A_HBZOPT,291.0031441
A_MCOATA,431.2704864
A_GLUSy,157.331558
B_GMHEPK,14711.707540000001
B_3OAR120_reverse,1643.221332
B_DXPS,29.28259852
A_PSD120,1075.611903
B_LPLIPAL2A180,483.33841320000005
B_TRPS2,64.91127519
A_THRS,305.64293260000005
B_GK1,3204.381016
B_DASYN140,773.4513401
B_MLTG2,645.6642835
A_IG3PS,643.9487999
B_ALAALAr_reverse_num1,510.7167256
A_3HAD181_num1,441.47236160000006
A_AI2K,172.7534301
A_AGM4PCPpp,1620.968568
A_G3PT_num2,363.5014166
A_ASPCT_num2,168.4314017
B_ABTA_num2,756.8668605
A_3NTD7pp_num2,566.0195001000001
A_2AGPGAT140,322.24094510000003
B_GLUNpp,140.16745219999999
A_ACACT8r_num1,510.15734299999997
B_EAR180y,83.44143904
B_NADH9_num2,217.35027480000002
B_OPMEACPR,0.0011971689999999999
A_FACOAL181t2pp_num1,165.3523449
B_MALCOAMT,328.94846689999997
A_NTD6_num1,310.37572819999997
A_THRA2_num1,197.1626019
B_ACACT6r_num2,497.0226276000001
B_PDX5PS,33.57078867
B_ACPPAT141,781.3000807
B_MLTGY4pp_num8,381.75134130000004
B_DSBDR_num2,505.4359648
B_MCTP1App_num2,186.43223400000002
B_BGLA1_num1,693.5420694000001
B_LPLIPAL2ATG181,502.86305169999997
B_3NTD7pp_num1,790.1268536
A_GMHEPAT,3411.6570460000003
B_3OAR60_reverse,158.1700765
B_PPPNDO,160.4830785
B_THRD_num2,1848.488388
B_G1PTT_num2,79.42828492
A_2DGULRy,276.340442
B_NTD7pp_num1,155.9492779
A_NTPP2_num1,681.4671818
B_MLDCP1Bpp_num3,563.4305694
B_DMSOR1_num1,221.1080619
A_MDDCP3pp_num4,513.7056473
B_ACKr_reverse_num2,4120.02224
B_MCITS,408.8531343
A_ARABDI,221.4195793
A_RNDR2_num2,40.11763986
B_GLYAT_reverse,580.7655388
A_FALDH2,372.43415810000005
B_HEPT3,578.5667857999999
B_MLTG5,743.2318046
A_PGMT_reverse_num1,503.88888560000004
B_UAGCVT,265.074435
B_HYD2pp_num1,14930.86824
A_MLTP2,150.47857480000002
B_LPLIPAL2ATE181,250.62915869999998
A_ATPPRT,118.6812001
A_MOAT,4491.33135
A_FCLT_num1,288.15049750000003
B_NTPTP2,164.9040202
B_ARGSL,786.9915855
B_CBIAT_reverse,961.3350608
A_HSDy_num1,396.0897435
B_NDPK8_num1,643.257457
B_F1PP_num4,1012.9652689999999
B_MMCD,131.3335686
A_DAGK140,237.0507025
B_MALDDH,534.0875053999999
A_PGPP160pp_num2,328.6775746
A_THRD_num1,500.74390669999997
B_DAGK181,337.400345
B_NTD6pp_num2,173.5285976
A_LCADi,108.69179650000001
B_LYSDC_num2,13.99323617
A_G1SAT,3.570948351
A_PLIPA2G141pp,140.216652
B_LPLIPAL2A141,238.59630049999998
B_SERASr,412.8083057
B_LPLIPAL2G161,302.93973189999997
A_UM3PL,188.9012842
A_NADPHXE,397.54508119999997
B_IDOND2,268.50277610000006
A_GLUR_reverse,2438.5523510000003
A_AGPR,754.9131468999999
B_ACONTa_reverse_num2,175.4242624
A_ALR2_num3,340.172513
A_PERD,0.8702452279999999
B_MDDCP2pp_num6,633.2237018999999
A_ASNN_num1,82.7216201
B_MLTGY1pp_num6,786.906728
A_SQVOSI,186.869985
A_ACACT4r_reverse_num1,742.6285389
A_PNTK,13.36641016
B_HPYRRx_num1,475.25228269999997
A_MDDCP4pp_num3,132.41992679999998
B_HXPRT_num2,219.55787090000004
B_NADHXE_reverse,240.73398569999998
A_FA141ACPHi,20361.15656
A_MDDEP1pp_num6,611.9390394999999
A_ADSL1r,174.612167
A_UPPDC1,74.29659015
A_AGM4PApp_num2,534.9146028
A_NDPK7_reverse_num1,438.92166789999993
A_MCTP1App_num2,186.43223400000002
B_NTD12pp_num1,279.6189562
A_KAS14_num2,108.75618829999999
B_ACONTa_num2,398.670794
A_PUNP2_reverse,63.22078175
B_PGCD,407.46314010000003
B_GLYOX,373.5968883
B_NADDP_num2,144.526139
A_PYDAMK,150.75332
B_PFK_num1,7180.978157
B_PLIPA2E180pp,140.21657
B_HACD5_reverse_num2,370.3523204
A_CBLAT_reverse,1235.6871230000002
A_ADSK,1774.0902190000002
B_ATHRDHr,123.94723729999998
B_BWCOS,116.0961159
B_HEX7,970.1893097999999
B_FMNRx_num1,544.09319
A_NTP3_num1,361.35909039999996
A_RU5PP,423.47891789999994
B_PTAr_num1,1183.117307
A_RHAT1,925.7271599999999
B_CYANST_num1,8900.055602
A_ACACT1r_num1,1391.463598
A_MLTG3,708.1222587999999
A_EAR161y,84.227347
B_ADA,1048.369587
A_CDGR,290.45262230000003
B_GAPP,2935.110572
A_GLUCYS,424.56389630000007
A_PTPATi,18.5012493
A_PLIPA1G120pp,140.2165767
A_3HBZCT,494.3353141
A_AACPS9,104.09820500000001
A_MLTGY3pp_num4,360.05859269999996
A_MDDCP1pp_num5,1257.163872
A_BETALDHy,99.38597696
B_HEPK1,679.4076878
B_LPLIPAL2ATG120,391.5870348
A_ADPT,254.70503650000003
B_FACOAL80t2pp_num2,287.28697630000005
B_MLDCP3App_num5,344.2516677
A_OHPBAT_reverse,251.6770247
A_PAPPT3,6319.780914
A_4ABZGLUH_reverse,158.05792380000003
A_GTHPi,1036.425409
B_AACPS8,216.0314082
B_PGK_reverse,3677.2037689999997
A_GDPDPK_num2,508.30802869999997
B_ACLS_num1,1489.464203
B_TKT2_reverse_num1,1037.274745
A_PRAIi,363.6929381
B_DAAD,288.5379318
A_DC6PDA,895.392405
B_FBA_reverse_num2,90.07363609999999
A_AMPTASECG_num1,292.4706478
B_HACD1_num2,503.1725879
B_OXDHCOAT,366.580603
B_PPK2,242.6787426
B_DURADx,214.04829980000002
B_MLTP1,136.3439156
A_RNTR2c2_num4,167.48688810000002
A_GALKr_reverse,653.7761455
A_RMK,627.2164529
