,MW,kcat,kcat_MW
METGLCUR,273.788,48441.85139,176.9319743
ACOAD1fr,43.0021,42460.6505,987.4087661
FEENTERES,45.6519,22628.10623,495.6662533
FEENTERR4,28.8716,16687.14684,577.9779035
ALR2x,36.3288,36956.8215,1017.287152
OMPHHXy,42.2883,15108.67816,357.2779743
SQVOSI,284.5958,53182.41289,186.869985
6D6SPA,31.983,39442.55994,1233.235154
AI2K,57.5448,9941.061582,172.7534301
ACOXT,83.3415,16076.64152,192.900794
2HESR_num1,64.7832,27159.73869,419.2404619
2HESR_num2,49.0318,27159.73869,553.9208981
CHOLID,107.1144,20571.09954,192.047937
4ABZGLUH,197.5637,9451.478628,47.84015802
PHDA,204.1006,32025.20046,156.9088991
TEO2M,45.0615,30564.75775,678.2898428
PACOAT,59.403,9300.979224,156.574234
DHPTDNR,47.8104,15829.23579,331.0835256
DHPTDNRN,47.8104,25764.69374,538.8930806
PCNO,69.4475,20632.68563,297.0976008
HPACOAT,59.403,20199.22046,340.0370429
DC6PDA,27.7737,24868.36004,895.392405
5DGLCNR,27.5627,10326.6768,374.6612923
5DKGR_num1,27.07,10950.24371,404.5158371
5DKGR_num2,27.5627,10950.24371,397.2848709
PYK6,205.4286,23858.79456,116.1415429
PAI2I,11.2548,9678.496108,859.9438558
CURR,75.2195,9968.899921,132.5307922
LKDRA,173.4961,14748.35399,85.00683295
METNA,38.4954,9848.755829,255.8424079
XYHDL,528.4762,174757.0033,330.6809338
E4PP_num1,29.7077,23567.45492,793.3113274
E4PP_num2,23.0075,23567.45492,1024.33793
E4PP_num3,30.4128,23567.45492,774.918946
E4PP_num4,20.7798,23567.45492,1134.152154
E4PP_num5,24.3302,23567.45492,968.650275
PUACGAMS,66.8476,21535.02252,322.1510199
RU5PP,23.0075,9743.191204,423.4789179
6D6SFK,31.7277,24036.90232,757.5998991
3SLAR,124.6326,32163.07972,258.0631369
ARHGDx,176.7031,18504.6326,104.721607
CPL,31.8451,55622.71588,1746.664821
INOSTO,61.1644,30029.78275,490.9683206
HPYRP,21.4356,20546.33029,958.5143542
PSURIK,33.573,18771.63941,559.1290445
QUINDHyi,62.4556,9660.842064,154.6833601
PNSPA,26.4826,20269.59981,765.3931189
4HTHRK,67.2473,25833.20273,384.1522668
PETNT181pp,63.8044,70069.97275,1098.199697
ARMEPNS,101.1252,96018.1492,949.4977434
RPNTPH,42.0104,863642.4721,20557.82549
PRCPD,55.6956,35200.69678,632.0193477
UDPGPT,52.4085,67455.14386,1287.10312
OMMBLHXy,42.9535,21532.4983,501.2978756
OPHHXy,44.2446,9301.138592,210.2208765
PROD3,287.6303,61607.80649,214.1909475
F1PP_num1,30.4128,30106.44206,989.9266776
F1PP_num2,20.7798,30106.44206,1448.832138
F1PP_num3,23.0075,30106.44206,1308.549041
F1PP_num4,29.7211,30106.44206,1012.965269
ACP1p,98.8772,17920.62895,181.2412664
3HPADHi,53.4186,29369.09112,549.7914794
2HPTCOAT,63.9737,50248.12219,785.4496799
MC6PH,202.05,1075510.261,5322.990651
CYSTA,87.1467,14883.03104,170.7813496
FE3DCITR5,28.8716,12098.3979,419.0414767
4HTHRA,145.9788,168654.009,1155.332206
GAPP,24.3302,71411.82725,2935.110572
PAI2T,318.9274,9523.524841,29.86110582
DHCURR,75.2195,9968.97298,132.5317634
RHMND,353.8117,28119.95353,79.47717255
3HBZCT,59.8804,29600.99634,494.3353141
CXSAMS,55.5533,25116.46412,452.11471
ACOAD1f,89.2244,434993.0386,4875.269978
AMPNTAT,16.5698,23261.95502,1403.876632
SQGH,77.275,31386.49569,406.1662335
QUINDH,62.4556,9439.253176,151.1354174
LCARSyi,37.9784,9500.890252,250.1656271
GTHOr_reverse,97.545,10041.29653,102.9401459
MAN6PI_reverse,42.85,59947.56896,1399.009777
TMDPP_reverse,94.4142,12184.75745,129.0564073
HCO3E_reverse_num1,100.3871,17055.96902,169.9019996
HCO3E_reverse_num2,47.5285,17055.96902,358.8577174
IMPC_reverse,57.3292,36000,627.9522477
ECOAH4_reverse_num1,77.0722,34389.94493,446.2042725
ECOAH4_reverse_num2,159.1878,34389.94493,216.0337974
NDPK5_reverse_num1,23.586,10223.94078,433.4749758
NDPK5_reverse_num2,61.8538,10223.94078,165.2920399
DHORTS_reverse,77.6548,24480,315.2412987
ICDHyr_reverse,91.5134,30368.82282,331.851104
ACALD_reverse_num1,33.4425,142688.5307,4266.682536
ACALD_reverse_num2,3845.0896,142688.5307,37.10928627
ALAR_reverse_num1,77.6892,104292.6285,1342.434064
ALAR_reverse_num2,78.3059,104292.6285,1331.861692
ALATA_L_reverse_num1,91.0347,48870.10901,536.8294618
ALATA_L_reverse_num2,92.4324,48870.10901,528.7118912
PPM_reverse,44.37,32423.2523,730.7471783
ASPTA_reverse_num1,87.1467,75600,867.5027282
ASPTA_reverse_num2,87.0756,75600,868.2110718
A5PISO_reverse_num1,140.7843,33180.19039,235.6810411
A5PISO_reverse_num2,136.1257,33180.19039,243.7467017
IPPMIb_reverse,72.3693,123242.3232,1702.964146
PSCVT_reverse,46.0958,43650.2925,946.9472815
ECOAH6_reverse_num1,77.0722,46056.25922,597.572915
ECOAH6_reverse_num2,159.1878,46056.25922,289.3202822
ENO_reverse,91.3099,51877.32098,568.1456335
FBA_reverse_num1,78.2945,34326.33312,438.4258552
FBA_reverse_num2,381.0919,34326.33312,90.0736361
PGI_reverse,123.0595,323462.6992,2628.506529
PGK_reverse,41.1182,151200,3677.203769
RPE_reverse,24.5542,108366.9572,4413.377638
TALA_reverse_num1,70.4385,17007.88862,241.45728
TALA_reverse_num2,35.6588,17007.88862,476.9618894
TKT1_reverse_num1,144.4235,21768.90264,150.7296433
TKT1_reverse_num2,73.0427,21768.90264,298.0298187
ALCD2x_reverse_num1,3845.0896,86341.98017,22.45512827
ALCD2x_reverse_num2,141.5183,86341.98017,610.1117677
RMI_reverse,188.7978,18114.75932,95.94793647
NDPK6_reverse_num1,23.586,9881.818517,418.9696649
NDPK6_reverse_num2,61.8538,9881.818517,159.7608961
NDPK8_reverse_num1,23.586,14417.88494,611.2899576
NDPK8_reverse_num2,61.8538,14417.88494,233.0961871
PYNP2r_reverse,162.9545,10466.8948,64.23200832
DURIPP_reverse_num1,94.4142,9672.277903,102.4451608
DURIPP_reverse_num2,155.6995,9672.277903,62.12144485
TRPAS2_reverse,211.0938,18000,85.27015005
ILETA_reverse,204.5619,21960,107.3513689
VALTA_reverse,204.5619,31680,154.8675486
ORPT_reverse,47.134,17956.83112,380.9740552
PTAr_reverse_num1,463.0325,420628.6411,908.4214199
PTAr_reverse_num2,72.1335,420628.6411,5831.252346
ACKr_reverse_num1,42.4337,178357.4108,4203.201955
ACKr_reverse_num2,43.2904,178357.4108,4120.02224
ACKr_reverse_num3,43.3841,178357.4108,4111.123909
AIRC3_reverse,142.2426,46800,329.0153583
ADSL2r_reverse,206.1712,15978.08037,77.49908993
PUNP5_reverse_num1,179.0077,9894.50248,55.27417245
PUNP5_reverse_num2,155.6995,9894.50248,63.54871069
PUNP6_reverse_num1,155.6995,9464.634994,60.78783165
PUNP6_reverse_num2,179.0077,9464.634994,52.87278142
PUNP7_reverse,179.0077,32703.33227,182.6923214
PUNP1_reverse,155.6995,36,0.231214615
PUNP2_reverse,155.6995,9843.444108,63.22078175
PUNP3_reverse_num1,179.0077,9803.384518,54.76515545
PUNP3_reverse_num2,155.6995,9803.384518,62.9634939
LYSAM_reverse,38.7496,25606.02051,660.8073505
IPPMIa_reverse,72.3693,106566.4071,1472.536104
MDH_reverse,64.6746,11663.48336,180.3410204
FUM_reverse_num1,120.2106,2156.14877,17.93642799
FUM_reverse_num2,120.5972,2156.14877,17.87892895
FUM_reverse_num3,201.9555,2156.14877,10.67635578
OHPBAT_reverse,79.5666,20025.08515,251.6770247
AGPR_reverse,35.9521,86400,2403.197588
G1SAT_reverse,90.7322,38145.11774,420.4143374
GUI1_reverse,53.9872,18227.31552,337.6229091
PGAMT_reverse,47.5436,14400,302.8798829
GLUR_reverse,31.002,75600,2438.552351
UAG2E_reverse,84.4892,64758.73007,766.4734673
HACD5_reverse_num1,159.1878,28543.86811,179.309395
HACD5_reverse_num2,77.0722,28543.86811,370.3523204
GHMT2r_reverse,90.6332,36640.10614,404.2680402
ADK4_reverse,23.586,27584.11545,1169.51223
KARA1_reverse,216.2761,8280,38.28439666
KARA2_reverse,216.2761,11785.94812,54.49491701
ICHORS_copy2_reverse,97.5291,11143.4815,114.2580163
DHBD_reverse,104.9986,15751.76703,150.0188291
RBP4E_reverse_num1,25.2777,22153.75973,876.4151695
RBP4E_reverse_num2,102.0756,22153.75973,217.0328632
RBP4E_reverse_num3,25.5609,22153.75973,866.7049959
HACD6_reverse_num1,159.1878,28885.7992,181.457368
HACD6_reverse_num2,77.0722,28885.7992,374.788824
ECOAH1_reverse_num1,77.0722,55686.49906,722.5238031
ECOAH1_reverse_num2,159.1878,55686.49906,349.8163745
ECOAH2_reverse_num1,77.0722,45311.23192,587.9062998
ECOAH2_reverse_num2,159.1878,45311.23192,284.6401038
ECOAH3_reverse_num1,77.0722,38981.49761,505.7789658
ECOAH3_reverse_num2,159.1878,38981.49761,244.8774191
UGLT_reverse,79.2914,10608.99987,133.7976107
XYLI2_reverse,198.968,58957.93451,296.3186769
PMANM_reverse,50.4626,15462.38488,306.4127667
UDPG4E_reverse,74.5302,59585.79647,799.4852619
XYLI1_reverse,198.968,12143.93448,61.03461099
LCARS_reverse,81.0267,20440.77639,252.2721077
ALCD19_reverse_num1,141.5183,147353.7592,1041.234662
ALCD19_reverse_num2,3845.0896,147353.7592,38.3225814
RMPA_reverse,120.582,10127.96802,83.9923705
SBTPD_reverse,111.4315,43431.09995,389.756038
GLTPD_reverse,74.7803,26014.78708,347.8828927
TGBPA_reverse_num1,172.3671,11962.53261,69.40148445
TGBPA_reverse_num2,77.9206,11962.53261,153.5220803
MANAO_reverse,53.5802,66372.21763,1238.745239
TAGURr_reverse,54.8083,48756.38965,889.5804039
HACD4_reverse_num1,159.1878,31565.19803,198.2890525
HACD4_reverse_num2,77.0722,31565.19803,409.5536138
HACD7_reverse_num1,77.0722,23943.32058,310.6609203
HACD7_reverse_num2,159.1878,23943.32058,150.4092687
ADK1_reverse,23.586,16170.04165,685.5779551
SERASr_reverse,141.991,133230.4814,938.3022966
MLTP2_reverse,181.0448,20152.04116,111.3096933
CYTK1_reverse,24.7463,22437.44545,906.6989994
CYTK2_reverse,24.7463,10897.88195,440.3842979
GK1_reverse,47.1854,27785.55742,588.8592111
HACD1_reverse_num1,159.1878,41623.13358,261.4718815
HACD1_reverse_num2,77.0722,41623.13358,540.0537883
HACD2_reverse_num1,159.1878,39702.90928,249.4092467
HACD2_reverse_num2,77.0722,39702.90928,515.1391718
NDPK7_reverse_num1,23.586,10352.40646,438.9216679
NDPK7_reverse_num2,61.8538,10352.40646,167.3689646
GLYAT_reverse,86.2341,50081.79355,580.7655388
CRNBTCT_reverse,90.2535,128941.3418,1428.657524
CRNCBCT_reverse,90.2535,23925.28542,265.089835
CRNCDH_reverse,28.1902,14573.28508,516.9628126
NDPK2_reverse_num1,23.586,13143.65765,557.2652273
NDPK2_reverse_num2,61.8538,13143.65765,212.4955565
NDPK3_reverse_num1,61.8538,23476.2708,379.5445195
NDPK3_reverse_num2,23.586,23476.2708,995.3476978
NDPK4_reverse_num1,23.586,25751.50973,1091.813352
NDPK4_reverse_num2,61.8538,25751.50973,416.328661
DGK1_reverse,47.1854,10053.54912,213.0648277
DTMPK_reverse,23.7831,22465.87078,944.6149064
NDPK1_reverse_num1,23.586,9805.867045,415.7494719
NDPK1_reverse_num2,61.8538,9805.867045,158.5329769
PGMT_reverse_num1,58.361,29407.45925,503.8888856
PGMT_reverse_num2,20.7798,29407.45925,1415.194528
PGMT_reverse_num3,23.5649,29407.45925,1247.93482
UMPK_reverse_num1,24.7463,27813.81124,1123.958379
UMPK_reverse_num2,155.8216,27813.81124,178.49779
DDPGALA_reverse,21.3906,53869.17244,2518.357243
F6PA_reverse_num1,229.9682,19796.27081,86.08264451
F6PA_reverse_num2,23.5552,19796.27081,840.4204087
IDOND_reverse,37.1466,19846.42749,534.2730557
MCOATA_reverse,41.0567,9518.869696,231.8469262
DAPE_reverse,60.4171,109969.7887,1820.176551
SDPTA_reverse_num1,91.5493,27000,294.9230633
SDPTA_reverse_num2,44.7291,27000,603.6338759
SDPTA_reverse_num3,87.5339,27000,308.4519255
SDPTA_reverse_num4,87.3307,27000,309.1696276
SDPTA_reverse_num5,79.5666,27000,339.3383656
ARAI_reverse,336.4439,37923.43532,112.7184512
M1PD_reverse,41.139,24491.61456,595.3381113
G3PD2_reverse,72.7232,122400,1683.094253
FCI_reverse,389.86,60125.13198,154.222367
FCLPA_reverse_num1,23.2225,19739.33073,850.0088591
FCLPA_reverse_num2,95.1013,19739.33073,207.5611031
UAGAAT_reverse,92.8795,9875.081682,106.3214346
PRPPS_reverse,34.2183,9727.446006,284.2761331
PRMICI_reverse,26.0326,38487.18989,1478.422819
SERAT_reverse,175.8998,56837.93429,323.1267704
ASPK_reverse_num1,177.7754,131867.8614,741.7666415
ASPK_reverse_num2,356.481,131867.8614,369.9155394
ASPK_reverse_num3,97.0635,131867.8614,1358.573113
ASAD_reverse,80.0358,22680,283.3731905
CBMKr_reverse,31.6441,10062.30195,317.9835088
AMANAPEr_reverse,24.0737,586980.0616,24382.62758
NNATr_reverse,24.528,41349.30422,1685.800074
GAPD_reverse,142.13,56839.88531,399.9147633
ARGSL_reverse,50.3182,10424.18161,207.1652327
ACOATA_reverse,75.6698,9801.989935,129.5363531
MLTP3_reverse,181.0448,10299.24688,56.88783594
OCBT_reverse_num1,110.7213,19557.83972,176.6402645
OCBT_reverse_num2,110.4814,19557.83972,177.0238223
GARFT_reverse,23.2383,40052.3476,1723.548952
PHETA1_reverse_num1,87.1467,31007.86386,355.8122552
PHETA1_reverse_num2,87.0756,31007.86386,356.1027872
PHETA1_reverse_num3,204.5619,31007.86386,151.5818139
MCITL2_reverse,128.5386,20380.45042,158.5550988
ACOTA_reverse_num1,91.5493,32625.37856,356.3695032
ACOTA_reverse_num2,87.3307,32625.37856,373.5843015
ACOTA_reverse_num3,87.5339,32625.37856,372.717068
ACOTA_reverse_num4,44.7291,32625.37856,729.3993968
PRAGSr_reverse,45.9404,17654.10147,384.2827113
PPAKr_reverse,43.3841,9938.898806,229.0908145
PPM2_reverse,44.37,26740.7499,602.6763556
G6PDH2r_reverse,55.7044,27844.11588,499.8548747
FBA3_reverse,78.2945,10772.90842,137.5947023
ADK3_reverse,23.586,12279.19346,520.6136462
HSDy_reverse_num1,177.7754,638760.4157,3593.075396
HSDy_reverse_num2,356.481,638760.4157,1791.84982
ACACT7r_reverse_num1,46.5305,26653.29045,572.8133257
ACACT7r_reverse_num2,81.7524,26653.29045,326.0245626
ACACT2r_reverse_num1,46.5305,48623.593,1044.983248
ACACT2r_reverse_num2,81.7524,48623.593,594.7665512
ACACT3r_reverse_num1,46.5305,36960.01261,794.3179766
ACACT3r_reverse_num2,81.7524,36960.01261,452.0969734
ACACT4r_reverse_num1,46.5305,34554.87723,742.6285389
ACACT4r_reverse_num2,81.7524,34554.87723,422.6772209
AHGDx_reverse,176.7031,28540.16407,161.5147899
TKT2_reverse_num1,144.4235,149806.8491,1037.274745
TKT2_reverse_num2,73.0427,149806.8491,2050.948953
ATPS4rpp_reverse_num1,543.6444,394887.4078,726.3707817
ATPS4rpp_reverse_num2,530.0127,394887.4078,745.0527276
ECOAH8_reverse_num1,77.0722,24530.3731,318.2778369
ECOAH8_reverse_num2,159.1878,24530.3731,154.0970671
ECOAH5_reverse_num1,77.0722,31162.6381,404.3304603
ECOAH5_reverse_num2,159.1878,31162.6381,195.7602159
TRSARr_reverse_num1,123.2023,21843.31589,177.296332
TRSARr_reverse_num2,30.4274,21843.31589,717.8830886
ACACT5r_reverse_num1,81.7524,35501.71811,434.2590323
ACACT5r_reverse_num2,46.5305,35501.71811,762.9773613
MTHFC_reverse,62.0875,53981.9901,869.450213
MTHFD_reverse,62.0875,28796.28731,463.8016881
ACACT6r_reverse_num1,46.5305,29980.30132,644.3150475
ACACT6r_reverse_num2,81.7524,29980.30132,366.7207485
GGGABADr_reverse,53.4186,20083.16025,375.9581915
MALTATr_reverse,60.288,10202.84671,169.2351166
ALAGLUE_reverse,34.674,22236.80583,641.3106601
CBLAT_reverse,21.9989,27183.75746,1235.687123
ARABDI_reverse,389.86,45079.5164,115.6300118
FRULYSDG_reverse,462.8308,10651.82164,23.01450474
ALLPI_reverse,32.1466,10258.17606,319.1060971
ALLULPE_reverse,26.1092,110777.1111,4242.838199
DHPTPE_reverse,112.6563,17788.09141,157.8969965
FALDH2_reverse,78.718,22410.33031,284.6913071
CBIAT_reverse,21.9989,21148.31387,961.3350608
GLUDy_reverse_num1,291.4882,666000,2284.826624
GLUDy_reverse_num2,861.249,666000,773.2955278
HACD3_reverse_num1,159.1878,36814.26424,231.2631008
HACD3_reverse_num2,77.0722,36814.26424,477.6594445
E4PD_reverse_num1,149.1976,19375.48784,129.864608
E4PD_reverse_num2,142.13,19375.48784,136.3222954
DADK_reverse,23.586,13343.77709,565.7498978
CRNCAR_reverse,28.1902,20738.59238,735.6667345
DHFR_reverse_num1,26.3483,20559.74064,780.3061541
DHFR_reverse_num2,17.9994,20559.74064,1142.245888
TYRTA_reverse_num1,87.1467,24103.01587,276.5797887
TYRTA_reverse_num2,87.0756,24103.01587,276.8056249
TYRTA_reverse_num3,204.5619,24103.01587,117.8274931
PUNP4_reverse_num1,179.0077,9382.349419,52.41310524
PUNP4_reverse_num2,155.6995,9382.349419,60.259342
AMAOTr_reverse,94.6712,32523.36129,343.5401821
GLCATr_reverse,60.288,10000.12983,165.8726418
ALAALAr_reverse_num1,39.3158,20079.23664,510.7167256
ALAALAr_reverse_num2,65.6794,20079.23664,305.7158963
ACACT1r_reverse_num1,46.5305,49056.7815,1054.293023
ACACT1r_reverse_num2,161.4099,49056.7815,303.9267201
ACACT1r_reverse_num3,81.7524,49056.7815,600.0653375
SUCOAS_reverse,142.3403,36798.90163,258.5276386
GALKr_reverse,41.4421,27093.8564,653.7761455
YUMPS_reverse,98.7297,117059.4818,1185.656209
ADSL1r_reverse,206.1712,16835.37942,81.65728007
AICART_reverse,57.3292,30129.89223,525.5592653
PGM_reverse_num1,57.1128,242966.3202,4254.148285
PGM_reverse_num2,56.1939,242966.3202,4323.713432
TPI_reverse,53.9436,132458.5014,2455.499844
RPI_reverse_num1,45.7208,85593.19064,1872.084273
RPI_reverse_num2,32.1466,85593.19064,2662.589221
PERD_reverse,82.7353,29134.95894,352.1466525
ATHRDHr_reverse,108.9957,28339.93201,260.0096335
LSERDHr_reverse,108.9957,11184.7652,102.6165729
DSERDHr_reverse,108.9957,17622.70624,161.6825823
UDPKAAT_reverse,41.6498,44134.30026,1059.652153
MLTP1_reverse,181.0448,78285.20605,432.4079236
IPDDI_reverse,20.5083,55097.27431,2686.584179
DURADx_reverse,178.7966,14611.84152,81.72326275
ECOAH7_reverse_num1,77.0722,25171.19057,326.5923455
ECOAH7_reverse_num2,159.1878,25171.19057,158.122611
LDH_D_reverse,146.1392,11290.79911,77.26057834
T2DECAI_reverse,37.9381,17543.29767,462.4189843
CLPNS180pp_reverse_num1,54.8223,9824.361941,179.2037536
CLPNS180pp_reverse_num2,47.6335,9824.361941,206.2490042
CLPNS181pp_reverse_num1,54.8223,10525.55087,191.9939672
CLPNS181pp_reverse_num2,47.6335,10525.55087,220.969504
CLPNS120pp_reverse_num1,47.6335,17185.48773,360.7857439
CLPNS120pp_reverse_num2,54.8223,17185.48773,313.4762265
CLPNS160pp_reverse_num1,47.6335,19150.79185,402.0446083
CLPNS160pp_reverse_num2,54.8223,19150.79185,349.3248523
CLPNS161pp_reverse_num1,54.8223,13654.34394,249.0655069
CLPNS161pp_reverse_num2,47.6335,13654.34394,286.6542232
HPYRI_reverse,58.7549,10252.32424,174.4930932
GUI2_reverse,53.9872,1106757.021,20500.35973
3OAR120_reverse,102.2412,168004.9209,1643.221332
ACONTb_reverse_num1,186.9962,58615.67725,313.4591893
ACONTb_reverse_num2,195.3544,58615.67725,300.0478988
MICITDr_reverse,186.9962,42684.56006,228.264318
ACONTa_reverse_num1,186.9962,34269.90152,183.2652296
ACONTa_reverse_num2,195.3544,34269.90152,175.4242624
3OAR140_reverse,102.2412,10447.04323,102.1803659
3OAR160_reverse,102.2412,15760.16442,154.1469038
CLPNS140pp_reverse_num1,54.8223,25952.24174,473.3884157
CLPNS140pp_reverse_num2,47.6335,25952.24174,544.8317201
CLPNS141pp_reverse_num1,54.8223,18706.27168,341.2164699
CLPNS141pp_reverse_num2,47.6335,18706.27168,392.712517
3OAR60_reverse,102.2412,16171.49843,158.1700765
3OAR80_reverse,102.2412,41062.49348,401.6237435
3OAR40_reverse,102.2412,15479.59285,151.4026914
3OAR100_reverse,102.2412,21350.28,208.8226664
3OAR180_reverse,102.2412,11764.09956,115.0622211
ACOAD7f_reverse,89.2244,460800,5164.50657
ACOAD8f_reverse,89.2244,323145.3704,3621.715253
ACOAD5f_reverse,89.2244,1281600,14363.7839
ACOAD3f_reverse,89.2244,1281600,14363.7839
ACOAD2f_reverse,89.2244,1281600,14363.7839
ACOAD4f_reverse,89.2244,1281600,14363.7839
ACOAD6f_reverse,89.2244,1000800,11216.66271
FRULYSE_reverse,249.3506,26511.74296,106.3231569
POR5_reverse_num1,148.5614,52980.56892,356.6240552
POR5_reverse_num2,148.5246,52980.56892,356.7124161
HACD8_reverse_num1,159.1878,23805.65727,149.5444831
HACD8_reverse_num2,77.0722,23805.65727,308.8747599
CTECOAI8_reverse,159.1878,51918.91394,326.1488251
CTECOAI6_reverse,159.1878,29128.12964,182.9796608
REPHACCOAI_reverse,28.4046,10703.34754,376.8174007
DHNPTE_reverse,108.9562,10065.04768,92.37700727
FORCT_reverse,91.6564,129064.0685,1408.129367
HADPCOADH3_reverse,51.7326,18258.39275,352.9378525
ACACT8r_reverse_num1,46.5305,30393.77583,653.201144
ACACT8r_reverse_num2,81.7524,30393.77583,371.7783922
CTECOAI7_reverse,159.1878,198000,1243.81391
DHACOAH_reverse,27.2374,12132.60569,445.4392009
ALDD19xr_reverse,214.7965,9300.75871,43.3003271
VPAMTr_reverse,46.7112,10207.799,218.5300099
13PPDH2_reverse,84.194,10451.44479,124.1352684
GHBDHx_reverse,124.6326,135145.7337,1084.353
APPLDHr_reverse,309.6976,20318.82558,65.60859878
DHNPA2r_reverse,108.9562,11082.16412,101.7121019
NADHXE_reverse,54.6503,13156.18454,240.7339857
NADPHXE_reverse,54.6503,922865.2178,16886.73654
DXYLTD_reverse_num1,69.3992,71697.11216,1033.111508
DXYLTD_reverse_num2,70.0168,71697.11216,1023.9987
2DDARAA_reverse_num1,32.7217,9688.408474,296.0851201
2DDARAA_reverse_num2,130.1216,9688.408474,74.4565735
ACOXT_reverse,83.3415,10077.21241,120.9146993
4ABZGLUH_reverse,197.5637,31226.50825,158.0579238
PCNO_reverse,69.4475,18766.78821,270.2298601
5DKGR_reverse_num1,27.07,23521.17739,868.9020092
5DKGR_reverse_num2,27.5627,23521.17739,853.3698582
LKDRA_reverse,173.4961,9819.411113,56.59730169
METNA_reverse,38.4954,27085.97543,703.6158977
PUACGAMS_reverse,66.8476,82566.7816,1235.149528
ARHGDx_reverse,176.7031,9808.83436,55.51025624
INOSTO_reverse,61.1644,28380.97591,464.0113515
UDPGPT_reverse,52.4085,46403.30621,885.4156522
4HTHRA_reverse,145.9788,16492.0015,112.975319
RHMND_reverse,353.8117,16526.48756,46.70983905
ADH,37.648,421.2,11.1878453
