,MW,kcat,kcat_MW
LPLIPAL2G140,38.9783,16311.88717,418.4863673
LPLIPAL2G160,38.9783,10136.74444,260.0612248
LPLIPAL2G120,38.9783,9300.050474,238.5955897
PGPP161pp_num1,19.4181,9508.609454,489.6776437
PGPP161pp_num2,29.0213,9508.609454,327.6424369
PAPA140,29.0213,33006.15625,1137.307986
PAPA141,29.0213,9542.900549,328.8240206
PAPA161,29.0213,17767.63809,612.227505
DSBAO1,43.2467,20873.21805,482.6545852
DSBAO2,43.2467,11874.51671,274.57625
DSBDR_num1,77.3499,37200.94625,480.943689
DSBDR_num2,73.6017,37200.94625,505.4359648
PLIPA2A120pp,66.3263,9319.130597,140.5043037
PLIPA2A160pp,66.3263,14809.58551,223.2837579
LPLIPAL2E120,38.9783,9300.089592,238.5965933
EAR100x,111.4558,13324.87919,119.5530353
EAR120x,111.4558,15973.78694,143.3194768
EAR160x,111.4558,9300.034296,83.44145658
EAR140y,111.4558,15246.01464,136.7897825
3OAS121,85.2266,9300.067402,109.1216522
3OAS80_num1,85.2266,9300.057325,109.1215339
3OAS80_num2,86.0915,9300.057325,108.0252676
3OAS100_num1,85.2266,9300.069292,109.1216744
3OAS100_num2,86.0915,9300.069292,108.0254066
3OAS120_num1,86.0915,9300.044909,108.0251234
3OAS120_num2,85.2266,9300.044909,109.1213883
3OAR40,102.2412,11866.89778,116.0676692
3OAR100,102.2412,9300.038342,90.96174871
3HAD60_num1,37.9381,35394.22481,932.9466897
3HAD60_num2,102.1977,35394.22481,346.3309332
3HAD100_num1,37.9381,9300.031517,245.1369867
3HAD100_num2,102.1977,9300.031517,91.00039939
3HAD140_num1,37.9381,9689.000825,255.3897223
3HAD140_num2,102.1977,9689.000825,94.80644697
3HAD160_num1,37.9381,9300.049708,245.1374662
3HAD160_num2,102.1977,9300.049708,91.00057739
AGPAT180,27.4532,9300.222929,338.7664436
AGPAT141,27.4532,18651.92002,679.4078657
AGPAT161,27.4532,576000,20981.16067
DASYN120,31.4538,9544.492519,303.4448149
EAR40x,111.4558,44179.31434,396.3841661
EAR60y,111.4558,14300.64672,128.3077841
MLDEP1pp,60.2733,42680.98235,708.1242001
MLDEP2pp,60.2733,29895.31519,495.9959914
MLTGY2pp_num1,49.4175,72155.37283,1460.117829
MLTGY2pp_num2,22.2266,72155.37283,3246.352246
MLTGY2pp_num3,40.4106,72155.37283,1785.555593
MLTGY2pp_num4,40.1125,72155.37283,1798.825125
MLTGY2pp_num5,73.3532,72155.37283,983.670417
MLTGY2pp_num6,40.2558,72155.37283,1792.421783
MLTGY2pp_num7,58.3022,72155.37283,1237.609779
MLTGY2pp_num8,38.2474,72155.37283,1886.543212
MLTGY4pp_num1,49.4175,14600.99625,295.462058
MLTGY4pp_num2,40.1125,14600.99625,364.001153
MLTGY4pp_num3,40.2558,14600.99625,362.7054052
MLTGY4pp_num4,73.3532,14600.99625,199.0505697
MLTGY4pp_num5,40.4106,14600.99625,361.3159975
MLTGY4pp_num6,22.2266,14600.99625,656.9154189
MLTGY4pp_num7,58.3022,14600.99625,250.4364544
MLTGY4pp_num8,38.2474,14600.99625,381.7513413
EAR60x,111.4558,13560.4688,121.6667845
EAR80x,111.4558,14706.89696,131.9527289
NTP11,36.4253,10027.83356,275.2985853
3OAS180_num1,86.0915,16822.95266,195.4078238
3OAS180_num2,85.2266,16822.95266,197.3908693
3HAD180_num1,37.9381,9449.861839,249.0863232
3HAD180_num2,102.1977,9449.861839,92.4664825
CDAPPA120,28.4508,31900.48775,1121.250993
PSSA120,52.8018,21806.89222,412.995243
PSD120,35.9344,38651.46836,1075.611903
PAPA120,29.0213,36805.00327,1268.206568
MDDEP1pp_num1,21.0399,30020.38301,1426.831069
MDDEP1pp_num2,29.9166,30020.38301,1003.469078
MDDEP1pp_num3,60.2733,30020.38301,498.0710034
MDDEP1pp_num4,51.7983,30020.38301,579.563094
MDDEP1pp_num5,33.8874,30020.38301,885.8862884
MDDEP1pp_num6,49.0578,30020.38301,611.9390395
MDDEP1pp_num7,41.849,30020.38301,717.3500683
MDDEP2pp_num1,21.0399,194468.9023,9242.86248
MDDEP2pp_num2,29.9166,194468.9023,6500.367766
MDDEP2pp_num3,60.2733,194468.9023,3226.451883
MDDEP2pp_num4,51.7983,194468.9023,3754.349125
MDDEP2pp_num5,33.8874,194468.9023,5738.678751
MDDEP2pp_num6,49.0578,194468.9023,3964.077115
MDDEP2pp_num7,41.849,194468.9023,4646.918739
PSD181,35.9344,18069.53214,502.8477487
DAGK180,39.734,9300.360269,234.0655426
DAGK181,39.734,13406.26531,337.400345
PLIPA2E120pp,66.3263,10490.57744,158.166179
PLIPA2G141pp,66.3263,9300.051727,140.216652
PLIPA2G161pp,66.3263,11859.91282,178.811615
LPLIPAL1A120pp,94.4886,9607.451501,101.6784194
LPLIPAL1A140pp,94.4886,21414.67088,226.6376143
LPLIPAL1A181pp,94.4886,15755.14779,166.7412555
LPLIPAL1E120pp,94.4886,18049.24557,191.0203513
3OAR180,102.2412,9346.605887,91.41721622
G3PAT120,100.021,9886.455119,98.84379399
PGSA120,20.7006,9537.672938,460.7437919
NADHPO,319.9686,10193.77953,31.85868716
ACOAD7f,89.2244,168849.2482,1892.411136
ACOAD8f,89.2244,76148.30066,853.4470465
ACOAD5f,89.2244,223003.5589,2499.356218
ACOAD3f,89.2244,374885.7826,4201.606092
ACOAD2f,89.2244,426233.6705,4777.097638
ACOAD4f,89.2244,185797.065,2082.357124
ACOAD6f,89.2244,208640.9014,2338.383911
NADH16pp,540.4142,5400000,9992.335509
NADH18pp,540.4142,12049.1586,22.29615469
CTBTCAL2,58.5591,10877.64559,185.7549995
BGLA1_num1,53.9349,37406.12216,693.5420694
BGLA1_num2,202.05,37406.12216,185.1329976
BGLA1_num3,53.1613,37406.12216,703.6344514
GDPMNP,43.4973,58494.91914,1344.794255
AMMQLT8,28.0732,25407.58414,905.0476661
FA120ACPHi,22.9611,17684.13687,770.1781217
FA80ACPHi,22.9611,9507.786649,414.0823675
FA140ACPHi,22.9611,100253.0484,4366.212786
FA100ACPHi,22.9611,9507.909798,414.0877309
CRNDCAL2,58.5591,20216.42014,345.2310596
CRNCAL2,58.5591,10143.28302,173.2144623
FRULYSE,249.3506,20347.52166,81.60205614
OXCDC,242.3249,11287.64711,46.58063249
LPLIPAL2A140,38.9783,9300.044372,238.5954332
LPLIPAL2A160,38.9783,10123.72369,259.7271736
LPLIPAL2A161,38.9783,25406.02561,651.7992219
LPLIPAL2A180,38.9783,18839.70967,483.3384132
LPLIPAL2A181,38.9783,13091.78521,335.8736838
UM3PL,49.8741,9421.28154,188.9012842
UM4PL,49.8741,9308.520536,186.6403712
2MAHMP_num1,30.3709,10170.48834,334.8760932
2MAHMP_num2,17.4329,10170.48834,583.4077141
PLIPA1A120pp,66.3263,9300.040452,140.216482
PLIPA1A140pp,66.3263,9300.04132,140.2164951
PLIPA1A141pp,66.3263,9300.070328,140.2169325
PLIPA1A160pp,66.3263,12745.09621,192.1575033
PLIPA1A161pp,66.3263,21566.39233,325.1559687
PLIPA1A180pp,66.3263,12246.46773,184.6396939
LPLIPAL2A120,38.9783,9300.07543,238.59623
KDUI,186.4581,45006.1627,241.3741355
NADH17pp,540.4142,134714.4577,249.280011
FA161ACPHi,22.9611,72014.93431,3136.388688
FA141ACPHi,22.9611,467514.5519,20361.15656
FA160ACPHi,22.9611,34673.13241,1510.081503
DTARTD,120.2106,45441.45666,378.0153885
PLIPA2E161pp,66.3263,9331.080116,140.6844663
PLIPA2E180pp,66.3263,9300.046288,140.21657
PLIPA2G120pp,66.3263,9331.096327,140.6847107
PLIPA2G180pp,66.3263,11670.73496,175.959385
LPLIPAL1A161pp,94.4886,14398.00521,152.3782256
LPLIPAL1A160pp,94.4886,313499.2089,3317.852195
GALCTLO,36.4479,21845.1942,599.3539875
THRA_num1,90.6332,53168.68951,586.6359073
THRA_num2,145.9788,53168.68951,364.2219933
XYLK2_num1,122.1788,44532.4874,364.4862071
XYLK2_num2,110.3097,44532.4874,403.7041838
GLDBRAN2,73.5767,31696.23254,430.7917118
POR5_num1,148.5614,16213.79769,109.1386975
POR5_num2,148.5246,16213.79769,109.1657388
HACD8_num1,159.1878,30181.25367,189.5952684
HACD8_num2,77.0722,30181.25367,391.5971475
CTECOAI8,159.1878,29862.20361,187.5910315
