,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.026:0.04,0.09627798409633215,2.9740465913537073,6.0,1.0574479352937942,3.997286739273719,5.999999999999349,1.9856338320990972,5.011891672431301,6.0,1.9840000086421696,7.761143816216922,6.0
1,0.026:0.041,0.09627798409633215,2.9740465913537073,6.0,1.057402183659974,3.9989533925197227,5.999999999999671,1.985590622222503,5.01356015846101,6.0,1.9839567987655755,7.762813246084787,6.0
2,0.026:0.042,0.09627798409633215,2.9740465626062598,6.0,1.0573564320260402,4.000620045765618,5.9999999999997735,1.9855474123463637,5.0152286444922884,6.0,1.9839135888894361,7.764482675953169,6.0
3,0.026:0.043000000000000003,0.09627798409633215,2.9740465913537073,6.0,1.0573106803923338,4.00228667026432,6.000000000000368,1.9855042024696559,5.016897130521617,6.0,1.983870379012842,7.766152105821035,6.0
4,0.026:0.044,0.09627798409633215,2.9740465913537073,6.0,1.0572649287584,4.003953352257627,6.0000000000004805,1.985460992592948,5.0185656165509425,6.0,1.9838271691360205,7.7678215356886415,6.0
5,0.026:0.045,0.09627798409633215,2.9740465626062638,6.0,1.0572191771244661,4.005619976756096,6.0000000000005755,1.985417782716354,5.020234102580648,6.0,1.9837839592594264,7.769490965556526,6.0
6,0.026:0.046,0.09627798409633215,2.974046591353684,6.0,1.0571734254904186,4.007286630001853,6.000000000000452,1.9853745728397598,5.021902588610363,6.0,1.9837407493828323,7.771160395424379,6.0
7,0.026:0.047,0.09627798409633215,2.974046591353684,6.0,1.0571276738564848,4.008953283248305,6.0,1.9853313629629383,5.0235710746393,6.0,1.9836975395060108,7.772829825291998,6.0
8,0.026:0.048,0.09627798409633215,2.974046591353684,6.0,1.0570819222233467,4.010619936496392,6.0,1.9852881530866853,5.025239560670188,6.0,1.9836543296298714,7.7744992551603795,6.0
9,0.026:0.049,0.09627798409633215,2.974046562606262,6.0,1.0570361705892992,4.012286589740267,6.000000000002142,1.9852449432100912,5.026908057510376,6.0,1.9836111197532773,7.7761686850282485,6.0
10,0.026:0.05,0.09627798409633215,2.974046591353684,6.0,1.0569904189552517,4.013953271733447,6.000000000002014,1.985201733333497,5.0285765327296135,6.0,1.9835679098766832,7.7778381148961016,6.0
11,0.026:0.051000000000000004,0.09627798409633215,2.9740465626062518,6.0,1.056944667320522,4.0156198962310485,6.0000000000005205,1.9851585234574713,5.030244285328635,6.0,1.9835247000005438,7.779507544764493,6.0
12,0.026:0.052000000000000005,0.09627798409633215,2.9740465913537,6.0,1.056898915686702,4.017286549477047,6.0,1.9851153135808772,5.031913504791008,6.0,1.9834814901239497,7.7811769746323645,6.0
13,0.026:0.053000000000000005,0.09627798409667321,2.9740465626066257,6.0,1.056853164052768,4.0189532314703715,6.000000000000951,1.9850721037040557,5.0335819908199415,6.0,1.9834382802471282,7.782846404499928,6.0
14,0.026:0.054,0.09627798409667321,2.9740465913540737,6.0,1.0568074124187206,4.020619884716138,6.000000000000829,1.9850288938275753,5.03525047685003,6.0,1.983395070370534,7.784515834367825,6.0
15,0.026:0.055,0.09627798409633215,2.9740465626062593,6.0,1.0567616607847867,4.022286509214606,6.000000000001005,1.9849856839504127,5.036918962877798,6.0,1.9833518604934852,7.786185264235197,6.0
16,0.026:0.056,0.09626066373027697,2.9747494857382204,6.0,1.0567159091507392,4.023953191207785,6.000000000000824,1.984942474074046,5.038587448908292,6.0,1.9833086506171185,7.787854694103285,6.0
17,0.026:0.057,0.09621947379889662,2.9764211221992047,6.0,1.0566701575157822,4.025619815705138,5.999999999998905,1.9848992641979066,5.04025518791831,6.0,1.983265440740979,7.7895241239716695,6.0
18,0.026:0.058,0.09617828386672045,2.9780927586593355,6.0,1.0566244058817347,4.027286468949889,6.0,1.9848560543211988,5.0419244209688925,6.0,1.983222230864385,7.791193553839547,6.0
19,0.026:0.059,0.09613709393534009,2.9797643951203336,6.0,1.0565786542478008,4.028953122196789,5.999999999998858,1.9848128444447184,5.043592906999002,6.0,1.9831790209877909,7.792862983707406,6.0
20,0.026:0.06,0.09609590400361867,2.9814360315809756,6.0,1.0565329026148902,4.0306197754437925,6.0,1.984769634568579,5.04526139303028,6.0,1.9831358111116515,7.794532413575778,6.0
21,0.026:0.061,0.09605471407303412,2.983107668042813,6.0,1.0564871509806153,4.032286428689682,6.0,1.984726424691985,5.046929132038574,6.0,1.9830926012350574,7.7962018434436615,6.0
