,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.071:0.04,0.051277984096373075,2.9673269275428606,6.0,1.012153817646663,4.144760384570514,5.999999999999198,1.940356054321228,5.609756245640014,6.0,1.9403560543210006,7.752577704170424,6.0
1,0.071:0.041,0.051277984096373075,2.9673269275428606,6.0,1.012108066012729,4.146755471415894,5.99999999999932,1.9403128444445201,5.6117002535398814,6.0,1.9403128444446338,7.754247217707691,6.0
2,0.071:0.042,0.051277984096373075,2.9673269275428606,6.0,1.0120623143794774,4.148750558262467,6.000000000000838,1.9402696345684944,5.613643851115274,6.0,1.9402696345684944,7.755916731245206,6.0
3,0.071:0.043000000000000003,0.051277984096373075,2.9673269275428606,6.0,1.0120165627455435,4.150745717905895,6.000000000000893,1.9402264246915593,5.615587287073337,6.0,1.9402264246919003,7.757586244782225,6.0
4,0.071:0.044,0.051277984096373075,2.967326927542853,6.0,1.011970811111496,4.152740804751259,6.000000000000773,1.9401832148149651,5.617530723033495,6.0,1.9401832148148515,7.759255758318742,6.0
5,0.071:0.045,0.051277984096373075,2.9673269275428553,6.0,1.0119250594775622,4.15473581879924,6.000000000000893,1.9401400049384847,5.61947415899442,6.0,1.9401400049384847,7.7609252718560064,6.0
6,0.071:0.046,0.051277984096373075,2.9673269275428553,6.0,1.0118793078435147,4.156715316666526,6.00000000000076,1.9400967950618906,5.621417594954588,6.0,1.9400967950618906,7.762594785393022,6.0
7,0.071:0.047,0.051277984096373075,2.967326927542852,6.0,1.0118335562094671,4.158725992489739,6.000000000000654,1.9400535851849554,5.623361030912632,6.0,1.9400535851848417,7.7642669896517456,6.0
8,0.071:0.048,0.051277984096373075,2.967326927542849,6.0,1.0117878045761017,4.160721079336172,6.000000000001883,1.940010375308816,5.625285705032334,6.0,1.9400103753087024,7.765933812467054,6.0
9,0.071:0.049,0.051277984096373075,2.967326898784242,6.0,1.011742052942168,4.162716238979683,6.000000000001979,1.939967165432222,5.627229121521688,6.0,1.9399671654323356,7.767603326004313,6.0
10,0.071:0.05,0.051277984096373075,2.9673269275428558,6.0,1.0116963013081204,4.164711253026999,6.000000000001885,1.9399239555557415,5.629172557482572,6.0,1.9399239555557415,7.769272839541339,6.0
11,0.071:0.051000000000000004,0.051277984096373075,2.9673269275428593,6.0,1.0116505496733907,4.166706412669092,6.000000000000359,1.9398807456794884,5.631115993444729,6.0,1.9398807456796021,7.770942353078851,6.0
12,0.071:0.052000000000000005,0.051277984096373075,2.9673269275428593,6.0,1.011604798039457,4.168701499514814,6.000000000000471,1.939837535803008,5.633059429405588,6.0,1.939837535803008,7.772611866615852,6.0
13,0.071:0.053000000000000005,0.051277984096373075,2.9673269275428593,6.0,1.0115590464054094,4.170696513562094,6.000000000000373,1.9397943259261865,5.635003354433843,6.0,1.9397943259259591,7.774281380152387,6.0
14,0.071:0.054,0.05127798409682782,2.9673269275433563,6.0,1.0115132947714756,4.172691600407762,6.0000000000004805,1.9397511160495924,5.636946052947925,6.0,1.9397511160495924,7.775950893689651,6.0
15,0.071:0.055,0.051277984096373075,2.9673269275428593,6.0,1.011467543137428,4.174686760051018,6.000000000000361,1.9397079061726572,5.638890094599912,6.0,1.9397079061725435,7.7776204072261255,6.0
16,0.071:0.056,0.05126066372997684,2.9680298572313397,6.0,1.0114217915034942,4.176681846896528,6.000000000000436,1.9396646962961768,5.64085209897252,6.0,1.9396646962959494,7.77928992076315,6.0
17,0.071:0.057,0.05121947379859648,2.9697016064354917,6.0,1.0113760398687646,4.178676933740569,5.999999999998958,1.9396214864200374,5.642792937801983,6.0,1.93962148641981,7.780959434300698,6.0
18,0.071:0.058,0.051178283866079255,2.9713733268798075,6.0,1.011330288234717,4.180672020585931,5.999999999998838,1.9395782765433296,5.644738970895103,6.0,1.939578276543216,7.782628947837704,6.0
19,0.071:0.059,0.051137093934698896,2.973045047325359,6.0,1.0112845366007832,4.182667034633543,5.9999999999989555,1.9395350666668492,5.646682406856008,6.0,1.9395350666668492,7.784298461374956,6.0
20,0.071:0.06,0.051095904003432224,2.974716767771038,6.0,1.0112387849675315,4.184662121480429,6.000000000000423,1.9394918567908235,5.648606292452655,6.0,1.9394918567907098,7.785967974912478,6.0
21,0.071:0.061,0.051054714072051866,2.9763884882165916,6.0,1.0111930333335977,4.186641619348053,6.000000000000533,1.9394486469142294,5.6505498806156105,6.0,1.9394486469141157,7.787637488449477,6.0
22,0.071:0.062,0.051013524140330446,2.978060208661772,6.0,1.0111472816995501,4.188636706193325,6.000000000000409,1.9394054370372942,5.6525126816221745,6.0,1.9394054370370668,7.789307001985989,6.0
23,0.071:0.063,0.05097233421020064,2.979731929108692,6.0,1.0111015300656163,4.190631793038902,6.000000000000518,1.9393622271607,5.654437800324807,6.0,1.9393622271607,7.790976515523258,6.0
24,0.071:0.064,0.050931144279502405,2.9814036495549936,6.0,1.0110557784315688,4.192626879884276,6.000000000000396,1.9393190172837649,5.6564000366134,6.0,1.9393190172836512,7.792646029059769,6.0
25,0.071:0.065,0.050889954348122046,2.9830753700005324,6.0,1.0110100267975213,4.194621966729611,6.000000000000272,1.9392758074071708,5.658343472573534,6.0,1.939275807407057,7.794315542596828,6.0
26,0.071:0.066,0.05084876441674169,2.984747090446084,6.0,1.0109642751643833,4.196617053576489,6.000000000001983,1.9392325975310314,5.66028642546374,6.0,1.9392325975309177,7.795985056134328,6.0
27,0.071:0.067,0.05080757448536133,2.9864188108916445,6.0,1.0109185235304494,4.198612140422024,6.000000000002087,1.9391893876544373,5.662228774533867,6.0,1.9391893876543236,7.797654569671353,6.0
28,0.071:0.068,0.05076638455409466,2.988090502578726,6.0,1.010872771896402,4.200607227267396,6.000000000001965,1.9391461777779568,5.664172210494824,6.0,1.9391461777779568,7.799324083208648,6.0
29,0.071:0.069,0.0507251946227143,2.9897622517828855,6.0,1.0108270202616723,4.202617903089525,6.000000000000469,1.9391029679018175,5.666115646457616,6.0,1.9391029679018175,7.800993596746154,6.0
30,0.071:0.07,0.05068400469133394,2.991433972228437,6.0,1.0107812686277384,4.204613062732811,6.000000000000597,1.939059758025337,5.668059912565978,6.0,1.9390597580252233,7.802663110283173,6.0
31,0.071:0.07100000000000001,0.05064281475995358,2.99310569267399,6.0,1.010735516993691,4.206608076780227,6.000000000000434,1.9390165481484019,5.670000772807608,6.0,1.9390165481481745,7.8043326238196755,6.0
32,0.071:0.07200000000000001,0.05060162482982378,2.9947774131209104,6.0,1.0106897653596434,4.208603236423657,6.000000000000352,1.938973338271694,5.671946784483296,6.0,1.9389733382718077,7.806002137356953,6.0
33,0.071:0.07300000000000001,0.050560434898557105,2.99644913356659,6.0,1.0106440137257096,4.210598323269183,6.000000000000458,1.9389301283948726,5.673887644726719,6.0,1.9389301283947589,7.807671650893458,6.0
34,0.071:0.07400000000000001,0.05051924496694937,2.998120854011894,6.0,1.010598262091662,4.212593337316383,6.000000000000303,1.9388869185182784,5.675832998232915,6.0,1.9388869185181647,7.80934116443047,6.0
35,0.071:0.07500000000000001,0.050478055035569014,2.9997925744574196,6.0,1.0105525104569324,4.214572835182963,5.999999999998841,1.9388437086422527,5.67777643419643,6.0,1.9388437086420254,7.811010677967956,6.0
36,0.071:0.07600000000000001,0.050436865104188655,3.0014642949029877,6.0,1.0105067588231122,4.216583511006543,5.99999999999916,1.938800498765545,5.679719870155979,6.0,1.9388004987654313,7.812680191505015,6.0
37,0.071:0.077,0.05039567517155774,3.0031360153471858,6.0,1.0104610071891784,4.218563008874225,5.999999999999268,1.9387572888890645,5.681645903771949,6.0,1.9387572888890645,7.814349705042247,6.0
38,0.071:0.078,0.05035448524029107,3.004807735792853,6.0,1.0104152555559267,4.220558095720799,6.000000000000744,1.9387140790128115,5.683607545693146,6.0,1.9387140790129251,7.8160192185797595,6.0
39,0.071:0.079,0.0503132953090244,3.006479456238532,6.0,1.0103695039217655,4.222568844341536,6.000000000000413,1.9386708691361036,5.685550981652645,6.0,1.9386708691358763,7.817688732116286,6.0
40,0.071:0.08,0.05027210537764404,3.008151176684083,6.0,1.010323752287718,4.224563931187194,6.00000000000029,1.9386276592595095,5.687474078607664,6.0,1.9386276592592822,7.819358245653294,6.0
41,0.071:0.081,0.05023091544626368,3.0098228683710424,6.0,1.0102780006536705,4.22655901803258,6.000000000000169,1.9385844493828017,5.689435242654826,6.0,1.9385844493829154,7.821027759190561,6.0
42,0.071:0.082,0.05018972551488332,3.0114946175751918,6.0,1.0102322490197366,4.228554032080146,6.000000000000273,1.9385412395059802,5.69136347403969,6.0,1.9385412395058665,7.82269727272709,6.0
43,0.071:0.083,0.05014853558350296,3.0131663092621457,6.0,1.010186497385689,4.230549118925492,6.000000000000151,1.9384980296294998,5.693322153496768,6.0,1.9384980296292724,7.824366786264074,6.0
44,0.071:0.08399999999999999,0.050107345652122603,3.0148380584662995,6.0,1.010140745752551,4.23252861679455,6.000000000001841,1.9384548197533604,5.695265589459103,6.0,1.938454819753133,7.826036299801595,6.0
45,0.071:0.08499999999999999,0.05006615571971906,3.0165097789107485,6.0,1.0100949941186173,4.234523703640244,6.00000000000193,1.9384116098767663,5.6972090254193795,6.0,1.9384116098767663,7.827705813338877,6.0
46,0.071:0.086,0.050024965788338704,3.018181470597699,6.0,1.0100492424845697,4.236534379463313,6.0000000000018705,1.9383684000001722,5.69915246137967,6.0,1.9383684000001722,7.829375326875878,6.0
47,0.071:0.087,0.049983775856958346,3.0198531910432527,6.0,1.01000349084984,4.238529466307453,6.000000000000364,1.9383251901240328,5.701095897342,6.0,1.9383251901240328,7.831044840413395,6.0
48,0.071:0.088,0.0499425859254643,3.0215249402472923,6.0,1.0099577392157926,4.240508964174904,6.0000000000002105,1.9382819802472113,5.70304821932701,6.0,1.938281980246984,7.832714353949911,6.0
49,0.071:0.089,0.04990139599419763,3.023196660692948,6.0,1.0099119875818587,4.242504051020439,6.000000000000319,1.9382387703706172,5.7049685715709035,6.0,1.9382387703703898,7.834383867486955,6.0
50,0.071:0.09,0.049860206064408885,3.024868381140243,6.0,1.0098662359478112,4.2444991378657715,6.0000000000001945,1.9381955604939094,5.706912007530248,6.0,1.938195560494023,7.8360533810242,6.0
51,0.071:0.091,0.049819016133028526,3.0265401015858027,6.0,1.0098204843138774,4.24649422471132,6.000000000000301,1.938152350617088,5.708854007216907,6.0,1.9381523506169742,7.837722894560726,6.0
52,0.071:0.092,0.04977782620130711,3.0282117932723853,6.0,1.0097747326798299,4.248489311556677,6.00000000000018,1.9381091407406075,5.710814517568279,6.0,1.93810914074038,7.839392408097725,6.0
53,0.071:0.093,0.049736636270040435,3.0298835424766555,6.0,1.0097289810451002,4.250484398400834,5.999999999998684,1.9380659308643544,5.712757953530396,6.0,1.9380659308646955,7.841061921635762,6.0
54,0.071:0.094,0.04969544633900114,3.03155526292258,6.0,1.0096832294111664,4.252495074223055,6.0,1.9380227209877603,5.71470138949065,6.0,1.938022720987874,7.8427314351725155,6.0
55,0.071:0.095,0.049654256407393405,3.033226983367899,6.0,1.0096374777771189,4.254474572091766,5.999999999998689,1.9379795111111662,5.716645006877362,6.0,1.9379795111115072,7.844400948709799,6.0
56,0.071:0.096,0.049613066476013046,3.0348987038134565,6.0,1.0095917261439808,4.256469658938723,6.000000000000372,1.9379363012352542,5.718588442841453,6.0,1.9379363012355952,7.846070462247555,6.0
57,0.071:0.097,0.04957187654463269,3.0365704242589935,6.0,1.0095459745099333,4.258480407559809,6.000000000000245,1.9378930913582053,5.720530431074428,6.0,1.9378930913587737,7.847739975784315,6.0
58,0.071:0.098,0.04953068661359339,3.038242144704936,6.0,1.0095002228759995,4.260475421608421,6.0,1.9378498814816112,5.722475314759347,6.0,1.9378498814821796,7.849409489321305,6.0
59,0.071:0.099,0.04948949668232672,3.0399138651506212,6.0,1.0094544712421794,4.2624549194752035,6.000000000000704,1.9378066716051308,5.724418750720222,6.0,1.9378066716055855,7.851079002858349,6.0
60,0.071:0.1,0.04944830675094636,3.0415855855961507,6.0,1.0094087196082455,4.2644500063207555,6.000000000000808,1.9377634617281956,5.72636242731523,6.0,1.937763461728082,7.85274851639436,6.0
61,0.072:0.04,0.050277984096624095,2.9671895827169,6.0,1.011147281698527,4.22649438341319,5.999999999998364,1.939349881481462,5.7029962478476435,6.0,1.9393498814813483,7.752433615155076,6.0
62,0.072:0.041,0.050277984096624095,2.967189553958296,6.0,1.0111015300647068,4.228489470258919,5.999999999998701,1.9393066716049816,5.704939683808578,6.0,1.9393066716047542,7.754103128692063,6.0
63,0.072:0.042,0.050277984096624095,2.967189553958282,6.0,1.0110557784315688,4.230484557105861,6.0000000000004245,1.9392634617288422,5.70688346973202,6.0,1.9392634617286149,7.755772642229603,6.0
64,0.072:0.043000000000000003,0.050277984096624095,2.9671895827169,6.0,1.011010026797635,4.2324797167492365,6.0000000000004965,1.9392202518522481,5.708826555731752,6.0,1.9392202518522481,7.757442155766852,6.0
65,0.072:0.044,0.050277984096624095,2.96718958271689,6.0,1.0109642751635874,4.234474803594862,6.000000000000374,1.9391770419751992,5.710769991689197,6.0,1.9391770419751992,7.759111669303373,6.0
66,0.072:0.045,0.050277984096624095,2.967189582716899,6.0,1.01091852352954,4.236469817642242,6.0000000000002744,1.9391338320988325,5.712713328627435,6.0,1.9391338320986051,7.76078118284039,6.0
67,0.072:0.046,0.050277984096624095,2.967189582716884,6.0,1.0108727718953787,4.238449315509513,5.999999999999904,1.9390906222221247,5.714639870395295,6.0,1.9390906222222384,7.762450696377654,6.0
