,S_value,A,B,obj,A_glc_out,B_glc,A_xyl,B_xyl,A_c2e,T_A_value,T_B_value,B_e2c
1,16.95551960554057,1.0,99.0,0.1712678748034401,0.0,767.29526242744,0.0,200.0,16.95551960554057,16.95551960554057,16.95551960554057,0.1712678748034401
2,35.071752243926404,2.0,98.0,0.35787502289720824,0.0,295.2492683703458,0.0,200.0,17.535876121963206,35.07175224392641,35.07175224392641,0.35787502289720824
3,53.18798488231066,3.0,97.0,0.5483297410547491,0.0,702.6915754129625,0.0,200.0,17.729328294103553,53.18798488231066,53.18798488231066,0.5483297410547491
4,71.30440391824774,4.0,96.0,0.7427542074817473,0.0,670.3894131136526,0.0,200.0,17.826100979561936,71.30440391824774,71.30440391824774,0.7427542074817473
5,89.42045015908657,5.0,95.0,0.9412678964114376,0.0,638.0878883984781,0.0,200.0,17.884090031817315,89.42045015908657,89.42045015908657,0.9412678964114376
6,107.53668279747475,6.0,94.0,1.1440072638029228,0.0,605.7860448912356,0.0,200.0,17.92278046624579,107.53668279747474,107.53668279747474,1.1440072638029228
7,125.65291543586002,7.0,93.0,1.3511066175898927,0.0,573.4842013839971,0.0,200.0,17.950416490837142,125.65291543586,125.65291543586,1.3511066175898925
8,129.8954248517636,8.0,92.0,1.4119067918669956,0.0,573.869067566224,10.932409993917645,189.06759000608236,16.23692810647045,129.8954248517636,129.8954248517636,1.4119067918669956
9,130.75622767387136,9.0,91.0,1.4368816227897954,0.0,583.6025997155499,26.009278271149242,173.99072172885076,14.528469741541262,130.75622767387136,130.75622767387136,1.4368816227897954
10,131.61703049596514,10.0,90.0,1.4624114499551681,0.0,593.3361318649054,41.086146548389024,158.91385345161098,13.161703049596515,131.61703049596514,131.61703049596514,1.4624114499551681
11,132.43716795089568,11.0,89.0,1.4880580668639964,0.0,603.2363979038979,55.83741798912661,144.1625820108734,12.039742540990517,132.43716795089568,132.43716795089568,1.4880580668639964
12,133.15154590063494,12.0,88.0,1.5130857488708516,0.0,611.9152479177155,69.65763734972643,130.34236265027357,11.095962158386243,133.15154590063491,133.15154590063491,1.5130857488708516
13,133.83184306137494,13.0,87.0,1.5382970466824706,0.0,620.2998238613118,83.5149601470257,116.4850398529743,10.294757158567304,133.83184306137494,133.83184306137494,1.5382970466824706
14,134.51208424553246,14.0,86.0,1.5640940028550288,0.0,628.6836440652428,97.37126038892302,102.62873961107698,9.608006017538033,134.51208424553246,134.51208424553246,1.5640940028550285
15,135.19235341797898,15.0,85.0,1.5904982755056352,0.0,637.0678421390056,111.22807190851518,88.77192809148482,9.012823561198598,135.19235341797898,135.19235341797898,1.590498275505635
16,135.87262259045318,16.0,84.0,1.6175312213149187,0.0,645.4520402127073,125.08488342809324,74.91511657190676,8.492038911903323,135.87262259045318,135.87262259045318,1.6175312213149187
17,136.55289176290634,17.0,83.0,1.6452155634085102,0.0,653.8362382864688,138.94169494769324,61.058305052306764,8.032523044876843,136.55289176290634,136.55289176290634,1.6452155634085102
18,137.23316093536408,18.0,82.0,1.6735751333580986,0.0,662.220436360208,152.79850646727937,47.20149353272063,7.6240644964091135,137.23316093536405,137.23316093536405,1.6735751333580986
19,137.91343010781878,19.0,81.0,1.7026349396027012,0.0,670.6046344339529,166.6553179868704,33.34468201312961,7.258601584622042,137.9134301078188,137.9134301078188,1.7026349396027012
20,138.5936992802892,20.0,80.0,1.732421241003615,0.0,678.9888325076708,180.5121295064555,19.487870493544506,6.92968496401446,138.5936992802892,138.5936992802892,1.732421241003615
21,139.27396845273375,21.0,79.0,1.7629616259839715,0.0,687.3730305814314,194.36894102604663,5.6310589739533725,6.632093735844464,139.27396845273375,139.27396845273375,1.7629616259839715
22,139.93745084312243,22.0,78.0,1.794069882604134,0.0,693.0983541430179,200.0,0.0,6.360793220141931,139.93745084312246,139.93745084312246,1.794069882604134
23,140.18587039984448,23.0,77.0,1.8205957194784999,0.0,692.1504718172599,200.0,0.0,6.0950378434714985,140.18587039984448,140.18587039984448,1.8205957194784999
24,140.18576913004605,24.0,76.0,1.8445495938163956,0.0,689.3661307760221,200.0,0.0,5.8410737137519195,140.18576913004608,140.18576913004608,1.8445495938163956
25,140.17515042921727,25.0,75.0,1.8690020057228969,0.0,687.8396598764997,200.0,0.0,5.60700601716869,140.17515042921724,140.17515042921724,1.8690020057228969
26,140.1645317283645,26.0,74.0,1.8941152936265473,0.0,686.3131889770244,200.0,0.0,5.390943528014019,140.1645317283645,140.1645317283645,1.8941152936265473
27,140.15391302753625,27.0,73.0,1.919916616815565,0.0,684.7867180775006,200.0,0.0,5.190885667686528,140.15391302753628,140.15391302753628,1.919916616815565
28,140.14329432668222,28.0,72.0,1.9464346434261421,0.0,683.2602471780176,200.0,0.0,5.005117654524366,140.14329432668225,140.14329432668225,1.9464346434261421
29,140.1326756258719,29.0,71.0,1.9736996567024212,0.0,681.7337762784728,200.0,0.0,4.832161228478341,140.1326756258719,140.1326756258719,1.9736996567024212
30,140.12205692502462,30.0,70.0,2.0017436703574947,0.0,680.2073053789841,200.0,0.0,4.670735230834155,140.12205692502465,140.12205692502465,2.0017436703574947
31,140.11143822418867,31.0,69.0,2.030600553973749,0.0,678.6808344794676,200.0,0.0,4.519723813683505,140.11143822418867,140.11143822418867,2.030600553973749
32,140.10081952338118,32.0,68.0,2.0603061694614877,0.0,677.1543635799258,200.0,0.0,4.378150610105662,140.10081952338118,140.10081952338118,2.0603061694614877
33,140.090200822552,33.0,67.0,2.090898519739582,0.0,675.6278926804059,200.0,0.0,4.245157600683394,140.09020082255202,140.09020082255202,2.090898519739582
