,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.08:0.04,0.0422779840965859,3.2713398468995507,6.0,1.0030949941173049,6.0053125427178475,5.999999999999327,1.9313004987656086,12.182451000420091,6.0,1.9313004987657223,7.751280903033959,6.0
1,0.08:0.041,0.042277984096244836,3.2713398468989685,6.0,1.0030492424832573,6.00927398570851,5.999999999999184,1.9312572888890145,12.185080030950337,6.0,1.9312572888891282,7.752950416570998,6.0
2,0.08:0.042,0.042277984096244836,3.2713398468990773,6.0,1.003003490849892,6.013104662174743,6.000000000000491,1.9312140790128751,12.187709061485043,6.0,1.9312140790129888,7.754622533499657,6.0
3,0.08:0.043000000000000003,0.042277984096244836,3.271324185123177,6.0,1.0029577392158444,6.016804636971914,6.000000000000296,1.9311708691363947,12.190338092016585,6.0,1.9311708691363947,7.756289443645488,6.0
4,0.08:0.044,0.042277984096244836,3.2713241851231976,6.0,1.0029119875819106,6.020635335055783,6.000000000000437,1.9311276592594595,12.192967122545399,6.0,1.9311276592593458,7.757958957182005,6.0
5,0.08:0.045,0.0422779840965859,3.2713397741017767,6.0,1.0028662359480904,6.024597386899121,6.0000000000007585,1.9310844493828654,12.19559615307695,6.0,1.931084449382979,7.759631074109747,6.0
6,0.08:0.046,0.0422779840965859,3.2713397741017554,6.0,1.002820484314043,6.028428062552671,6.000000000000626,1.931041239506385,12.198225183608901,6.0,1.931041239506385,7.761300674563762,6.0
7,0.08:0.047,0.0422779840965859,3.2713397741017576,6.0,1.0027747326798817,6.032258912645854,6.000000000000303,1.9309980296294498,12.200854214137308,6.0,1.930998029629336,7.7629674977928405,6.0
8,0.08:0.048,0.0422779840965859,3.2713241851238264,6.0,1.0027289810467437,6.036089762745024,6.000000000002032,1.9309548197533104,12.203483244671606,6.0,1.9309548197531967,7.764637011330332,6.0
9,0.08:0.049,0.0422779840965859,3.2713398468995636,6.0,1.0026832294126962,6.039920612839128,6.000000000001903,1.9309116098767163,12.206726790047512,6.0,1.93091160987683,7.766306524867584,6.0
10,0.08:0.05,0.0422779840965859,3.27133984689969,6.0,1.0026374777786486,6.04375146293314,6.000000000001787,1.9308684000002359,12.20874130573473,6.0,1.9308684000002359,7.767976038404596,6.0
11,0.08:0.051000000000000004,0.0422779840965859,3.271339774101726,6.0,1.002591726143919,6.047450221642222,6.000000000000258,1.9308251901240965,12.211370336269372,6.0,1.9308251901240965,7.769645551942105,6.0
