,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.044:0.04,0.07827798409607567,2.9710352090923626,6.0,1.039330288234737,3.994295524775004,5.999999999998863,1.9675227209878585,5.009436390065735,6.0,1.9675227209879722,7.757771598491979,6.0
1,0.044:0.041,0.07827798409607567,2.9710352090923573,6.0,1.0392845366008032,3.9959622612931516,5.999999999998968,1.9674795111112644,5.0111049607959215,6.0,1.967479511111378,7.759441028359843,6.0
2,0.044:0.042,0.07827798409607567,2.9710352378509364,6.0,1.0392387849675515,3.997628997812044,6.0000000000004485,1.967436301235125,5.01277353152741,6.0,1.9674363012352387,7.7611131518819345,6.0
3,0.044:0.043000000000000003,0.07827798409607567,2.9710352378509364,6.0,1.0391930333336177,3.9992957343301905,6.000000000000556,1.9673930913587583,5.0144420946516775,6.0,1.9673930913586446,7.762782581749733,6.0
4,0.044:0.044,0.07827798409607567,2.9710352378509546,6.0,1.0391472816995702,4.0009624708482106,6.00000000000045,1.967349881481823,5.016110665380869,6.0,1.967349881481823,7.76445201161683,6.0
5,0.044:0.045,0.07827798409607567,2.97103523785096,6.0,1.0391015300656363,4.002629207366349,6.000000000000569,1.967306671605229,5.017779236111064,6.0,1.967306671605229,7.766121441484611,6.0
6,0.044:0.046,0.07827798409607567,2.9710352378509617,6.0,1.0390557784315888,4.004295915125779,6.000000000000462,1.9672634617285212,5.019447806840908,6.0,1.9672634617286349,7.767790871352358,6.0
7,0.044:0.047,0.07827798409607567,2.9710352378509617,6.0,1.0390100267975413,4.005962651643802,6.000000000000279,1.9672202518518134,5.021116377570767,6.0,1.9672202518518134,7.769457607567071,6.0
8,0.044:0.048,0.07827798409607567,2.9710352378509617,6.0,1.0389642751644033,4.007629416921408,6.000000000002025,1.9671770419755603,5.022784948301938,6.0,1.967177041975674,7.7711270374354235,6.0
9,0.044:0.049,0.07827798409607567,2.9710352378509617,6.0,1.0389185235304694,4.00929612468095,6.000000000002099,1.9671338320990799,5.02445351903245,6.0,1.9671338320990799,7.7727964673032925,6.0
10,0.044:0.05,0.07827798409607567,2.971035209092355,6.0,1.038872771896422,4.010962861194688,6.000000000002006,1.9670906222224858,5.026122089762624,6.0,1.9670906222224858,7.774465897171163,6.0
