,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.017:0.04,0.105277984,2.97583917,6,1.066506759,3.999143577,6,1.994689388,5.013562248,6,1.984000009,7.761143816,6
1,0.017:0.041,0.105277984,2.97583917,6,1.066461007,4.000810231,6,1.994646178,5.015230734,6,1.983956799,7.762813246,6
2,0.017:0.042,0.105277984,2.97583917,6,1.066415256,4.002476913,6,1.994602968,5.01689922,6,1.983913589,7.764482676,6
3,0.017:0.043000000000000003,0.105277984,2.975839199,6,1.066369504,4.004143537,6,1.994559758,5.018567706,6,1.983870379,7.766152106,6
4,0.017:0.044,0.105277984,2.97583917,6,1.066323752,4.00581019,6,1.994516548,5.020236192,6,1.983827169,7.767821536,6
5,0.017:0.045,0.105277984,2.97583917,6,1.066278001,4.007476872,6,1.994473338,5.021904556,6,1.983783959,7.769490966,6
6,0.017:0.046,0.105277984,2.97583917,6,1.066232249,4.009143526,6,1.994430128,5.023573164,6,1.983740749,7.771160395,6
7,0.017:0.047,0.105277984,2.975839199,6,1.066186497,4.01081015,6,1.994386919,5.0252416,6,1.98369754,7.772829825,6
8,0.017:0.048,0.105277984,2.97583917,6,1.066140746,4.012476832,6,1.994343709,5.026910086,6,1.98365433,7.774499255,6
9,0.017:0.049,0.105277984,2.97583917,6,1.066094994,4.014143485,6,1.994300499,5.028579024,6,1.98361112,7.776168685,6
10,0.017:0.05,0.105277984,2.97583917,6,1.066049242,4.015810139,6,1.994257289,5.030247108,6,1.98356791,7.777838115,6
11,0.017:0.051000000000000004,0.105277984,2.97583917,6,1.066003491,4.017476792,6,1.994214079,5.031915594,6,1.9835247,7.779507545,6
12,0.017:0.052000000000000005,0.105277984,2.975839199,6,1.065957739,4.019143416,6,1.994170869,5.03358408,6,1.98348149,7.781176975,6
13,0.017:0.053000000000000005,0.105277984,2.97583917,6,1.065911988,4.020810098,6,1.994127659,5.035250119,6,1.98343828,7.782846404,6
14,0.017:0.054,0.105277984,2.97583917,6,1.065866236,4.022476723,6,1.994084449,5.036921052,6,1.98339507,7.784515834,6
15,0.017:0.055,0.105277984,2.97583917,6,1.065820484,4.024143376,6,1.99404124,5.038587091,6,1.98335186,7.786185264,6
16,0.017:0.056,0.105260664,2.976542122,6,1.065774733,4.025810029,6,1.99399803,5.040258263,6,1.983308651,7.787854694,6
17,0.017:0.057,0.105219474,2.97821373,6,1.065728981,4.027476682,6,1.99395482,5.041926511,6,1.983265441,7.789524124,6
18,0.017:0.058,0.105178284,2.979885366,6,1.065683229,4.029143336,6,1.99391161,5.043595,6,1.983222231,7.791193554,6
19,0.017:0.059,0.105137094,2.981557003,6,1.065637478,4.030809989,6,1.9938684,5.045263432,6,1.983179021,7.792862984,6
20,0.017:0.06,0.105095904,2.983228639,6,1.065591726,4.032476642,6,1.99382519,5.046931916,6,1.983135811,7.794532414,6
21,0.017:0.061,0.105054714,2.984900276,6,1.065545975,4.034143295,6,1.99378198,5.048600455,6,1.983092601,7.796201843,6
22,0.017:0.062,0.105013524,2.986571912,6,1.065500223,4.035809949,6,1.99373877,5.050268941,6,1.983049391,7.797871273,6
23,0.017:0.063,0.104972334,2.988243578,6,1.065454471,4.037476602,6,1.99369556,5.051937427,6,1.983006181,7.799540703,6
24,0.017:0.064,0.104931144,2.989915214,6,1.06540872,4.039143284,6,1.993652351,5.053605913,6,1.982962972,7.801210133,6
25,0.017:0.065,0.104889954,2.99158685,6,1.065362968,4.040809908,6,1.993609141,5.055274399,6,1.982919762,7.802879563,6
26,0.017:0.066,0.104848764,2.993258487,6,1.065317216,4.04247659,6,1.993565931,5.056942831,6,1.982876552,7.804548993,6
27,0.017:0.067,0.104807574,2.994930095,6,1.065271465,4.044143215,6,1.993522721,5.058611375,6,1.982833342,7.806218423,6
28,0.017:0.068,0.104766385,2.996601731,6,1.065225713,4.045809897,6,1.993479511,5.060279861,6,1.982790132,7.807887853,6
29,0.017:0.069,0.104725195,2.998273368,6,1.065179961,4.04747655,6,1.993436301,5.061948347,6,1.982746922,7.809557282,6
30,0.017:0.07,0.104684005,2.999945004,6,1.06513421,4.049143175,6,1.993393091,5.063616833,6,1.982703712,7.811226712,6
31,0.017:0.07100000000000001,0.104642815,3.00161664,6,1.065088458,4.050809857,6,1.993349881,5.065285319,6,1.982660502,7.812896142,6
32,0.017:0.07200000000000001,0.104601625,3.003288277,6,1.065042707,4.05247651,6,1.993306672,5.066953805,6,1.982617293,7.814565572,6
33,0.017:0.07300000000000001,0.104560435,3.004959913,6,1.064996955,4.054143163,6,1.993263462,5.068622306,6,1.982574083,7.816235002,6
34,0.017:0.07400000000000001,0.104519245,3.00663155,6,1.064951203,4.055809816,6,1.993220252,5.070290777,6,1.982530873,7.817907092,6
35,0.017:0.07500000000000001,0.104478055,3.008303186,6,1.064905452,4.05747647,6,1.993177042,5.07195884,6,1.982487663,7.819576521,6
36,0.017:0.07600000000000001,0.104436865,3.009974823,6,1.0648597,4.059143094,6,1.993133832,5.073627768,6,1.982444453,7.821245951,6
37,0.017:0.077,0.104395675,3.011646459,6,1.064813948,4.060809776,6,1.993090622,5.075296225,6,1.982401243,7.822912721,6
