,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.035:0.04,0.08727798409620391,2.972271341287241,6.0,1.048389111764095,3.9955958676060623,6.0,1.9765782765433642,5.010537105741518,6.0,1.9765782765434778,7.759627588973547,6.0
1,0.035:0.041,0.08727798409620391,2.972271341287241,6.0,1.0483433601300476,3.997262633154625,5.99999999999865,1.9765350666669974,5.01220567793313,6.0,1.9765350666668837,7.7612970153657415,6.0
2,0.035:0.042,0.08727798409620391,2.972271312528623,6.0,1.0482976084969096,3.998929369401705,6.0000000000003295,1.9764918567907444,5.01387425012507,6.0,1.9764918567907444,7.762963755056841,6.0
3,0.035:0.043000000000000003,0.08727798409620391,2.972271312528637,6.0,1.0482518568630894,4.000596077161379,6.000000000000689,1.976448646914264,5.015542822316359,6.0,1.9764486469141502,7.764633184924701,6.0
4,0.035:0.044,0.08727798409620391,2.972271312528632,6.0,1.0482061052289282,4.002262842709819,6.000000000000325,1.976405437037215,5.017211398401937,6.0,1.9764054370371014,7.766302614792086,6.0
5,0.035:0.045,0.08727798409597654,2.972271312528372,6.0,1.0481603535949944,4.003929550197428,6.000000000000444,1.9763622271607346,5.018879966877529,6.0,1.9763622271607346,7.767974738313106,6.0
6,0.035:0.046,0.08727798409597654,2.9722713412869717,6.0,1.0481146019610605,4.005596286715587,6.000000000000554,1.9763190172842542,5.020548539068796,6.0,1.9763190172841405,7.769644168180884,6.0
7,0.035:0.047,0.08727798409597654,2.9722713412869717,6.0,1.0480688503268993,4.007263008847746,6.000000000000224,1.9762758074072053,5.02221722743807,6.0,1.9762758074070916,7.771310904395429,6.0
8,0.035:0.048,0.08727798409597654,2.9722713412869717,6.0,1.048023098693875,4.008929759752615,6.0,1.9762325975308386,5.023886007906745,6.0,1.9762325975309523,7.772983027916369,6.0
9,0.035:0.049,0.08727798409597654,2.9722713125283846,6.0,1.0479773470598275,4.010596496272338,6.0,1.9761893876545855,5.025554240668893,6.0,1.9761893876543581,7.774649764131676,6.0
10,0.035:0.05,0.08727798409597654,2.9722713412869717,6.0,1.04793159542578,4.01226326154727,6.000000000001917,1.9761461777779914,5.02722281285985,6.0,1.9761461777779914,7.776319193999763,6.0
11,0.035:0.051000000000000004,0.08727798409597654,2.9722713412869837,6.0,1.0478858437910503,4.013929969305929,6.000000000000426,1.9761029679019657,5.028891385052458,6.0,1.976102967901852,7.777991317521778,6.0
12,0.035:0.052000000000000005,0.08727798409597654,2.9722713412869837,6.0,1.0478400921570028,4.015596705823966,6.000000000000274,1.976059758025258,5.030559975932673,6.0,1.976059758025258,7.77966074738954,6.0
13,0.035:0.053000000000000005,0.08727798409597654,2.9722713412869783,6.0,1.0477943405231827,4.017263442342243,6.000000000000624,1.97601654814855,5.032228548123301,6.0,1.9760165481484364,7.781330169573611,6.0
14,0.035:0.054,0.08727798409620391,2.972271341287227,6.0,1.0477485888890214,4.018930178860124,6.0000000000002744,1.9759733382718423,5.033897120313934,6.0,1.9759733382718423,7.782999599441398,6.0
15,0.035:0.055,0.08727798409620391,2.972271341287227,6.0,1.0477028372550876,4.020596915378304,6.000000000000384,1.9759301283949071,5.035565629649971,6.0,1.9759301283947934,7.784669033149251,6.0
16,0.035:0.056,0.08726066372980767,2.9729742997343322,6.0,1.04765708562104,4.022263651896305,6.000000000000234,1.975886918518313,5.037234264694865,6.0,1.9758869185184267,7.7863357732070035,6.0
17,0.035:0.057,0.08721947379842732,2.97464602017986,6.0,1.0476113339864241,4.023930388412924,6.0,1.9758437086422873,5.038902836887483,6.0,1.9758437086422873,7.788007896728352,6.0
18,0.035:0.058,0.0871782838650006,2.9763177118645903,6.0,1.0475655823524903,4.025597124931118,6.0,1.9758004987656932,5.040571409078431,6.0,1.9758004987656932,7.789677326596152,6.0
