,tyr:php,AG:GD=3:1,No.0glc,No.0xyl,AG:GD=2:1,No.1glc,No.1xyl,AG:GD=1:1,No.2glc,No.2xyl,AG:GD=1:2,No.3glc,No.3xyl,No.4glc,No.4xyl
64,0.01:0.074,0.10770734496713885,,,1.0681601405228776,3.0072665512782666,6.0,1.9964280314812868,4.056467580509597,5.9999999999999805,1.9825308728393338,5.0708803718321365,6.0,7.817907091556384,6.0
65,0.01:0.075,0.10766615503598587,,,1.068114388888148,3.008938187739524,6.0,1.9963848216051474,4.058134233754629,5.999999999998494,1.9824876629631945,5.072551860099384,6.0,7.819573861594319,6.0
66,0.01:0.076,0.10762496510460551,,,1.0680686372541004,3.010609824200507,6.0,1.9963416117285533,4.059800887000364,5.999999999998381,1.9824444530866003,5.074217343892308,6.0,7.821243291462198,6.0
67,0.01:0.077,0.10758377517186091,,,1.0680228856201666,3.0122814606600135,6.0,1.9962984018520729,4.061467540246266,5.999999999998462,1.9824012432100062,5.0758858299222585,6.0,7.822912721330059,6.0
68,0.01:0.078,0.10754258524048055,,,1.067977133987256,3.0139530971210093,6.0,1.9962551919759335,4.063134193493271,6.000000000000624,1.9823580333338668,5.0775543159526,6.0,7.82458215119842,6.0
69,0.01:0.079,0.10750139530921388,,,1.0679313823532084,3.015624733582153,6.0,1.9962119820989983,4.064800846739027,6.000000000000507,1.982314823456818,5.079225646698353,6.0,7.82625158106579,6.0
70,0.01:0.08,0.10746020537783352,,,1.0678856307192746,3.017296370043129,6.0,1.9961687722224042,4.06646749998492,6.000000000000639,1.9822716135804512,5.080894358272736,6.0,7.82792101093392,6.0
71,0.01:0.081,0.10741901544645316,,,1.067839879085227,3.0189680065041253,6.0,1.99612556234581,4.068134153230686,6.000000000000512,1.9822284037038571,5.082562844302467,6.0,7.829590440801778,6.0
72,0.01:0.082,0.1073778255150728,,,1.0677941274511795,3.020639642965138,6.0,1.9960823524689886,4.069800806476437,6.000000000000373,1.9821851938268082,5.084231330331437,6.0,7.831259870669153,6.0
73,0.01:0.08299999999999999,0.10733663558346507,,,1.0677483758172457,3.0223112794258786,6.0,1.9960391425923945,4.071467459722335,6.000000000000492,1.9821419839504415,5.085899816361151,6.0,7.83292930053724,6.0
74,0.01:0.08399999999999999,0.1072954456521984,,,1.0677026241838803,3.0239829446344224,6.0,1.995995932716255,4.0731341129688445,6.000000000001736,1.9820987740743021,5.087567740041198,6.0,7.834601300739323,6.0
75,0.01:0.08499999999999999,0.10725425571968117,,,1.0676568725498328,3.0256545523467633,6.0,1.995952722839661,4.0748007662145955,6.000000000001618,1.982055564197708,5.08923617270001,6.0,7.836268160273503,6.0
76,0.01:0.086,0.1072130657892103,,,1.0676111209157852,3.0273261888087433,6.0,1.9959095129630668,4.076467419460371,6.000000000001492,1.982012354321114,5.090904712100679,6.0,7.837937590141372,6.0
77,0.01:0.087,0.10717187585782995,,,1.0675653692810556,3.0289978252697383,6.0,1.9958663030869275,4.078134072705403,6.000000000000024,1.9819691444449745,5.092573198131749,6.0,7.839607020009731,6.0
78,0.01:0.088,0.10713068592644959,,,1.0675196176471218,3.030669490478174,6.0,1.995823093210106,4.079800725951262,6.000000000000116,1.9819259345679257,5.09424166654091,6.0,7.841276449877103,6.0
79,0.01:0.089,0.10708949599506923,,,1.0674738660130743,3.0323411269391762,6.0,1.9957798833335119,4.081467379197035,5.999999999999981,1.981882724691559,5.095910340486854,6.0,7.842948569922436,6.0
80,0.01:0.09,0.10704830606493942,,,1.0674281143791404,3.034012763401528,6.0,1.9957366734570314,4.083134032442928,6.000000000000096,1.9818395148149648,5.097578834393982,6.0,7.844615309613095,6.0
81,0.01:0.091,0.10700711613367275,,,1.067382362745093,3.0356843711152237,6.0,1.9956934635800962,4.084800685688689,5.999999999999967,1.981796304937916,5.099247108807903,6.0,7.8462847394804625,6.0
82,0.01:0.092,0.10696592620217871,,,1.067336611111159,3.0373560075760904,6.0,1.9956502537035021,4.086467338934577,6.000000000000083,1.9817530950615492,5.1009154453219026,6.0,7.847954169348584,6.0
83,0.01:0.093,0.10692473627091204,,,1.0672908594769979,3.0390276727846506,6.0,1.9956070438273628,4.088133992180218,5.999999999999741,1.9817098851854098,5.102581606400486,6.0,7.849623599216942,6.0
84,0.01:0.094,0.10688354633953168,,,1.067245107842382,3.0406993092456416,6.0,1.9955638339507686,4.089800645425366,5.999999999998474,1.9816666753088157,5.104250092430322,6.0,7.851293029084819,6.0
85,0.01:0.095,0.10684235640815132,,,1.0671993562083344,3.0423709169592126,6.0,1.9955206240742882,4.091467298671123,5.999999999998329,1.9816234654322216,5.105921648721186,6.0,7.852962458952692,6.0
86,0.01:0.096,0.10680116647677096,,,1.0671536045751964,3.0440425821676445,6.0,1.9954774141981488,4.093133951917892,6.000000000000043,1.9815802555560822,5.107590126630059,6.0,7.854631888821052,6.0
87,0.01:0.097,0.1067599765453906,,,1.0671078529411488,3.045714218628643,6.0,1.9954342043212137,4.094800605163654,5.999999999999935,1.9815370456790333,5.10925861265865,6.0,7.856301318688425,6.0
88,0.01:0.09799999999999999,0.10671878661537448,,,1.067062101307215,3.0473858550911346,6.0,1.9953909944446195,4.096467258409529,6.000000000000029,1.9814938358026666,5.110927098688365,6.0,7.857970748556538,6.0
89,0.01:0.09899999999999999,0.10667759668399412,,,1.0670163496731675,3.049057491552125,6.0,1.995347784568139,4.098133911655308,5.99999999999991,1.9814506259260725,5.112595584718471,6.0,7.859640178424403,6.0
90,0.01:0.1,0.10663640675250008,,,1.0669705980392337,3.050729099265568,6.0,1.995304574691204,4.099800564901187,6.000000000000029,1.9814074160490236,5.114264070747063,6.0,7.8613096082917755,6.0
91,0.011:0.01,0.10846608409667624,,,1.0698505261440232,2.976474200594308,6.0,1.9988250345679717,3.9948897142890454,6.0,1.9849278759261324,4.9783236120533605,6.0,7.72529799223492,6.0
92,0.011:0.011,0.10846608409667624,,,1.0698505261440232,2.9764742005943168,6.0,1.9988250345679717,3.9948897430361705,6.000000000000439,1.9849278759261324,4.9783236120533605,6.0,7.725298007600845,6.0
93,0.011:0.012,0.10846608409667624,,,1.0698505261440232,2.976474200594318,6.0,1.9988250345680854,3.9948897142887536,6.0000000000005,1.9849278759261324,4.978323612053488,6.0,7.725295313948052,6.0
94,0.011:0.013000000000000001,0.10846608409667624,,,1.0698505261440232,2.976474200594313,6.0,1.9988250345680854,3.994889714288755,6.0,1.9849278759261324,4.978323612053488,6.0,7.725297996538776,6.0
95,0.011:0.014,0.10846608409667624,,,1.0698505261440232,2.976474200594321,6.0,1.9988250345680854,3.9948897142891218,6.0,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
96,0.011:0.015,0.10846608409667624,,,1.0698505261440232,2.976474200594321,6.0,1.9988250345680854,3.9948897142891457,6.0,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
97,0.011:0.016,0.10846608409667624,,,1.0698505261440232,2.976474200594321,6.0,1.9988250345680854,3.994889743036185,6.000000000000464,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
98,0.011:0.017,0.10846608409633518,,,1.0698505261440232,2.9764742005939486,6.0,1.9988250345680854,3.9948897142891417,6.0,1.9849278759261324,4.978323612053488,6.0,7.725298004125305,6.0
99,0.011:0.018000000000000002,0.10846608409633518,,,1.0698505261440232,2.9764742005939517,6.0,1.9988250345680854,3.994889743036185,6.000000000000464,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
100,0.011:0.019000000000000003,0.10846608409633518,,,1.0698505261440232,2.9764742005939486,6.0,1.998804574691576,3.9948897142891395,6.0,1.9849074160495093,4.979116326271766,6.0,7.726088413591924,6.0
101,0.011:0.02,0.10846608409633518,,,1.0698505261440232,2.9764742005939375,6.0,1.9987613648146407,3.99488974303618,6.00000000000045,1.9848642061724604,4.980784449316063,6.0,7.727755218857815,6.0
102,0.011:0.020999999999999998,0.10846608409633518,,,1.0698505261440232,2.976474171846516,6.0,1.998718154938615,3.9948897430361736,6.00000000000048,1.984820996296321,4.982453298331928,6.0,7.7294246487261935,6.0
103,0.011:0.022,0.10846608409633518,,,1.0698505261440232,2.9764742005939535,6.0,1.998674945062021,3.99488971428874,6.0,1.9847777864199543,4.984121423231052,6.0,7.731094078594298,6.0
104,0.011:0.023,0.10846608409633518,,,1.0698505261440232,2.976474171846516,6.0,1.9986317351851994,3.99488971428874,6.0,1.9847345765433602,4.985790013078692,6.0,7.732766194431882,6.0
105,0.011:0.024,0.10846608409633518,,,1.0698505261440232,2.976474200593943,6.0,1.99858852530906,3.994889714288763,6.0,1.9846913666672208,4.987458756421823,6.0,7.734432938330502,6.0
106,0.011:0.025,0.10846608409633518,,,1.0698505261440232,2.976474171846502,6.0,1.998545315432466,3.9948897430361763,6.0,1.9846481567906267,4.989126961781447,6.0,7.736102368198368,6.0
107,0.011:0.026000000000000002,0.10846608409633518,,,1.0698505261440232,2.976474171846514,6.0,1.9985021055556444,3.994889743036505,6.0,1.9846049469138052,4.990795728480602,6.0,7.737774484035869,6.0
108,0.011:0.027000000000000003,0.10846608409667624,,,1.0698505261440232,2.9764741718468866,6.0,1.998458895679164,3.994889714289152,6.0,1.984561737037211,4.99246352184422,6.0,7.73944388776498,6.0
109,0.011:0.028000000000000004,0.10846608409667624,,,1.0698505261440232,2.976474171846875,6.0,1.9984156858024562,3.994889714289155,6.0,1.984518527160617,4.994132700540069,6.0,7.7411133479788115,6.0
110,0.011:0.028999999999999998,0.10846608409667624,,,1.0698505261440232,2.9764742005943186,6.0,1.998372475925521,3.9948897430361763,6.0,1.9844753172837954,4.995801186568757,6.0,7.742782777479975,6.0
111,0.011:0.03,0.10846608409667624,,,1.0698505261440232,2.9764741718468817,6.0,1.9983292660494953,3.994889714289168,6.0,1.9844321074074287,4.997469672600232,6.0,7.744449517537477,6.0
112,0.011:0.031,0.10846608409644887,,,1.0698505261440232,2.976474200594067,6.0,1.9982860561729012,3.9948897430361825,6.000000000000467,1.984388897531062,4.999138158629965,6.0,7.746118947405621,6.0
113,0.011:0.032,0.10846608409656255,,,1.0698505261440232,2.976474171846765,6.0,1.9982428462964208,3.9948897430365076,6.0,1.9843456876544678,5.000806644660044,6.0,7.747788377273477,6.0
114,0.011:0.033,0.10846608409656255,,,1.0698505261440232,2.9764741718467653,6.0,1.9981996364202814,3.994889743036185,6.000000000000464,1.9843024777783285,5.002474769560505,6.0,7.749457807141856,6.0
115,0.011:0.034,0.10846608409667624,,,1.0698505261440232,2.9764741718468857,6.0,1.9981564265435736,3.9948897430361767,6.000000000000484,1.9842592679017343,5.004143616720555,6.0,7.751127237009722,6.0
116,0.011:0.035,0.10846608409656255,,,1.0698505261440232,2.976474171846752,6.0,1.9981132166668658,3.9948897430361767,6.000000000000484,1.9842160580249129,5.0058121027499425,6.0,7.752796666877332,6.0
117,0.011:0.036000000000000004,0.10846608409667624,,,1.0698505261440232,2.976474171846876,6.0,1.998070006790158,3.9948897142887394,6.0,1.9841728481483187,5.007480227648744,6.0,7.754466096745214,6.0
118,0.011:0.037,0.10846608409667624,,,1.0698505261440232,2.9764741718468732,6.0,1.9980267969136776,3.9948897430361767,6.000000000000484,1.9841296382717246,5.009148852386785,6.0,7.756135526613082,6.0
119,0.011:0.038,0.10846608409667624,,,1.0698071993466556,2.9764741718468732,6.0,1.9979835870367424,3.996468063660008,6.0000000000005045,1.9840864283949031,5.010817560838108,6.0,7.757804956480703,6.0
120,0.011:0.039,0.10846608409667624,,,1.0697614477116986,2.9764741718468843,6.0,1.997940377160603,3.9981347169047785,5.999999999998542,1.9840432185187638,5.012486431047009,6.0,7.759474386349066,6.0
121,0.011:0.04,0.10846608409667624,,,1.0697156960777647,2.9764741718468684,6.0,1.997897167284009,3.9998013414021494,6.0,1.9840000086421696,5.014154917076738,6.0,7.761143816216922,6.0
122,0.011:0.041,0.10846608409644887,,,1.0696699444437172,2.9764741718466428,6.0,1.9978539574075285,4.001467994649007,6.0,1.9839567987655755,5.015823403106844,6.0,7.762813246084787,6.0
123,0.011:0.042,0.10846608409667624,,,1.0696241928106929,2.976474200594311,6.0,1.997810747531389,4.0031346766433025,6.000000000000478,1.9839135888894361,5.0174918891380855,6.0,7.764482675953169,6.0
124,0.011:0.043000000000000003,0.10846608409667624,,,1.0695784411765317,2.976474200594312,6.0,1.997767537654795,4.0048013298889344,5.999996394736974,1.983870379012842,5.019160375167809,6.0,7.766152105821035,6.0
125,0.011:0.044000000000000004,0.10846608409633518,,,1.0695326895425978,2.976474171846496,6.0,1.9977243277778598,4.006467954387582,6.0,1.9838271691360205,5.020827784352156,6.0,7.7678215356886415,6.0
126,0.011:0.045000000000000005,0.10846608409633518,,,1.0694869379087777,2.976474171846496,6.0,1.9976811179013794,4.008134636380834,5.999996394737408,1.9837839592594264,5.022497451685653,6.0,7.769490965556526,6.0
127,0.011:0.046000000000000006,0.10846608409633518,,,1.069441186274389,2.976474200593946,6.0,1.9976379080247852,4.009801289626225,5.999996394736607,1.9837407493828323,5.0241659377153685,6.0,7.771160395424379,6.0
128,0.011:0.047,0.10846608409633518,,,1.0693954346404553,2.976474171846509,6.0,1.99759469814785,4.011467942872125,5.9999963947367,1.9836975395060108,5.025833718767572,6.0,7.772829825291998,6.0
129,0.011:0.048,0.10846608409633518,,,1.0693496830073173,2.976474171846508,6.0,1.9975514882717107,4.013134596118867,5.999996394738412,1.9836543296298714,5.027502204798608,6.0,7.7744992551603795,6.0
130,0.011:0.049,0.10846608409633518,,,1.0693039313733834,2.9764741718465095,6.0,1.9975082783951166,4.014801249364769,5.999996394738507,1.9836111197532773,5.029170690828366,6.0,7.7761686850282485,6.0
131,0.011:0.05,0.10846608409633518,,,1.069258179739336,2.9764741718465095,6.0,1.9974650685186361,4.016467902610533,5.999996394738389,1.9835679098766832,5.030839176858406,6.0,7.7778381148961016,6.0
132,0.011:0.051000000000000004,0.10846608409633518,,,1.0692124281046063,2.9764742005939397,6.0,1.9974218586424968,4.0181345558555375,5.999996394736895,1.9835247000005438,5.032507583160509,6.0,7.779507544764493,6.0
133,0.011:0.052000000000000005,0.10846608409633518,,,1.0691666764705587,2.976474171846505,6.0,1.9973786487659027,4.019801209101313,5.999996394736758,1.9834814901239497,5.034176733192021,6.0,7.7811769746323645,6.0
