,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.053:0.04,0.06927798409640218,2.969799134415174,6.0,1.0302714647054927,3.992995153457365,5.999999999999209,1.9584671654322392,5.008335820121573,6.0,1.9584671654324666,7.755920995316513,6.0
1,0.053:0.041,0.06927798409640218,2.969799134415174,6.0,1.0302257130715589,3.9946618897035933,5.999999999999352,1.9584239555557588,5.0100019372988704,6.0,1.9584239555558725,7.757590425184286,6.0
2,0.053:0.042,0.06927798409640218,2.969799134415174,6.0,1.0301799614381935,3.9963286262223354,6.00000000000059,1.9583807456796194,5.011672961012831,6.0,1.958380745679733,7.7592598550534575,6.0
3,0.053:0.043000000000000003,0.06927798409640218,2.969799134415174,6.0,1.030134209804146,3.997995362740368,6.00000000000047,1.9583375358030253,5.013341531457641,6.0,1.958337535803139,7.760929284921215,6.0
4,0.053:0.044,0.06927798409640218,2.969799134415174,6.0,1.0300884581700984,3.9996620704998036,6.000000000000341,1.9582943259262038,5.015010110976718,6.0,1.95829432592609,7.762596021134868,6.0
5,0.053:0.045,0.06927798409640218,2.969799134415174,6.0,1.0300427065361646,4.001328807018288,6.0,1.958251116049496,5.016678681421185,6.0,1.9582511160497234,7.764265451002968,6.0
6,0.053:0.046,0.06927798409640218,2.969799134415174,6.0,1.0299969549023444,4.002995543536855,6.0,1.9582079061731292,5.018347251866665,6.0,1.9582079061731292,7.765937570682327,6.0
7,0.053:0.047,0.06927798409640218,2.969799134415174,6.0,1.029951203268297,4.0046623090847575,6.000000000000662,1.958164696296194,5.0200158223104925,6.0,1.9581646962960804,7.76760431073821,6.0
8,0.053:0.048,0.06927798409640218,2.969799134415174,6.0,1.0299054516350452,4.00632904533171,6.000000000002158,1.958121486419941,5.021681930413538,6.0,1.9581214864201684,7.76927374060687,6.0
9,0.053:0.049,0.06927798409640218,2.969799134415174,6.0,1.0298597000009977,4.007995753091128,6.0,1.9580782765434606,5.023352963201406,6.0,1.9580782765435742,7.770943170474692,6.0
10,0.053:0.05,0.06927798409640218,2.969799134415174,6.0,1.0298139483669502,4.009662489610397,6.0,1.9580350666669801,5.025021533646552,6.0,1.9580350666669801,7.772612600342573,6.0
11,0.053:0.051000000000000004,0.06927798409640218,2.969799134415174,6.0,1.0297681967322205,4.011329254885036,6.000000000000421,1.957991856790727,5.026690104092353,6.0,1.9579918567908408,7.774282030210922,6.0
12,0.053:0.052000000000000005,0.06927798409640218,2.969799134415174,6.0,1.0297224450982867,4.012995962645034,6.0,1.957948646914133,5.028358674537154,6.0,1.9579486469142466,7.775951460078822,6.0
13,0.053:0.053000000000000005,0.06927798409640218,2.969799134415174,6.0,1.0296766934642392,4.014662728193166,6.000000000000393,1.9579054370371978,5.0300272449809835,6.0,1.9579054370371978,7.7776208899461645,6.0
14,0.053:0.054,0.06927798409640218,2.969799134415174,6.0,1.0296309418303053,4.0163294644393766,6.000000000000478,1.9578622271606037,5.031695815425797,6.0,1.957862227160831,7.7792903198142955,6.0
15,0.053:0.055,0.06927798409640218,2.969799134415174,6.0,1.0295851901962578,4.01799620095738,6.0000000000003615,1.9578190172838958,5.033364385870273,6.0,1.9578190172837822,7.780959749681691,6.0
16,0.053:0.056,0.06926066373046069,2.970502064104151,6.0,1.029539438562324,4.0196629377474835,6.000000000000494,1.9577758074074154,5.035033284694767,6.0,1.957775807407188,7.78262917954955,6.0
17,0.053:0.057,0.06921947379919402,2.972173784549822,6.0,1.0294936869274807,4.021329645234099,5.999999999998774,1.957732597531276,5.036701526761538,6.0,1.9577325975310487,7.784298609417929,6.0
18,0.053:0.058,0.06917828386667679,2.973845533752742,6.0,1.0294479352935468,4.02299641051083,5.999999999998858,1.9576893876545682,5.0383700972060055,6.0,1.9576893876544545,7.78597072525549,6.0
19,0.053:0.059,0.06913709393529643,2.9755172541982815,6.0,1.0294021836597267,4.024663147029117,5.9999999999992,1.9576461777778604,5.040038667650492,6.0,1.9576461777778604,7.787637469153653,6.0
20,0.053:0.06,0.06909590400391608,2.9771889746438505,6.0,1.0293564320265887,4.026329883820059,6.000000000000911,1.9576029679018347,5.041707238096953,6.0,1.957602967901721,7.789309592675367,6.0
21,0.053:0.061,0.06905471407253572,2.9788606950894034,6.0,1.0293106803925411,4.027996591307559,6.000000000000783,1.9575597580252406,5.043375808541762,6.0,1.957559758025127,7.790976328889857,6.0
22,0.053:0.062,0.06901352414115536,2.980532415534943,6.0,1.0292649287588347,4.029663327825936,6.000000000001352,1.9575165481484191,5.045044378985905,6.0,1.9575165481483054,7.792648448934623,6.0
23,0.053:0.063,0.06897233421079818,2.9822041359816147,6.0,1.0292191771245598,4.031330093374272,6.000000000000749,1.9574733382719387,5.04671294943104,6.0,1.9574733382719387,7.794315188625602,6.0
24,0.053:0.064,0.06893114427975888,2.9838758564275416,6.0,1.029173425490626,4.032996829620468,6.000000000000867,1.957430128395231,5.048382269884833,6.0,1.9574301283948898,7.7959846184929935,6.0
25,0.053:0.065,0.06888995434837852,2.9855475768731017,6.0,1.0291276738564648,4.0346635373797675,6.000000000000531,1.9573869185187505,5.050050090320668,6.0,1.9573869185182957,7.79765674201286,6.0
26,0.053:0.066,0.0688487644166571,2.9872192973182887,6.0,1.0290819222234404,4.036330302929425,6.0,1.9573437086423837,5.051718989145576,6.0,1.9573437086421563,7.799326168406401,6.0
27,0.053:0.067,0.06880757448573149,2.988890989005732,6.0,1.029036170589393,4.037997039447452,6.000000000002341,1.957300498765676,5.05338723121061,6.0,1.9573004987655622,7.800992908097059,6.0
28,0.053:0.068,0.06876638455435113,2.9905627094512788,6.0,1.028990418955459,4.039663746935076,6.0,1.9572572888890818,5.055055801655426,6.0,1.9572572888891955,7.8026650281426555,6.0
29,0.053:0.069,0.06872519462262972,2.9922344298964574,6.0,1.0289446673207294,4.04133051221094,6.000000000000975,1.9572140790129424,5.056724372101554,6.0,1.9572140790128287,7.8043317678332995,6.0
30,0.053:0.07,0.06868400469124936,2.9939061503420192,6.0,1.028898915686682,4.042997248728967,6.000000000000849,1.957170869136462,5.058392942546684,6.0,1.9571708691362346,7.806003891354428,6.0
31,0.053:0.07100000000000001,0.06864281475998268,2.995577870787704,6.0,1.028853164052407,4.044663985518696,6.000000000000256,1.9571276592594131,5.060061512990174,6.0,1.9571276592596405,7.807673317746643,6.0
32,0.053:0.07200000000000001,0.06860162482985288,2.9972495912346084,6.0,1.0288074124185869,4.046330693006416,6.0,1.9570844493829327,5.061730083435309,6.0,1.9570844493830464,7.80934275108998,6.0
33,0.053:0.07300000000000001,0.06856043489858621,2.998921311680295,6.0,1.0287616607845393,4.047997458554964,6.00000000000047,1.9570412395059975,5.063398653879139,6.0,1.9570412395062249,7.811012147135445,6.0
34,0.053:0.07400000000000001,0.06851924496720585,3.000593060884452,6.0,1.0287159091504918,4.0496641948010605,6.000000000000314,1.9569980296294034,5.065067224323949,6.0,1.9569980296296308,7.812681577003221,6.0
35,0.053:0.07500000000000001,0.06847805503582549,3.002264752571399,6.0,1.0286701575157622,4.051330902559732,5.99999999999886,1.9569548197533777,5.066735794770394,6.0,1.9569548197534914,7.814351006872384,6.0
36,0.053:0.07600000000000001,0.0684368651046725,3.003936501775812,6.0,1.0286244058818284,4.052997639077896,5.999999999998942,1.9569116098768973,5.0684043652155335,6.0,1.9569116098768973,7.816017776908618,6.0
37,0.053:0.077,0.06839567517215528,3.00560819346149,6.0,1.0285786542480082,4.054664404354759,5.999999999999262,1.9568684000001895,5.070072943266602,6.0,1.9568684000003032,7.817687206776527,6.0
38,0.053:0.078,0.06835448524077492,3.0072799426656642,6.0,1.0285329026148702,4.056331112115173,6.000000000000986,1.9568251901239364,5.071741513712407,6.0,1.9568251901241638,7.8193566366449145,6.0
39,0.053:0.079,0.06831329530939456,3.008951663111218,6.0,1.0284871509808227,4.057997848633189,6.0,1.9567819802472286,5.073410065431396,6.0,1.956781980247115,7.821026066512231,6.0
40,0.053:0.08,0.06827210537846895,3.010623383557278,6.0,1.0284413993466615,4.0596645851511095,6.0000000000004805,1.9567387703705208,5.075078635875874,6.0,1.9567387703705208,7.822698186557185,6.0
41,0.053:0.081,0.06823091544708859,3.012295104002822,6.0,1.028395647712614,4.061331321669121,6.000000000000409,1.9566955604940404,5.07674722504575,6.0,1.9566955604939267,7.824364926247969,6.0
42,0.053:0.082,0.06818972551536717,3.013966795689421,6.0,1.02834989607868,4.062998086945866,6.000000000000515,1.9566523506172189,5.0783991737788785,6.0,1.9566523506171052,7.82603704976769,6.0
43,0.053:0.083,0.06814853558398681,3.0156385161349544,6.0,1.0283041444446326,4.06466482346389,6.00000000000039,1.956609140740511,5.080084366271153,6.0,1.956609140740511,7.827706479635484,6.0
44,0.053:0.08399999999999999,0.06810734565260645,3.0173102365805047,6.0,1.0282583928114946,4.066331559982915,6.000000000002084,1.9565659308643717,5.081752937002664,6.0,1.9565659308643717,7.8293759095046,6.0
45,0.053:0.08499999999999999,0.06806615572054397,3.0189819857839346,6.0,1.028212641177447,4.067998267742341,6.000000000001965,1.9565227209877776,5.083421614202847,6.0,1.9565227209877776,7.831045339372358,6.0
46,0.053:0.086,0.06802496578916362,3.0206537062294774,6.0,1.0281668895435132,4.069665004262149,6.0,1.9564795111114108,5.0850900784644395,6.0,1.9564795111111835,7.832714769240133,6.0
47,0.053:0.087,0.0679837758574422,3.0223254266746515,6.0,1.0281211379087836,4.071331740777767,6.00000000000058,1.9564363012351578,5.086758649195592,6.0,1.9564363012352715,7.834384199109977,6.0
48,0.053:0.088,0.06794258592606184,3.0239971471202027,6.0,1.028075386274736,4.072998477295801,6.000000000000478,1.9563930913582226,5.0884272199240455,6.0,1.9563930913582226,7.836053628976362,6.0
49,0.053:0.089,0.06790139599502254,3.025668867566128,6.0,1.0280296346408022,4.074665213813935,6.000000000000584,1.9563498814817422,5.090095897124591,6.0,1.9563498814818558,7.837723058844806,6.0
50,0.053:0.09,0.06786020606466536,3.027340559254211,6.0,1.0279838830067547,4.076331979362494,6.0,1.956306671605148,5.091764467854764,6.0,1.9563066716052617,7.839392454890932,6.0
51,0.053:0.091,0.06781901613305763,3.0290123084581237,6.0,1.0279381313728209,4.077998686850631,6.0,1.9562634617283265,5.093432932114279,6.0,1.9562634617282129,7.841059224926931,6.0
52,0.053:0.092,0.06777782620190465,3.030684028903919,6.0,1.0278923797387733,4.079665452398661,6.000000000000435,1.9562202518517324,5.095101502844461,6.0,1.9562202518518461,7.8427286547950334,6.0
53,0.053:0.093,0.06773663627029691,3.0323557493492177,6.0,1.0278466281040437,4.081332188915944,5.9999999999989395,1.956177041975593,5.096770073575961,6.0,1.9561770419757067,7.844398084663392,6.0
54,0.053:0.094,0.06769544633891655,3.034027469794779,6.0,1.0278008764699962,4.082998925433968,5.999999999998817,1.956133832098999,5.098438644306121,6.0,1.9561338320991126,7.846067514531274,6.0
55,0.053:0.095,0.06765425640764988,3.0356991614818476,6.0,1.0277551248360624,4.084665632921578,5.999999999998931,1.9560906222225185,5.100107215036634,6.0,1.9560906222225185,7.847736944399134,6.0
56,0.053:0.096,0.06761306647626952,3.03737091068601,6.0,1.0277093732028106,4.086332398471011,6.000000000000394,1.9560474123461518,5.101775785767473,6.0,1.9560474123463791,7.849406374267489,6.0
