,fluxes,equ,kcat_MW,enz
B_PSP_L,0.16631800000000613,B_h2o_c + B_pser__L_c --> B_pi_c + B_ser__L_c,152145.8107,1.0931487316989013e-06
B_ATPS4rpp_num1,0.0,B_adp_c + 4.0 B_h_p + B_pi_c --> B_atp_c + B_h2o_c + 3.0 B_h_c,12425.0894,0.0
A_PPNDH,0.0185265,A_h_c + A_pphn_c --> A_co2_c + A_h2o_c + A_phpyr_c,501.0281515,3.697696415767169e-05
A_2HESR_num1,0.0,A_dtgcl_c + 2.0 A_gthrd_c --> A_gthox_c + 2.0 A_mercpeth_c,419.2404619,0.0
B_lipa_e_con_2,0.0,lipa_e --> B_lipa_e,,
B_o2_e_con_2_reverse,0.0,B_o2_e --> o2_e,,
A_3HPPPNH,0.0,A_3hpppn_c + A_h_c + A_nadh_c + A_o2_c --> A_dhpppn_c + A_h2o_c + A_nad_c,265.8920042,0.0
A_U23GAAT,0.0038912,A_3hmrsACP_c + A_u3hga_c --> A_ACP_c + A_h_c + A_u23ga_c,1198.7191460000001,3.2461315171151855e-06
B_EX_tartr__D_e,0.0,B_tartr__D_e --> ,,
EX_pi_e_reverse,0.09646059999999657, --> pi_e,,
A_CO2tex_num4,0.0,A_co2_e --> A_co2_p,,
A_MDDEP4pp_num7,0.0,A_h2o_p + A_murein4px4px4p_p --> A_murein4px4p4p_p,536.6730659,0.0
B_GALURtex_reverse_num2,0.0,B_galur_p --> B_galur_e,,
A_GLYtex_reverse_num4,0.0,A_gly_p --> A_gly_e,,
B_GLCRD_num1,0.0,B_glcr_c --> B_5dh4dglc_c + B_h2o_c,344.05167630000005,0.0
A_H2tex_num1,0.0,A_h2_e --> A_h2_p,,
B_RMNtex_num1,0.0,B_rmn_e --> B_rmn_p,,
B_3NTD9pp_num2,0.0,B_3gmp_p + B_h2o_p --> B_gsn_p + B_pi_p,399.1777683,0.0
B_NADH5_num1,0.0,B_h_c + B_nadh_c + B_q8_c --> B_nad_c + B_q8h2_c,468.9928953,0.0
A_SBTtex_reverse_num3,0.0,A_sbt__D_p --> A_sbt__D_e,,
