,fluxes,equ,kcat_MW,enz
B_EX_acgal1p_e,0.0,B_acgal1p_e --> ,,
A_GLYALDtex_num4,0.0,A_glyald_e --> A_glyald_p,,
A_PSCLYStex_num1,0.0,A_psclys_e --> A_psclys_p,,
B_GLNtex_reverse_num4,0.0,B_gln__L_p --> B_gln__L_e,,
B_NTP3_num5,0.0,B_gtp_c + B_h2o_c --> B_gdp_c + B_h_c + B_pi_c,788.4004759,0.0
A_NDPK6_num2,0.0,A_atp_c + A_dudp_c --> A_adp_c + A_dutp_c,159.3366219,0.0
B_LCADi,0.0,B_h2o_c + B_lald__L_c + B_nad_c --> 2.0 B_h_c + B_lac__L_c + B_nadh_c,108.69179650000001,0.0
A_ALLTNtex_reverse_num3,0.0,A_alltn_p --> A_alltn_e,,
B_O16GLCT2,0.0,B_gfgaragund_c + B_udpg_c --> B_h_c + B_o16aund_c + B_udp_c,,
B_FMNRx2_num3,0.0,B_fmn_c + B_h_c + B_nadph_c --> B_fmnh2_c + B_nadp_c,33.30032003,0.0
B_RNDR3_num2,0.0,B_cdp_c + B_trdrd_c --> B_dcdp_c + B_h2o_c + B_trdox_c,45.83964169,0.0
A_SPMDtex_reverse_num4,0.0,A_spmd_p --> A_spmd_e,,
B_GLCUR1Ptex_reverse_num2,0.0,B_glcur1p_p --> B_glcur1p_e,,
B_URAtpp,0.0,B_ura_c --> B_ura_p,,
A_acac_e_con_1,0.0,A_acac_e --> acac_e,,
B_acmana_e_con_2_reverse,0.0,B_acmana_e --> acmana_e,,
B_FRUURtex_num2,0.0,B_fruur_e --> B_fruur_p,,
A_THMDt2pp_copy1_num2,0.0,A_h_p + A_thymd_p --> A_h_c + A_thymd_c,,
B_ADNt2pp_copy2,0.0,B_adn_p + B_h_p --> B_adn_c + B_h_c,,
A_23CAMPtex_reverse_num2,0.0,A_23camp_p --> A_23camp_e,,
B_MALTTRabcpp,0.0,B_atp_c + B_h2o_c + B_malttr_p --> B_adp_c + B_h_c + B_malttr_c + B_pi_c,,
A_IDONtex_reverse_num2,0.0,A_idon__L_p --> A_idon__L_e,,
A_ThDPAT,0.0,A_adp_c + A_h_c + A_thmpp_c --> A_athtp_c + A_pi_c,,
EX_na1_e,0.0,na1_e --> ,,
B_EX_ura_e,0.0,B_ura_e --> ,,
B_GLYC2Pabcpp,0.0,B_atp_c + B_glyc2p_p + B_h2o_c --> B_adp_c + B_glyc2p_c + B_h_c + B_pi_c,,
B_ETHSO3tex_reverse_num4,0.0,B_ethso3_p --> B_ethso3_e,,
B_thymd_e_con_2,0.0,thymd_e --> B_thymd_e,,
B_ETHAtex_num2,0.0,B_etha_e --> B_etha_p,,
B_ALDD2y_num1,0.0,B_acald_c + B_h2o_c + B_nadp_c --> B_ac_c + 2.0 B_h_c + B_nadph_c,751.2076831,0.0
A_OCBT_reverse_num1,0.0,A_citr__L_c + A_h_c + A_pi_c --> A_cbp_c + A_orn_c,176.6402645,0.0
A_MLDCP1Bpp_num5,0.0,A_h2o_p + A_murein4p4p_p --> A_ala__D_p + A_murein4p3p_p,1146.505372,0.0
A_FEOXAMR3,0.0,2.0 A_feoxam_c + A_rbflvrd_c --> 2.0 A_fe2_c + 2.0 A_feoxam_un_c + 2.0 A_h_c + A_ribflv_c,1916.598655,0.0
B_GALBDtex_num3,0.0,B_gal_bD_e --> B_gal_bD_p,,
A_RU5PP,0.0,A_h2o_c + A_ru5p__D_c --> A_pi_c + A_rbl__D_c,423.47891789999994,0.0
B_novbcn_e_con_2,0.0,novbcn_e --> B_novbcn_e,,
B_asp__L_e_con_2,0.0,asp__L_e --> B_asp__L_e,,
B_FALDtex_num2,0.0,B_fald_e --> B_fald_p,,
A_26DAHtex_num1,0.0,A_26dap__M_e --> A_26dap__M_p,,
A_G1Ptex_reverse_num4,0.0,A_g1p_p --> A_g1p_e,,
B_DCMPtex_reverse_num3,0.0,B_dcmp_p --> B_dcmp_e,,
B_cu2_e_con_2_reverse,0.0,B_cu2_e --> cu2_e,,
A_GLCNtex_reverse_num3,0.0,A_glcn_p --> A_glcn_e,,
A_POR5_num2,0.0,A_coa_c + 2.0 A_flxso_c + A_pyr_c --> A_accoa_c + A_co2_c + 2.0 A_flxr_c + A_h_c,109.1657388,0.0
A_NAtex_reverse_num4,0.0,A_na1_p --> A_na1_e,,
A_FA141ACPHi,0.0,A_h2o_c + A_tdeACP_c --> A_ACP_c + A_h_c + A_ttdcea_c,20361.15656,0.0
A_TYRt2rpp_num1,0.0,A_h_p + A_tyr__L_p --> A_h_c + A_tyr__L_c,,
B_NACtex_num2,0.0,B_nac_e --> B_nac_p,,
A_THMtex_num1,0.0,A_thm_e --> A_thm_p,,
B_NDPK4_num1,0.0026166,B_atp_c + B_dtdp_c --> B_adp_c + B_dttp_c,540.1339477000001,4.844353907289133e-06
A_GALURt2rpp,0.0,A_galur_p + A_h_p --> A_galur_c + A_h_c,,
EX_slnt_e,0.0,slnt_e --> ,,
B_COBALT2tex_num3,0.0,B_cobalt2_e --> B_cobalt2_p,,
B_HIStex_num1,0.0,B_his__L_e --> B_his__L_p,,
A_34dhpactex_reverse_num2,0.0,A_34dhpac_p --> A_34dhpac_e,,
A_TMAOR1pp_num1,0.0,A_h_p + A_mql8_c + A_tmao_p --> A_h2o_p + A_mqn8_c + A_tma_p,190.96525219999998,0.0
B_H2Stex_num2,0.0,B_h2s_e --> B_h2s_p,,
B_NAMNPP,0.0,B_atp_c + B_h2o_c + B_nac_c + B_prpp_c --> B_adp_c + B_nicrnt_c + B_pi_c + B_ppi_c,202.81584709999998,0.0
B_CYNTtex_reverse_num1,0.0,B_cynt_p --> B_cynt_e,,
A_RMPA_reverse,0.0,A_dhap_c + A_lald__L_c --> A_rml1p_c,83.99237053,0.0
B_ANHGMtex_num2,0.0,B_anhgm_e --> B_anhgm_p,,
A_tartr__D_e_con_1,0.0,A_tartr__D_e --> tartr__D_e,,
A_NTPTP2,0.0,A_gtp_c + A_h2o_c --> A_gsn_c + A_pppi_c,164.9040202,0.0
B_GALCTNtex_num1,0.0,B_galctn__D_e --> B_galctn__D_p,,
B_QMO3,0.0,B_mql8_c + 2.0 B_o2_c --> 2.0 B_h_c + B_mqn8_c + 2.0 B_o2s_c,1450.166521,0.0
B_L_LACtex_reverse_num4,0.0,B_lac__L_p --> B_lac__L_e,,
B_ASNt2rpp,0.0,B_asn__L_p + B_h_p --> B_asn__L_c + B_h_c,,
A_SHGO,0.0,A_S2hglut_c + A_o2_c --> A_akg_c + A_h2o2_c,485.17470999999995,0.0
A_GLYtex_num1,0.0,A_gly_e --> A_gly_p,,
B_FACOAE161,0.0,B_h2o_c + B_hdcoa_c --> B_coa_c + B_h_c + B_hdcea_c,1210.649019,0.0
B_PGMT_reverse_num3,0.0,B_g6p_c --> B_g1p_c,1247.93482,0.0
A_SELtex_reverse_num1,0.0,A_sel_p --> A_sel_e,,
B_GLUN_num2,0.0,B_gln__L_c + B_h2o_c --> B_glu__L_c + B_nh4_c,652.4086697,0.0
B_MANtex_reverse_num2,0.0,B_man_p --> B_man_e,,
B_G3PIabcpp,0.0,B_atp_c + B_g3pi_p + B_h2o_c --> B_adp_c + B_g3pi_c + B_h_c + B_pi_c,,
A_DMSOtex_reverse_num1,0.0,A_dmso_p --> A_dmso_e,,
A_METSOX2tex_num2,0.0,A_metsox_R__L_e --> A_metsox_R__L_p,,
B_LYSAM_reverse,0.0,B_36dahx_c --> B_lys__L_c,660.8073504,0.0
B_duri_e_con_2_reverse,0.0,B_duri_e --> duri_e,,
A_NO2tex_num1,0.0,A_no2_e --> A_no2_p,,
B_GMPtex_reverse_num2,0.0,B_gmp_p --> B_gmp_e,,
A_NNATr,0.0002277999999993341,A_atp_c + A_h_c + A_nicrnt_c --> A_dnad_c + A_ppi_c,616.4383562,3.6954222219979064e-07
B_GLYCLTtex_num4,0.0,B_glyclt_e --> B_glyclt_p,,
B_IGPS,0.0056843,B_2cpr5p_c + B_h_c --> B_3ig3p_c + B_co2_c + B_h2o_c,363.6929381,1.5629393382494164e-05
B_HIStex_reverse_num3,0.0,B_his__L_p --> B_his__L_e,,
B_L_LACD2_num1,0.0,B_lac__L_c + B_q8_c --> B_pyr_c + B_q8h2_c,897.200671,0.0
A_CS1tex_num2,0.0,A_cs1_e --> A_cs1_p,,
B_EX_but_e,0.0,B_but_e --> ,,
A_DXYLK,0.0,A_atp_c + A_dxyl_c --> A_adp_c + A_dxyl5p_c + A_h_c,358.7064579,0.0
B_ASNtex_num4,0.0,B_asn__L_e --> B_asn__L_p,,
A_LALADGLUtex_reverse_num3,0.0,A_LalaDglu_p --> A_LalaDglu_e,,
A_EX_fad_e,0.0,A_fad_e --> ,,
B_I2FE2SR,0.0,B_2fe1s_c + B_iscssh_c + B_iscu_c --> 4.0 B_h_c + B_iscs_c + B_iscu_2fe2s_c,89.41592468,0.0
B_DHPStex_reverse,0.0,B_dhps_p --> B_dhps_e,,
B_DINStex_reverse_num4,0.0,B_din_p --> B_din_e,,
A_METSOX1tex_reverse_num4,0.0,A_metsox_S__L_p --> A_metsox_S__L_e,,
B_LalaDgluMdap_e_con_2_reverse,0.0,B_LalaDgluMdap_e --> LalaDgluMdap_e,,
B_FE2abcpp,0.0,B_atp_c + B_fe2_p + B_h2o_c --> B_adp_c + B_fe2_c + B_h_c + B_pi_c,,
B_ACSERtex_num1,0.0,B_acser_e --> B_acser_p,,
B_G3PAT140,0.0,B_glyc3p_c + B_myrsACP_c --> B_1tdecg3p_c + B_ACP_c,210.8510276,0.0
B_malttr_e_con_2_reverse,0.0,B_malttr_e --> malttr_e,,
B_DDGLCNtex_reverse_num3,0.0,B_2ddglcn_p --> B_2ddglcn_e,,
B_trp__L_e_con_2,0.0,trp__L_e --> B_trp__L_e,,
A_ALAt2pp_num2,0.0,A_ala__L_p + A_h_p --> A_ala__L_c + A_h_c,,
B_TARTRtex_reverse_num3,0.0,B_tartr__L_p --> B_tartr__L_e,,
A_PGPP141pp_num1,0.0,A_h2o_p + A_pgp141_p --> A_pg141_p + A_pi_p,901.2767815,0.0
B_CDPPH,0.0,B_cdp_c + B_h2o_c --> B_cmp_c + B_h_c + B_pi_c,816.2138762999999,0.0
B_AGM3Pt2pp,0.0,B_anhgm3p_p + B_h_p --> B_anhgm3p_c + B_h_c,266.619146,0.0
B_FORtex_num3,0.0,B_for_e --> B_for_p,,
B_NDPK2_reverse_num2,0.0,B_adp_c + B_utp_c --> B_atp_c + B_udp_c,212.4955565,0.0
A_RMNtex_num2,0.0,A_rmn_e --> A_rmn_p,,
A_MOAT,0.0019456,A_ckdo_c + A_lipidA_c --> A_cmp_c + A_h_c + A_kdolipid4_c,4491.33135,4.3319003840587263e-07
B_galt_e_con_2,0.0,galt_e --> B_galt_e,,
A_cobalt2_e_con_1,0.0,A_cobalt2_e --> cobalt2_e,,
B_LYStex_num2,0.0,B_lys__L_e --> B_lys__L_p,,
B_GALCTNLtex_num3,0.0,B_galctn__L_e --> B_galctn__L_p,,
B_METSOX1tex_reverse_num1,0.0,B_metsox_S__L_p --> B_metsox_S__L_e,,
A_R5Ptex_reverse_num2,0.0,A_r5p_p --> A_r5p_e,,
A_FBP_num2,0.0,A_fdp_c + A_h2o_c --> A_f6p_c + A_pi_c,1862.3745420000002,0.0
B_THIORDXi_num1,0.0,B_h2o2_c + B_trdrd_c --> 2.0 B_h2o_c + B_trdox_c,1052.986211,0.0
A_UM3PL,0.0,A_LalaDgluMdap_c + A_atp_c + A_uamr_c --> A_adp_c + A_h_c + A_pi_c + A_ugmd_c,188.9012842,0.0
A_FMNtex_num3,0.0,A_fmn_p --> A_fmn_e,,
B_G6Ptex_num2,0.0,B_g6p_e --> B_g6p_p,,
B_SUCRtex_reverse_num1,0.0,B_sucr_p --> B_sucr_e,,
B_MLTGY1pp_num2,0.0,B_murein4p4p_p --> 2.0 B_anhgm4p_p,1425.209427,0.0
B_PSURItex_num4,0.0,B_psuri_e --> B_psuri_p,,
B_KAS15,0.035588,B_accoa_c + B_h_c + B_malACP_c --> B_actACP_c + B_co2_c + B_coa_c,328.94489649999997,0.00010818833299637468
A_G3PEtex_num2,0.0,A_g3pe_e --> A_g3pe_p,,
B_INDOLEtex_num2,0.0,B_indole_e --> B_indole_p,,
B_BALAtex_reverse_num1,0.0,B_ala_B_p --> B_ala_B_e,,
B_SUCCtex_reverse_num2,0.0,B_succ_p --> B_succ_e,,
A_PLIPA1E141pp,0.0,A_h2o_p + A_pe141_p --> A_2agpe141_p + A_h_p + A_ttdcea_p,140.21648380000002,0.0
B_MANAO,0.0,B_mana_c + B_nad_c --> B_fruur_c + B_h_c + B_nadh_c,794.1399884,0.0
A_NTD9_num2,0.0,A_gmp_c + A_h2o_c --> A_gsn_c + A_pi_c,361.5260869,0.0
A_TCYNTtex_num3,0.0,A_tcynt_e --> A_tcynt_p,,
B_EX_octa_e,0.0,B_octa_e --> ,,
A_FACOAL161t2pp_num1,0.0,A_atp_c + A_coa_c + A_h_p + A_hdcea_p --> A_amp_c + A_h_c + A_hdcoa_c + A_ppi_c,176.470436,0.0
B_NTD2_num3,0.0,B_h2o_c + B_ump_c --> B_pi_c + B_uri_c,357.9402329,0.0
B_UDPACGALtex_num3,0.0,B_udpacgal_e --> B_udpacgal_p,,
B_PGPP140_num1,0.0,B_h2o_c + B_pgp140_c --> B_pg140_c + B_pi_c,510.92612239999994,0.0
A_man_e_con_1,0.0,A_man_e --> man_e,,
A_ILEabcpp,0.0,A_atp_c + A_h2o_c + A_ile__L_p --> A_adp_c + A_h_c + A_ile__L_c + A_pi_c,,
A_ALAtpp,0.0,A_ala__L_c --> A_ala__L_p,,
A_acser_e_con_1,0.0,A_acser_e --> acser_e,,
B_GALtex_reverse_num2,0.0,B_gal_p --> B_gal_e,,
A_LYXtex_reverse_num2,0.0,A_lyx__L_p --> A_lyx__L_e,,
A_CLBtex_reverse_num4,0.0,A_cellb_p --> A_cellb_e,,
A_NTPP6_num2,0.0,A_atp_c + A_h2o_c --> A_amp_c + A_h_c + A_ppi_c,156.30508840000002,0.0
B_uri_e_con_2,0.0,uri_e --> B_uri_e,,
B_MALtex_num3,0.0,B_mal__L_e --> B_mal__L_p,,
B_NTD7_num3,0.0,B_amp_c + B_h2o_c --> B_adn_c + B_pi_c,479.7155002,0.0
B_NDPK7_reverse_num2,0.0,B_adp_c + B_dctp_c --> B_atp_c + B_dcdp_c,167.3689645,0.0
B_ACOATA,0.0,B_ACP_c + B_accoa_c --> B_acACP_c + B_coa_c,424.8642001,0.0
B_ARBabcpp,0.0,B_arab__L_p + B_atp_c + B_h2o_c --> B_adp_c + B_arab__L_c + B_h_c + B_pi_c,,
B_MALt2_3pp_num1,0.0,3.0 B_h_p + B_mal__L_p --> 3.0 B_h_c + B_mal__L_c,,
A_TAURtex_num3,0.0,A_taur_e --> A_taur_p,,
B_udpgal_e_con_2,0.0,udpgal_e --> B_udpgal_e,,
A_LALALGLUtex_num4,0.0,A_LalaLglu_e --> A_LalaLglu_p,,
B_ECOAH6_reverse_num2,0.0,B_h2o_c + B_td2coa_c --> B_3htdcoa_c,289.32028219999995,0.0
B_ASPO4,0.0,B_asp__L_c + B_mqn8_c --> B_h_c + B_iasp_c + B_mql8_c,154.40299140000002,0.0
B_NTPP5_num1,0.0,B_datp_c + B_h2o_c --> B_damp_c + B_h_c + B_ppi_c,1230.4873380000001,0.0
A_CBLAT_reverse,0.0,A_adocbl_c + A_pppi_c --> A_atp_c + A_cbl1_c + A_h_c,1235.687124,0.0
B_Kt2pp_num4,0.0,B_h_p + B_k_p --> B_h_c + B_k_c,,
A_CYTBD2pp,0.0,2.0 A_h_c + A_mql8_c + 0.5 A_o2_c --> A_h2o_c + 2.0 A_h_p + A_mqn8_c,283.79171560000003,0.0
B_EX_akg_e,0.0,B_akg_e --> ,,
A_DCAtex_reverse_num1,0.0,A_dca_p --> A_dca_e,,
B_fe2_e_con_2_reverse,0.0,B_fe2_e --> fe2_e,,
B_TYRt2rpp_num1,0.0,B_h_p + B_tyr__L_p --> B_h_c + B_tyr__L_c,,
B_cmp_e_con_2,0.0,cmp_e --> B_cmp_e,,
B_FE2tex_reverse_num2,0.0,B_fe2_p --> B_fe2_e,,
A_GALCTNtex_num3,0.0,A_galctn__D_e --> A_galctn__D_p,,
A_LCTSt3ipp_num2,0.0,A_h_p + A_lcts_c --> A_h_c + A_lcts_p,,
A_CDAPPA120,0.0,A_cdpdddecg_c + A_h2o_c --> A_cmp_c + 2.0 A_h_c + A_pa120_c,1121.2509929999999,0.0
A_2DOXG6PP_num3,0.0,A_2doxg6p_c + A_h2o_c --> A_2dglc_c + A_pi_c,405.4753352,0.0
A_ECOAH1_reverse_num2,0.0,A_b2coa_c + A_h2o_c --> A_3hbcoa_c,349.8163745,0.0
B_MCOATA,0.24133400000000002,B_ACP_c + B_malcoa_c --> B_coa_c + B_malACP_c,431.2704864,0.0005595884893828895
A_GRTT,2.77999999999997e-05,A_grdp_c + A_ipdp_c --> A_frdp_c + A_ppi_c,13.433002900000002,2.0695298145137524e-06
A_METtex_reverse_num3,0.0,A_met__L_p --> A_met__L_e,,
A_DIMPtex_reverse_num2,0.0,A_dimp_p --> A_dimp_e,,
B_GLYtpp,0.0,B_gly_c --> B_gly_p,,
B_GALCTNLt2pp,0.0,B_galctn__L_p + B_h_p --> B_galctn__L_c + B_h_c,,
A_FCLT_num2,0.0,A_fe2_c + A_ppp9_c --> 2.0 A_h_c + A_pheme_c,265.4088319,0.0
B_FACOAE180,0.0,B_h2o_c + B_stcoa_c --> B_coa_c + B_h_c + B_ocdca_c,350.62162010000003,0.0
A_AGM3PApp_num2,0.0,A_anhgm3p_p + A_h2o_p --> A_LalaDgluMdap_p + A_anhgm_p,492.1289932,0.0
B_MDDCP4pp_num5,0.0,B_h2o_p + B_murein5p4p_p --> B_ala__D_p + B_murein4p4p_p,271.5475951,0.0
B_HCINNMtex_reverse_num2,0.0,B_3hcinnm_p --> B_3hcinnm_e,,
B_PA181abcpp,0.0,B_atp_c + B_h2o_c + B_pa181_c --> B_adp_c + B_h_c + B_pa181_p + B_pi_c,,
A_FUSAtex_num1,0.0,A_fusa_e --> A_fusa_p,,
B_MDDEP2pp_num1,0.0,B_h2o_p + B_murein3px4p_p --> B_murein4p3p_p,9242.862479000001,0.0
A_NTD1_num3,0.0,A_dump_c + A_h2o_c --> A_duri_c + A_pi_c,726.5338204,0.0
A_DHGLYH,0.0,A_dhgly_c + A_h2o_c + A_h_c --> A_glx_c + A_nh4_c,,
B_OP4ENH,0.0,B_h2o_c + B_op4en_c --> B_4h2opntn_c,181.19275190000002,0.0
B_PACALDtex_reverse_num1,0.0,B_pacald_p --> B_pacald_e,,
B_OROTtex_reverse_num2,0.0,B_orot_p --> B_orot_e,,
B_TAURtex_reverse_num1,0.0,B_taur_p --> B_taur_e,,
B_METtex_reverse_num3,0.0,B_met__L_p --> B_met__L_e,,
A_ACCOAL_num1,0.0,A_atp_c + A_coa_c + A_ppa_c --> A_adp_c + A_pi_c + A_ppcoa_c,224.10173319999998,0.0
A_NO2tex_num3,0.0,A_no2_e --> A_no2_p,,
B_GLYC3Ptex_reverse_num2,0.0,B_glyc3p_p --> B_glyc3p_e,,
B_SERD_D,0.0,B_ser__D_c --> B_nh4_c + B_pyr_c,574.2544629,0.0
B_NTD8_num2,0.0,B_dgmp_c + B_h2o_c --> B_dgsn_c + B_pi_c,369.4883416,0.0
A_inost_e_con_1,0.0,A_inost_e --> inost_e,,
B_CPGNR3,0.0,2.0 B_cpgn_c + B_rbflvrd_c --> 2.0 B_cpgn_un_c + 2.0 B_fe2_c + 2.0 B_h_c + B_ribflv_c,,
A_TAURtex_reverse_num4,0.0,A_taur_p --> A_taur_e,,
B_BUTSO3abcpp_num1,0.0,B_atp_c + B_butso3_p + B_h2o_c --> B_adp_c + B_butso3_c + B_h_c + B_pi_c,,
A_23CGMPtex_reverse_num4,0.0,A_23cgmp_p --> A_23cgmp_e,,
A_URIC,0.0,2.0 A_h2o_c + A_o2_c + A_urate_c --> A_alltn_c + A_co2_c + A_h2o2_c,,
B_HOMtex_reverse_num3,0.0,B_hom__L_p --> B_hom__L_e,,
A_LPLIPAL2E161,0.0,A_2agpe161_c + A_h2o_c --> A_g3pe_c + A_h_c + A_hdcea_c,270.50732989999995,0.0
A_EX_enlipa_e,0.0,A_enlipa_e --> ,,
A_XTSNt2rpp,0.0,A_h_p + A_xtsn_p --> A_h_c + A_xtsn_c,,
B_nac_e_con_2,0.0,nac_e --> B_nac_e,,
A_F6PP_num4,0.0,A_f6p_c + A_h2o_c --> A_fru_c + A_pi_c,899.8657555999999,0.0
B_ALLTNtex_num1,0.0,B_alltn_e --> B_alltn_p,,
B_DASYN120,0.0,B_ctp_c + B_h_c + B_pa120_c --> B_cdpdddecg_c + B_ppi_c,303.4448149,0.0
A_ORNtex_num3,0.0,A_orn_e --> A_orn_p,,
B_ACGAL1Ptex_num1,0.0,B_acgal1p_e --> B_acgal1p_p,,
B_acolipa_e_con_2,0.0,acolipa_e --> B_acolipa_e,,
A_Zn2tex_reverse_num2,0.0,A_zn2_p --> A_zn2_e,,
B_ca2_e_con_2,5.2050000000000005e-05,ca2_e --> B_ca2_e,,
B_NTD9_num3,0.0,B_gmp_c + B_h2o_c --> B_gsn_c + B_pi_c,382.8998357,0.0
B_PYDXNtex_num4,0.0,B_pydxn_e --> B_pydxn_p,,
A_EX_lac__L_e,0.0,A_lac__L_e --> ,,
A_SUCMALtpp_num1,0.0,A_mal__L_p + A_succ_c --> A_mal__L_c + A_succ_p,,
B_CHLtex_num2,0.0,B_chol_e --> B_chol_p,,
A_LALADGLUtpp_num2,0.0,A_LalaDglu_p + A_h_p --> A_LalaDglu_c + A_h_c,,
B_UDCPDPpp_num1,0.0,B_h2o_p + B_udcpdp_p --> B_h_p + B_pi_p + B_udcpp_p,749.4567492000001,0.0
B_CHLtex_num3,0.0,B_chol_e --> B_chol_p,,
B_SUCASPtpp_num1,0.0,B_asp__L_p + B_succ_c --> B_asp__L_c + B_succ_p,,
A_CLPNS180pp_num1,0.0,2.0 A_pg180_p --> A_clpn180_p + A_glyc_p,331.4579748,0.0
A_GLYCtex_num2,0.0,A_glyc_e --> A_glyc_p,,
B_ACGALtex_num1,0.0,B_acgal_e --> B_acgal_p,,
B_DINStex_num1,0.0,B_din_e --> B_din_p,,
B_acmana_e_con_2,0.0,acmana_e --> B_acmana_e,,
A_EX_hom__L_e,0.0,A_hom__L_e --> ,,
B_DURIPP_reverse_num1,0.0,B_2dr1p_c + B_ura_c --> B_duri_c + B_pi_c,102.4451608,0.0
A_TMDPP,0.0,A_pi_c + A_thymd_c --> A_2dr1p_c + A_thym_c,322.8222092,0.0
A_NTPP2_num1,0.0,A_gtp_c + A_h2o_c --> A_gmp_c + A_h_c + A_ppi_c,681.4671817000001,0.0
A_DTMPtex_reverse_num2,0.0,A_dtmp_p --> A_dtmp_e,,
A_POX,0.0,A_h2o_c + A_pyr_c + A_q8_c --> A_ac_c + A_co2_c + A_q8h2_c,46.16832479999999,0.0
A_FDMO,0.0,A_fmnh2_c + A_isetac_c + A_o2_c --> A_fmn_c + A_gcald_c + A_h2o_c + A_h_c + A_so3_c,58.25940376,0.0
B_ILEtex_reverse_num3,0.0,B_ile__L_p --> B_ile__L_e,,
B_AHGDx_reverse,0.0,B_akg_c + B_h_c + B_nadh_c --> B_S2hglut_c + B_nad_c,161.5147899,0.0
B_ARHGDx,0.0,B_nad_c + B_r2hglut_c --> B_akg_c + B_h_c + B_nadh_c,104.72160699999999,0.0
A_GLNabcpp,0.0,A_atp_c + A_gln__L_p + A_h2o_c --> A_adp_c + A_gln__L_c + A_h_c + A_pi_c,,
A_EX_all__D_e,0.0,A_all__D_e --> ,,
B_2DOXG6PP_num1,0.0,B_2doxg6p_c + B_h2o_c --> B_2dglc_c + B_pi_c,428.7860915,0.0
A_DHAPT,1.1703379727703056,A_dha_c + A_pep_c --> A_dhap_c + A_pyr_c,227.0712571,0.005154055989811604
A_MCTP2App_num1,0.0,A_murein5p5p5p_p --> 2.0 A_ala__D_p + A_murein5px4px4p_p,550.8441789,0.0
A_CSNtex_num1,0.0,A_csn_e --> A_csn_p,,
A_METDabcpp,0.0,A_atp_c + A_h2o_c + A_met__D_p --> A_adp_c + A_h_c + A_met__D_c + A_pi_c,,
B_EX_acgam_e,0.0,B_acgam_e --> ,,
B_ETHAAL,0.0,B_etha_c --> B_acald_c + B_nh4_c,146.6372002,0.0
A_ASPO3,0.0,A_asp__L_c + A_q8_c --> A_h_c + A_iasp_c + A_q8h2_c,173.0424857,0.0
A_imp_e_con_1,0.0,A_imp_e --> imp_e,,
A_MEPNtex_num2,0.0,A_mepn_e --> A_mepn_p,,
A_EX_mal__L_e,0.0,A_mal__L_e --> ,,
A_ACOXT,0.0,A_accoa_c + A_oxa_c --> A_ac_c + A_oxalcoa_c,192.9007939,0.0
B_ARBt3ipp,0.0,B_arab__L_c + B_h_p --> B_arab__L_p + B_h_c,,
A_O2Stex_num4,0.0,A_o2s_e --> A_o2s_p,,
B_MLTGY2pp_num6,0.0,B_murein4p3p_p --> B_anhgm3p_p + B_anhgm4p_p,1792.4217829999998,0.0
B_TRPtex_num1,0.0,B_trp__L_e --> B_trp__L_p,,
B_FE3DHBZS3R,0.0,2.0 B_fe3dhbzs3_c + B_nadph_c --> 2.0 B_23dhbzs3_c + 2.0 B_fe2_c + 3.0 B_h_c + B_nadp_c,370.2693943,0.0
A_H2Otex_num8,0.0,A_h2o_e --> A_h2o_p,,
B_PGSA161,0.0,B_cdpdhdec9eg_c + B_glyc3p_c --> B_cmp_c + B_h_c + B_pgp161_c,1133.557742,0.0
B_ASCBPL,0.0,B_ascb6p_c + B_h2o_c --> B_3dhgulnp_c + B_h_c,161.61636330000002,0.0
A_LPLIPAL1E181pp,0.0,A_1agpe181_p + A_h2o_p --> A_g3pe_p + A_h_p + A_ocdcea_p,98.42511861,0.0
B_ile__L_e_con_2,0.0,ile__L_e --> B_ile__L_e,,
B_UMPK_num2,0.0,B_atp_c + B_ump_c --> B_adp_c + B_udp_c,269.69958030000004,0.0
A_LPLIPAL1A141pp,0.0,A_1tdec7eg3p_p + A_h2o_p --> A_glyc3p_p + A_h_p + A_ttdcea_p,109.80535149999999,0.0
A_IMPtex_num1,0.0,A_imp_e --> A_imp_p,,
A_3AMPtex_num2,0.0,A_3amp_e --> A_3amp_p,,
B_CMtex_num3,0.0,B_cm_e --> B_cm_p,,
B_ARBTNtonex,0.0,B_arbtn_fe3_e + B_h_p --> B_arbtn_fe3_p + B_h_c,,
A_EX_ppa_e,0.0,A_ppa_e --> ,,
B_MLTGY1pp_num1,0.0,B_murein4p4p_p --> 2.0 B_anhgm4p_p,641.0190693,0.0
A_UACGAMtex_num4,0.0,A_uacgam_e --> A_uacgam_p,,
B_EX_2ddglcn_e,0.0,B_2ddglcn_e --> ,,
B_S2FE2SS2,2.599999999999998e-05,B_atp_c + B_fadh2_c + 2.0 B_fe2_c + B_h2o_c + B_sufbcd_2fe2s_c + 2.0 B_sufsesh_c --> B_adp_c + B_fad_c + 7.0 B_h_c + B_pi_c + B_sufbcd_2fe2s2_c + 2.0 B_sufse_c,90.58313825,2.8702913701491216e-07
B_42A12BOOXpp,0.0,B_dopa_p + B_h2o_p + B_o2_p --> B_34dhpac_p + B_h2o2_p + B_nh4_p,73.06330363,0.0
A_SDPTA_num4,0.0,A_akg_c + A_sl26da_c --> A_glu__L_c + A_sl2a6o_c,198.09147430000002,0.0
B_3AMPtex_num3,0.0,B_3amp_e --> B_3amp_p,,
A_MDDEP1pp_num5,0.0,A_h2o_p + A_murein4px4p_p --> A_murein4p4p_p,885.8862885,0.0
