,flux,formula,kcat_MW,enz_useUPBCe
B_THMtex_num1,1000.0,B_thm_e --> B_thm_p,,
A_DTMPK,0.0026166,A_atp_c + A_dtmp_c --> A_adp_c + A_dtdp_c,2724.623787,1e-06
A_NADPHXE_reverse,0.0,A_nadphx__S_c --> A_nadphx__R_c,16886.73654,0.0
B_TDSR1,0.0,B_dsbcox_p + B_dsbdrd_c --> B_dsbcrd_p + B_dsbdox_c,,
A_SQtex,0.0,A_sq_e --> A_sq_p,,
A_ADEt2rpp_reverse_num3,1000.0,A_ade_c + A_h_c --> A_ade_p + A_h_p,,
A_LALADGLUtex_num3,0.0,A_LalaDglu_e --> A_LalaDglu_p,,
B_IDONt2rpp,0.0,B_h_p + B_idon__L_p --> B_h_c + B_idon__L_c,,
B_3hcinnm_e_con_2,0.0,3hcinnm_e --> B_3hcinnm_e,,
A_GALCTtex_num4,1000.0,A_galct__D_e --> A_galct__D_p,,
A_RNTR3c2_num4,0.0,A_ctp_c + 2.0 A_flxr_c + 2.0 A_h_c --> A_dctp_c + 2.0 A_flxso_c + A_h2o_c,192.88428090000002,0.0
A_NADPHQR3,0.0,A_h_c + A_mqn8_c + A_nadph_c --> A_mql8_c + A_nadp_c,697.2827341,0.0
B_DASYN120,0.0,B_ctp_c + B_h_c + B_pa120_c --> B_cdpdddecg_c + B_ppi_c,303.4448149,0.0
B_GTPCI,6.690000000000862e-05,B_gtp_c + B_h2o_c --> B_ahdt_c + B_for_c + B_h_c,0.11598582699999999,0.000577
A_EX_mincyc_e,0.0,A_mincyc_e --> ,,
A_SHCHCS3,0.0,A_2sephchc_c --> A_2shchc_c + A_pyr_c,1707.6970350000001,0.0
B_PERD_reverse,0.0,B_h_c + B_nadh_c + B_ohpb_c --> B_4per_c + B_nad_c,352.1466525,0.0
B_THYMtex_num1,0.0,B_thym_e --> B_thym_p,,
B_GLYBtex_reverse_num1,1000.0,B_glyb_p --> B_glyb_e,,
B_3OAR40_reverse,0.0,B_3haACP_c + B_nadp_c --> B_actACP_c + B_h_c + B_nadph_c,151.4026914,0.0
A_EX_chtbs_e,0.0,A_chtbs_e --> ,,
A_CRNCAR,0.0,A_crncoa_c --> A_crnDcoa_c,7203.002458,0.0
A_MDH_reverse,0.0,A_h_c + A_nadh_c + A_oaa_c --> A_mal__L_c + A_nad_c,180.34102040000002,0.0
B_INSTtex_num4,0.0,B_inost_e --> B_inost_p,,
A_DHORDfum,0.0,A_dhor__S_c + A_fum_c --> A_orot_c + A_succ_c,,
A_ACACT1r_num2,0.0,2.0 A_accoa_c --> A_aacoa_c + A_coa_c,401.1246952,0.0
A_OMPHHXy,0.0,A_2omph_c + A_h_c + A_nadph_c + A_o2_c --> A_2ombzl_c + A_h2o_c + A_nadp_c,357.27797430000004,0.0
A_GALt2pp,0.0,A_gal_p + A_h_p --> A_gal_c + A_h_c,,
B_ALDD19xr_reverse,0.0,2.0 B_h_c + B_nadh_c + B_pac_c --> B_h2o_c + B_nad_c + B_pacald_c,43.300327100000004,0.0
B_GUAtex,1000.0,B_gua_e --> B_gua_p,,
B_ARGAGMt7pp,0.0,B_agm_c + B_arg__L_p --> B_agm_p + B_arg__L_c,,
B_HACD5_reverse_num1,0.0,B_3hddcoa_c + B_nad_c --> B_3oddcoa_c + B_h_c + B_nadh_c,179.309395,0.0
B_CHLtex_num2,0.0,B_chol_e --> B_chol_p,,
A_TRPS3,0.0056843,A_3ig3p_c --> A_g3p_c + A_indole_c,249.20741669999998,2.3e-05
B_lys__L_e_con_2_reverse,0.0,B_lys__L_e --> lys__L_e,,
B_ALDD3y_num3,0.0,B_h2o_c + B_nadp_c + B_ppal_c --> 2.0 B_h_c + B_nadph_c + B_ppa_c,282.12192319999997,0.0
A_FEENTERabcpp,0.0,A_atp_c + A_feenter_p + A_h2o_c --> A_adp_c + A_feenter_c + A_h_c + A_pi_c,,
B_DXYLONtex_num1,0.0,B_dxylnt_e --> B_dxylnt_p,,
B_PGMT_reverse_num1,0.0,B_g6p_c --> B_g1p_c,503.88888560000004,0.0
B_CRNtex_reverse_num4,0.0,B_crn_p --> B_crn_e,,
B_PHEtex_reverse_num1,1000.0,B_phe__L_p --> B_phe__L_e,,
B_FUSAtpp_num1,0.0,B_fusa_p + B_h_p --> B_fusa_e + B_h_c,,
B_NADPHHS_num2,0.0,B_h2o_c + B_nadph_c --> B_nadphx__S_c,,
A_METSOXR1_num4,0.0,A_metsox_S__L_c + A_trdrd_c --> A_h2o_c + A_met__L_c + A_trdox_c,97.44379795,0.0
B_UDPGALtex_reverse_num4,0.0,B_udpgal_p --> B_udpgal_e,,
A_CLPNH120pp,0.0,A_clpn120_p + A_h2o_p --> A_h_p + A_pa120_p + A_pg120_p,,
A_ACALD_num2,0.0,A_acald_c + A_coa_c + A_nad_c --> A_accoa_c + A_h_c + A_nadh_c,90.46298484,0.0
B_NTD9pp_num1,0.0,B_gmp_p + B_h2o_p --> B_gsn_p + B_pi_p,172.0959796,0.0
A_ATPS4rpp_reverse_num2,0.0,A_atp_c + A_h2o_c + 3.0 A_h_c --> A_adp_c + 4.0 A_h_p + A_pi_c,745.0527276,0.0
B_ADNUC,0.0,B_adn_c + B_h2o_c --> B_ade_c + B_rib__D_c,1400.4166539999999,0.0
B_SULFACtex_num4,1000.0,B_sulfac_e --> B_sulfac_p,,
B_AACPS8,0.0,B_ACP_c + B_atp_c + B_dca_c --> B_amp_c + B_dcaACP_c + B_ppi_c,216.0314082,0.0
B_NDPK6_reverse_num1,0.0,B_adp_c + B_dutp_c --> B_atp_c + B_dudp_c,418.9696649,0.0
B_GLCTR2,0.0,B_gagicolipa_c + B_udpg_c --> B_ggagicolipa_c + B_h_c + B_udp_c,386.33856160000005,0.0
A_PSSA160,0.0063814,A_cdpdhdecg_c + A_ser__L_c --> A_cmp_c + A_h_c + A_ps160_c,1022.692408,6e-06
A_TAURabcpp,0.0,A_atp_c + A_h2o_c + A_taur_p --> A_adp_c + A_h_c + A_pi_c + A_taur_c,,
B_ACOTA_num2,1000.0,B_acorn_c + B_akg_c --> B_acg5sa_c + B_glu__L_c,,
A_NTPP7_num1,0.0,A_dttp_c + A_h2o_c --> A_dtmp_c + A_h_c + A_ppi_c,581.3955091,0.0
A_AST,0.0,A_arg__L_c + A_succoa_c --> A_coa_c + A_h_c + A_sucarg_c,624.951479,0.0
A_PYK_num2,0.0,A_adp_c + A_h_c + A_pep_c --> A_atp_c + A_pyr_c,2106.493313,0.0
B_MLDCP3App_num1,0.0,B_h2o_p + B_murein5px3p_p --> B_alaala_p + B_murein3px3p_p,317.9469797,0.0
B_MLTGY2pp_num3,0.0,B_murein4p3p_p --> B_anhgm3p_p + B_anhgm4p_p,1785.555593,0.0
B_EX_na1_e,0.0,B_na1_e --> ,,
A_QUINDHyi,0.0,A_nadp_c + A_quin_c --> A_3dhq_c + 2.0 A_h_c + A_nadph_c,154.68336010000002,0.0
B_HSST,0.015391100000000005,B_hom__L_c + B_succoa_c --> B_coa_c + B_suchms_c,403.0531274,3.8e-05
A_MCITL2_reverse,0.0,A_pyr_c + A_succ_c --> A_micit_c,158.55509880000002,0.0
A_ALAtex_num2,0.0,A_ala__L_e --> A_ala__L_p,,
A_NTD5pp_num2,0.0,A_dtmp_p + A_h2o_p --> A_pi_p + A_thymd_p,311.2601585,0.0
A_ASNS2_num1,0.024105500000000002,A_asp__L_c + A_atp_c + A_nh4_c --> A_amp_c + A_asn__L_c + A_h_c + A_ppi_c,933.1374289999999,2.6e-05
A_3GMPtex_reverse_num3,0.0,A_3gmp_p --> A_3gmp_e,,
B_ACOAD3f_reverse,0.0,B_fadh2_c + B_oc2coa_c --> B_fad_c + B_occoa_c,14363.7839,0.0
A_ASO3t8pp,0.0,A_aso3_c + A_atp_c + A_h2o_c --> A_adp_c + A_aso3_p + A_h_c + A_pi_c,,
A_EX_xtsn_e,0.0,A_xtsn_e --> ,,
B_BWCOS,0.0,B_mptamp_c + B_wco_c --> B_amp_c + B_bwco_c + B_cu2_c,116.0961159,0.0
B_FACOAL160t2pp_num2,0.0,B_atp_c + B_coa_c + B_h_p + B_hdca_p --> B_amp_c + B_h_c + B_pmtcoa_c + B_ppi_c,166.3217541,0.0
A_KG6PDC_num1,0.0,A_3dhgulnp_c + A_h_c --> A_co2_c + A_xu5p__L_c,460.3250658,0.0
A_THRtex_reverse_num4,0.0,A_thr__L_p --> A_thr__L_e,,
A_12DGR141tipp,0.0,A_12dgr141_p --> A_12dgr141_c,,
B_FMNtex_num1,1000.0,B_fmn_p --> B_fmn_e,,
B_XANtex_num3,0.0,B_xan_e --> B_xan_p,,
A_BTNtex_reverse_num1,1000.0,A_btn_p --> A_btn_e,,
B_MINOHPtexi,0.0,B_minohp_e --> B_minohp_p,,
A_EX_dimp_e,0.0,A_dimp_e --> ,,
B_ETOHtex_num4,0.0,B_etoh_e --> B_etoh_p,,
B_EX_xan_e,0.0,B_xan_e --> ,,
B_NTD2pp_num2,0.0,B_h2o_p + B_ump_p --> B_pi_p + B_uri_p,275.27617549999997,0.0
A_PUACGAMS,0.0,A_puacgam_c + A_udp_c --> A_uacgam_c,322.15101989999994,0.0
A_ACACtex_reverse_num2,1000.0,A_acac_p --> A_acac_e,,
A_CD2tex_reverse_num4,0.0,A_cd2_p --> A_cd2_e,,
B_HACD8_num1,0.0,B_3ohodcoa_c + B_h_c + B_nadh_c --> B_3hodcoa_c + B_nad_c,189.5952684,0.0
B_TYRTA_reverse_num3,0.013811899999999998,B_34hpp_c + B_glu__L_c --> B_akg_c + B_tyr__L_c,,
A_GLCNtex_reverse_num3,0.0,A_glcn_p --> A_glcn_e,,
A_f_e_con_1,0.0,A_f_e --> f_e,,
A_D_LACtex_reverse_num2,0.0,A_lac__D_p --> A_lac__D_e,,
B_FEENTERR3,0.0,2.0 B_feenter_c + B_rbflvrd_c --> 2.0 B_enter_c + 2.0 B_fe2_c + 2.0 B_h_c + B_ribflv_c,,
A_G1Ptex_num1,0.0,A_g1p_e --> A_g1p_p,,
A_k_e_con_1,0.0,A_k_e --> k_e,,
A_GAMAN6Ptex_reverse_num1,1000.0,A_gam6p_p --> A_gam6p_e,,
A_Ftex_num4,0.0,A_f_p --> A_f_e,,
B_CRNDtex_num2,0.0,B_crn__D_e --> B_crn__D_p,,
B_Zn2tex_reverse_num4,0.0,B_zn2_p --> B_zn2_e,,
B_HIStex_reverse_num4,0.0,B_his__L_p --> B_his__L_e,,
B_MNLtex_num4,1000.0,B_mnl_e --> B_mnl_p,,
A_LEUtex_num1,1000.0,A_leu__L_e --> A_leu__L_p,,
B_met__L_e_con_2,0.0,met__L_e --> B_met__L_e,,
B_MAN1PT2,0.0,B_gdp_c + B_h_c + B_man1p_c --> B_gdpmann_c + B_pi_c,3282.422523,0.0
A_GLCNtex_reverse_num1,1000.0,A_glcn_p --> A_glcn_e,,
A_DXYLONtex_reverse_num2,0.0,A_dxylnt_p --> A_dxylnt_e,,
A_GALCTNtex_num3,1000.0,A_galctn__D_e --> A_galctn__D_p,,
B_acgam1p_e_con_2,0.0,acgam1p_e --> B_acgam1p_e,,
B_N2Otex_reverse_num1,1000.0,B_n2o_p --> B_n2o_e,,
B_dcyt_e_con_2_reverse,0.0,B_dcyt_e --> dcyt_e,,
A_ACMUMtex_num3,0.0,A_acmum_e --> A_acmum_p,,
B_HACD4_reverse_num2,0.0,B_3hdcoa_c + B_nad_c --> B_3odcoa_c + B_h_c + B_nadh_c,409.55361380000005,0.0
A_O2tex_reverse_num4,1000.0,A_o2_p --> A_o2_e,,
B_AI2tex_num2,1000.0,B_mththf_e --> B_mththf_p,,
A_ASPt2_3pp_num1,0.0,A_asp__L_p + 3.0 A_h_p --> A_asp__L_c + 3.0 A_h_c,,
B_NADH5_num3,0.0,B_h_c + B_nadh_c + B_q8_c --> B_nad_c + B_q8h2_c,473.77234460000005,0.0
A_XTSNt2rpp_reverse,0.0,A_h_c + A_xtsn_c --> A_h_p + A_xtsn_p,,
B_NI2tpp,3.23e-05,B_ni2_p --> B_ni2_c,,
A_O2tex_reverse_num1,1000.0,A_o2_p --> A_o2_e,,
B_xtsn_e_con_2,0.0,xtsn_e --> B_xtsn_e,,
A_NTD7pp_num3,0.0,A_amp_p + A_h2o_p --> A_adn_p + A_pi_p,164.6822431,0.0
A_TGBPA_num2,1000.0,A_tagdp__D_c --> A_dhap_c + A_g3p_c,,
B_PLIPA1G140pp,0.0,B_h2o_p + B_pg140_p --> B_2agpg140_p + B_h_p + B_ttdca_p,140.68459209999997,0.0
B_2DGLCtex_reverse_num2,1000.0,B_2dglc_p --> B_2dglc_e,,
B_NTD10,0.0,B_h2o_c + B_xmp_c --> B_pi_c + B_xtsn_c,346.7285912,0.0
B_NDPK3_num1,0.0,B_atp_c + B_cdp_c --> B_adp_c + B_ctp_c,279.9698128,0.0
A_MLDCP1App_num1,0.0,A_h2o_p + A_murein5px4p_p --> A_alaala_p + A_murein3px4p_p,333.979002,0.0
B_23ccmp_e_con_2_reverse,0.0,B_23ccmp_e --> 23ccmp_e,,
B_L_LACt2rpp_num2,0.0,B_h_p + B_lac__L_p --> B_h_c + B_lac__L_c,,
A_GALCTNt2pp,0.0,A_galctn__D_p + A_h_p --> A_galctn__D_c + A_h_c,,
B_EX_taur_e,0.0,B_taur_e --> ,,
A_EX_ddca_e,0.0,A_ddca_e --> ,,
B_PERD,0.0,B_4per_c + B_nad_c --> B_h_c + B_nadh_c + B_ohpb_c,0.8702452279999999,0.0
A_LCTStex_num2,1000.0,A_lcts_e --> A_lcts_p,,
B_EX_quin_e,0.0,B_quin_e --> ,,
A_ECOAH5_num2,0.0,A_3hddcoa_c --> A_dd2coa_c + A_h2o_c,282.8384075,0.0
A_GLYCTO4,0.0,A_2dmmq8_c + A_glyclt_c --> A_2dmmql8_c + A_glx_c,852.8223638000001,0.0
A_BMOGDS1,0.0,A_bmoco_c + A_gtp_c + A_h_c --> A_bmoco1gdp_c + A_ppi_c,1263.134555,0.0
B_cd2_e_con_2,0.0,cd2_e --> B_cd2_e,,
B_23DOGULNt4pp,0.0,B_23doguln_p + B_na1_p --> B_23doguln_c + B_na1_c,,
A_3OAR180_reverse,0.0,A_3hoctaACP_c + A_nadp_c --> A_3ooctdACP_c + A_h_c + A_nadph_c,115.06222109999999,0.0
A_PANTS,6.739999999999871e-05,A_ala_B_c + A_atp_c + A_pant__R_c --> A_amp_c + A_h_c + A_pnto__R_c + A_ppi_c,1.139325235,5.9e-05
B_G3PStex_reverse_num2,1000.0,B_g3ps_p --> B_g3ps_e,,
B_slnt_e_con_2_reverse,0.0,B_slnt_e --> slnt_e,,
B_F6Ptex_reverse_num4,0.0,B_f6p_p --> B_f6p_e,,
A_g6p_e_con_1,0.0,A_g6p_e --> g6p_e,,
B_SO2tex_num2,0.0,B_so2_e --> B_so2_p,,
B_LALADGLUtex_num3,1000.0,B_LalaDglu_e --> B_LalaDglu_p,,
B_PLIPA2A120pp,0.0,B_h2o_p + B_pa120_p --> B_1ddecg3p_p + B_ddca_p + B_h_p,140.50430369999998,0.0
A_ATPS4rpp_reverse_num1,0.0,A_atp_c + A_h2o_c + 3.0 A_h_c --> A_adp_c + 4.0 A_h_p + A_pi_c,726.3707817000001,0.0
A_EX_ca2_e,0.0,A_ca2_e --> ,,
A_NI2tex_reverse_num4,0.0,A_ni2_p --> A_ni2_e,,
A_ORNabcpp,0.0,A_atp_c + A_h2o_c + A_orn_p --> A_adp_c + A_h_c + A_orn_c + A_pi_c,,
A_PLIPA1A180pp,0.0,A_h2o_p + A_pa180_p --> A_2odecg3p_p + A_ocdca_p,184.6396939,0.0
A_CYANtex_reverse_num1,0.0,A_cyan_p --> A_cyan_e,,
B_UDPGLCURtex_num4,1000.0,B_udpglcur_e --> B_udpglcur_p,,
A_ECA4COLIPAabctex,0.0,A_atp_c + A_eca4colipa_p + A_h2o_c --> A_adp_c + A_eca4colipa_e + A_h_c + A_pi_c,,
A_glcur_e_con_1,0.0,A_glcur_e --> glcur_e,,
B_rmn_e_con_2,0.0,rmn_e --> B_rmn_e,,
B_ACACtex_reverse_num4,1000.0,B_acac_p --> B_acac_e,,
B_G3PCabcpp,0.0,B_atp_c + B_g3pc_p + B_h2o_c --> B_adp_c + B_g3pc_c + B_h_c + B_pi_c,,
A_HPYRRy_num2,0.0,A_h_c + A_hpyr_c + A_nadph_c --> A_glyc__R_c + A_nadp_c,135.5857451,0.0
B_FADtex_num2,0.0,B_fad_p --> B_fad_e,,
A_FMNt,0.0,A_fmn_c --> A_fmn_p,,
A_AI2tex_num3,1000.0,A_mththf_e --> A_mththf_p,,
A_G3PSabcpp,0.0,A_atp_c + A_g3ps_p + A_h2o_c --> A_adp_c + A_g3ps_c + A_h_c + A_pi_c,,
A_EX_tyrp_e,0.0,A_tyrp_e --> ,,
A_ECOAH1_reverse_num1,0.0,A_b2coa_c + A_h2o_c --> A_3hbcoa_c,722.5238031,0.0
A_CYSTL_num1,0.0,A_cyst__L_c + A_h2o_c --> A_hcys__L_c + A_nh4_c + A_pyr_c,97.14896144,0.0
A_GALtex_num4,0.0,A_gal_e --> A_gal_p,,
B_HG2tex_reverse_num3,0.0,B_hg2_p --> B_hg2_e,,
A_PHETA1_num3,0.0,A_akg_c + A_phe__L_c --> A_glu__L_c + A_phpyr_c,797.5334385,0.0
A_5DKGR_num2,0.0,A_glcn_c + A_nad_c --> A_5dglcn_c + A_h_c + A_nadh_c,397.2848709,0.0
B_HMBS,4.46e-05,B_h2o_c + 4.0 B_ppbng_c --> B_hmbil_c + 4.0 B_nh4_c,13.82496647,3e-06
B_HOMtex_num1,0.0,B_hom__L_e --> B_hom__L_p,,
A_THMtex_reverse_num1,1000.0,A_thm_p --> A_thm_e,,
B_EX_pheme_e,0.0,B_pheme_e --> ,,
B_L_LACtex_num1,0.0,B_lac__L_e --> B_lac__L_p,,
B_ISETACtex_reverse_num3,1000.0,B_isetac_p --> B_isetac_e,,
B_MN6PP_num1,0.0,B_h2o_c + B_man6p_c --> B_man_c + B_pi_c,388.71423799999997,0.0
B_HXPRT_num2,0.0,B_hxan_c + B_prpp_c --> B_imp_c + B_ppi_c,219.55787090000004,0.0
B_LYXt2pp,0.0,B_h_p + B_lyx__L_p --> B_h_c + B_lyx__L_c,,
B_PGP161abcpp,0.0,B_atp_c + B_h2o_c + B_pgp161_c --> B_adp_c + B_h_c + B_pgp161_p + B_pi_c,,
B_METSOXR2_num4,0.0,B_metsox_R__L_c + B_trdrd_c --> B_h2o_c + B_met__L_c + B_trdox_c,182.67470469999998,0.0
B_CRNDtex_reverse_num2,0.0,B_crn__D_p --> B_crn__D_e,,
B_NI2tex_num2,1000.0,B_ni2_e --> B_ni2_p,,
A_FDMO3,0.0,A_ethso3_c + A_fmnh2_c + A_o2_c --> A_acald_c + A_fmn_c + A_h2o_c + A_h_c + A_so3_c,118.51537579999999,0.0
B_R5Ptex_num1,1000.0,B_r5p_e --> B_r5p_p,,
A_for_e_con_1,0.0,A_for_e --> for_e,,
B_METGLCURtex_reverse_num4,0.0,B_metglcur_p --> B_metglcur_e,,
A_DUMPtex_num4,0.0,A_dump_e --> A_dump_p,,
B_ARGtex_num1,0.0,B_arg__L_e --> B_arg__L_p,,
A_MCTP1Bpp_num2,0.0,A_murein5p5p_p --> A_alaala_p + A_murein5px3p_p,5529.237385,0.0
A_OROTtex_reverse_num2,0.0,A_orot_p --> A_orot_e,,
A_NTD7pp_num2,0.0,A_amp_p + A_h2o_p --> A_adn_p + A_pi_p,267.7120724,0.0
A_ACSERtex_reverse_num3,0.0,A_acser_p --> A_acser_e,,
B_IG3PS,0.009473800000000001,B_gln__L_c + B_prlp_c --> B_aicar_c + B_eig3p_c + B_glu__L_c + B_h_c,643.9487999,1.5e-05
A_SBTtex_num2,0.0,A_sbt__D_e --> A_sbt__D_p,,
B_TCYNTtex_reverse_num4,0.0,B_tcynt_p --> B_tcynt_e,,
B_FUMt1pp_reverse,1000.0,B_fum_c --> B_fum_p,,
B_PAPA160,0.0,B_h2o_c + B_pa160_c --> B_12dgr160_c + B_pi_c,557.8941446,0.0
B_TYROXDApp,0.0,B_h2o_p + B_o2_p + B_tym_p --> B_4hoxpacd_p + B_h2o2_p + B_nh4_p,73.34218733,0.0
A_CLPNS161pp_num2,0.0,2.0 A_pg161_p --> A_clpn161_p + A_glyc_p,503.3901632,0.0
A_HADPCOADH3,0.0,A_3hadpcoa_c + A_nad_c --> A_h_c + A_nadh_c + A_oxadpcoa_c,416.76076919999997,0.0
B_NACtex_num1,1000.0,B_nac_e --> B_nac_p,,
B_ASPO6,0.00022780000000000022,B_asp__L_c + B_o2_c --> B_h2o2_c + B_h_c + B_iasp_c,250.5908442,1e-06
A_ACALDtex_reverse_num4,0.0,A_acald_p --> A_acald_e,,
A_DXYLONtpp_reverse,1000.0,A_dxylnt_c --> A_dxylnt_p,,
B_APG3PAT161,0.007521400000000001,B_glyc3p_c + B_hdceap_c --> B_1hdec9eg3p_c + B_h_c + B_pi_c,436.8392987,1.7e-05
A_GAL1Ptex_reverse_num1,1000.0,A_gal1p_p --> A_gal1p_e,,
B_FMNRx2_num3,0.0,B_fmn_c + B_h_c + B_nadph_c --> B_fmnh2_c + B_nadp_c,33.30032002,0.0
A_MMCD,0.0,A_h_c + A_mmcoa__S_c --> A_co2_c + A_ppcoa_c,131.3335686,0.0
A_MANtex_num2,0.0,A_man_e --> A_man_p,,
B_EAR161x,0.0,B_h_c + B_nadh_c + B_t3c9palmeACP_c --> B_hdeACP_c + B_nad_c,83.44138788,0.0
A_GLCNtex_num1,0.0,A_glcn_e --> A_glcn_p,,
A_BALAtex_num4,1000.0,A_ala_B_e --> A_ala_B_p,,
A_DALAtex_reverse_num3,1000.0,A_ala__D_p --> A_ala__D_e,,
B_TAGURr,0.0,B_altrn_c + B_nad_c --> B_h_c + B_nadh_c + B_tagur_c,523.0293538,0.0
A_MPTG_num3,0.0,2.0 A_uaagmda_c --> 2.0 A_h_c + A_murein5p5p_p + 2.0 A_udcpdp_c,96.44906324,0.0
B_PPALtex_reverse_num4,0.0,B_ppal_p --> B_ppal_e,,
A_EX_fmn_e,0.0,A_fmn_e --> ,,
B_MINCYCtex_num2,0.0,B_mincyc_e --> B_mincyc_p,,
A_3HPPPNH,0.0,A_3hpppn_c + A_h_c + A_nadh_c + A_o2_c --> A_dhpppn_c + A_h2o_c + A_nad_c,265.8920043,0.0
B_4abut_e_con_2,0.0,4abut_e --> B_4abut_e,,
B_phe__L_e_con_2_reverse,0.0,B_phe__L_e --> phe__L_e,,
A_L_LACD3_num2,0.0,A_lac__L_c + A_mqn8_c --> A_mql8_c + A_pyr_c,1428.869971,0.0
A_CITtex_reverse_num2,0.0,A_cit_p --> A_cit_e,,
A_AKGDH,1.2341835770048373,A_akg_c + A_coa_c + A_nad_c --> A_co2_c + A_nadh_c + A_succoa_c,1487.104443,0.00083
B_NTD12pp_num2,0.0,B_dimp_p + B_h2o_p --> B_din_p + B_pi_p,162.8853488,0.0
A_URAt2pp_num2,0.0,A_h_p + A_ura_p --> A_h_c + A_ura_c,,
A_GLYt2pp_num2,0.0,A_gly_p + A_h_p --> A_gly_c + A_h_c,,
A_ETOHtex_reverse_num4,0.0,A_etoh_p --> A_etoh_e,,
B_EX_acgal_e,0.0,B_acgal_e --> ,,
B_ACMANAtex_num4,0.0,B_acmana_e --> B_acmana_p,,
B_GALBDtex_reverse_num4,1000.0,B_gal_bD_p --> B_gal_bD_e,,
B_PPPNt2rpp_reverse,0.0,B_h_c + B_pppn_c --> B_h_p + B_pppn_p,,
B_G3PItex_reverse_num1,0.0,B_g3pi_p --> B_g3pi_e,,
B_GALTtex_num2,0.0,B_galt_e --> B_galt_p,,
B_EX_glyc3p_e,0.0,B_glyc3p_e --> ,,
B_arg__L_e_con_2_reverse,0.0,B_arg__L_e --> arg__L_e,,
A_man6p_e_con_1,0.0,A_man6p_e --> man6p_e,,
B_CHRPL_num2,0.0,B_chor_c --> B_4hbz_c + B_pyr_c,13.93233395,0.0
A_GUI2,0.0,A_galur_c --> A_tagur_c,645.4316352999999,0.0
B_Ftpp,0.0,B_f_c --> B_f_p,,
B_ETHAtex_num2,1000.0,B_etha_e --> B_etha_p,,
A_xylu__L_e_con_1,0.0,A_xylu__L_e --> xylu__L_e,,
A_fe3_e_con_1_reverse,444.5071226667467,fe3_e --> A_fe3_e,,
A_3HAD80_num1,0.0,A_3hoctACP_c --> A_h2o_c + A_toct2eACP_c,245.136971,0.0
A_EX_dhps_e,0.0,A_dhps_e --> ,,
B_UDPGPT,0.0,B_udcpp_c + B_udpg_c --> B_udcpgl_c + B_ump_c,1287.10312,0.0
A_CLPNS160pp_num1,0.0,2.0 A_pg160_p --> A_clpn160_p + A_glyc_p,702.9631828,0.0
B_H2Otex_num6,1000.0,B_h2o_e --> B_h2o_p,,
B_ACMANAptspp,0.0,B_acmana_p + B_pep_c --> B_acmanap_c + B_pyr_c,,
A_4ABZGLUtex_num1,1000.0,A_4abzglu_e --> A_4abzglu_p,,
B_CU2tex_reverse_num2,0.0,B_cu2_p --> B_cu2_e,,
B_BUTtex_num3,1000.0,B_but_e --> B_but_p,,
B_G6Ptex_num1,0.0,B_g6p_e --> B_g6p_p,,
A_NADPHHR_num2,0.0,A_h2o_c + A_nadph_c --> A_nadphx__R_c,,
A_TDPDRR,0.0,A_dtdp4d6dm_c + A_h_c + A_nadph_c --> A_dtdprmn_c + A_nadp_c,437.03030329999996,0.0
B_ALAALAr_num1,0.0027788,2.0 B_ala__D_c + B_atp_c --> B_adp_c + B_alaala_c + B_h_c + B_pi_c,451.1205915,6e-06
B_CUtex_reverse_num2,1000.0,B_cu_p --> B_cu_e,,
A_INDOLEtex_reverse_num3,0.0,A_indole_p --> A_indole_e,,
B_FACOAE140,0.0,B_h2o_c + B_tdcoa_c --> B_coa_c + B_h_c + B_ttdca_c,495.4257219,0.0
A_GBBTNtex_num4,0.0,A_gbbtn_e --> A_gbbtn_p,,
A_LYStex_num3,0.0,A_lys__L_e --> A_lys__L_p,,
A_DUMPtex_reverse_num1,1000.0,A_dump_p --> A_dump_e,,
B_FMNRx_num1,0.0,B_fmn_c + B_h_c + B_nadh_c --> B_fmnh2_c + B_nad_c,544.09319,0.0
A_LEUabcpp_num2,0.0,A_atp_c + A_h2o_c + A_leu__L_p --> A_adp_c + A_h_c + A_leu__L_c + A_pi_c,,
A_IDONtex_reverse_num4,0.0,A_idon__L_p --> A_idon__L_e,,
A_tyr__L_e_con_1,0.0,A_tyr__L_e --> tyr__L_e,,
A_LIPOCT,0.0,A_h_c + A_ocACP_c --> A_ACP_c + A_octapb_c,389.42595730000005,0.0
B_NH4tex_num2,0.0,B_nh4_e --> B_nh4_p,,
B_psclys_e_con_2_reverse,0.0,B_psclys_e --> psclys_e,,
A_MCTP2App_num1,0.0,A_murein5p5p5p_p --> 2.0 A_ala__D_p + A_murein5px4px4p_p,550.8441789,0.0
B_3OAS100_num2,0.0,B_h_c + B_malACP_c + B_ocACP_c --> B_3odecACP_c + B_ACP_c + B_co2_c,108.02540659999998,0.0
B_pydxn_e_con_2_reverse,0.0,B_pydxn_e --> pydxn_e,,
B_PHEMEtiex,0.0,B_pheme_p --> B_pheme_e,,
B_MALDtex_reverse_num3,1000.0,B_mal__D_p --> B_mal__D_e,,
A_HACD6_num1,0.0,A_3otdcoa_c + A_h_c + A_nadh_c --> A_3htdcoa_c + A_nad_c,197.7997293,0.0
A_G1PACT,0.0094488,A_accoa_c + A_gam1p_c --> A_acgam1p_c + A_coa_c + A_h_c,390.32270739999996,2.4e-05
A_2HESR_num1,0.0,A_dtgcl_c + 2.0 A_gthrd_c --> A_gthox_c + 2.0 A_mercpeth_c,419.2404619,0.0
